1739194656.000,6264776
ObjShowTime,ReactionTime,StimType,Guess,Correct
20124544,20332804,1,1,1
21673964,21867956,1,1,1
23114116,23304796,1,1,1
23910960,24105532,1,1,1
25208692,25395724,1,1,1
26713884,26880636,1,1,1
27453796,27661612,1,1,1
28710772,28871420,1,1,1
29501580,29682284,1,1,1
30318444,30526776,1,1,1
31994940,32173372,1,1,1
33023532,33195032,1,1,1
33958192,34027080,1,1,1
35340244,35497604,1,1,1
36872764,37246204,1,1,1
38554368,38740400,1,1,1
40226564,40356272,1,1,1
41115432,41298900,1,1,1
41115432,42694012,1,1,1
43766172,43935904,1,1,1
45004068,45106148,1,1,1
45803320,46019916,1,1,1
47203080,47380628,1,1,1
48795792,48978116,1,1,1
50234280,50418788,1,1,1
51859956,52037828,1,1,1
52900992,53095216,1,1,1
53822376,54023160,1,1,1
55454332,55561448,1,1,1
56958616,57145884,1,1,1
57887044,58117992,1,1,1
59415152,59581652,1,1,1
60240816,60441732,1,1,1
61691896,61865932,1,1,1
62445104,62658080,1,1,1
63260248,63503480,1,1,1
64718644,64910124,1,1,1
66336292,66551960,1,1,1
67733120,67909428,1,1,1
68970592,69165508,1,1,1
70173668,70330668,1,1,1
71674832,71829160,1,1,1
73007324,73185956,1,1,1
73898120,74131520,1,1,1
75546688,75757812,1,1,1
76325976,76519456,1,1,1
77432620,77605084,1,1,1
78755248,78956052,1,1,1
80269216,80456868,1,1,1
81207032,81418776,1,1,1
82508940,82666788,1,1,1
83235952,83429048,1,1,1
84596208,84727800,1,1,1
85837968,86024668,1,1,1
86707832,86906852,1,1,1
88085024,88128288,1,1,1
88739448,88972084,1,1,1
89805252,89991536,1,1,1
90575696,90797220,1,1,1
92078384,92297304,1,1,1
93105468,93292808,1,1,1
93871972,94077792,1,1,1
95200960,95379376,1,1,1
96413540,96581308,1,1,1
97527472,97750948,1,1,1
98712116,98876760,1,1,1
99634928,99811440,1,1,1
100467604,100648168,1,1,1
100467604,102134364,1,1,1
103292620,103471456,1,1,1
104056712,104269112,1,1,1
104852364,105093924,1,1,1
106525176,106710480,1,1,1
107547732,107741520,1,1,1
108783772,108972056,1,1,1
110010308,110193856,1,1,1
111438108,111656296,1,1,1
112281552,112515356,1,1,1
113487612,113667936,1,1,1
114697184,114859832,1,1,1
115637084,115819812,1,1,1
117308060,117504236,1,1,1
118600488,118772560,1,1,1
119363812,119573280,1,1,1
120108536,120308120,1,1,1
121233376,121423368,1,1,1
122445624,122825008,1,1,1
123349260,123586568,1,1,1
125033820,125197936,1,1,1
125926188,126114020,1,1,1
127559276,127769624,1,1,1
128699872,129046640,1,1,1
130514892,130693604,1,1,1
131679856,131882980,1,1,1
132391240,132615576,1,1,1
133723820,134085652,1,1,1
135181904,135370748,1,1,1
136025008,136221504,1,1,1
137060756,137251564,1,1,1
137923812,138106536,1,1,1
