ObjShowTime, ReactionTime, StimType, Guess, Correct
9969,10422,1,1,1
11375,11759,2,2,1
13135,13525,1,1,1
14713,15222,3,3,1
15981,16445,1,1,1
17134,17757,3,3,1
18719,19017,2,2,1
19921,20324,2,2,1
20859,21186,2,2,1
21875,22322,3,3,1
23783,24262,2,2,1
25010,25398,3,3,1
26068,26481,3,3,1
27330,27659,3,3,1
28521,28794,2,3,0
29934,30278,2,2,1
31506,31967,3,3,1
32677,33070,3,3,1
33797,34103,3,3,1
35316,35858,1,1,1
36483,36908,3,3,1
37647,38081,3,3,1
39355,39707,1,1,1
40550,40959,3,3,1
41730,42133,2,2,1
42836,43258,2,2,1
44299,44769,3,3,1
45943,46429,2,2,1
47404,47748,2,2,1
48491,48844,1,1,1
49446,49738,1,1,1
50295,50542,1,1,1
51665,51921,2,2,1
52484,52895,1,1,1
54339,54629,2,2,1
55271,55612,3,3,1
56120,56420,2,2,1
57815,58347,3,3,1
59605,60263,3,3,1
61147,61814,2,2,1
62675,63011,2,2,1
64467,64782,1,1,1
66091,66396,2,2,1
67433,67843,1,1,1
68539,68970,1,1,1
70105,70718,3,3,1
71271,71619,2,2,1
73023,73421,2,2,1
74724,75008,1,1,1
76011,76282,2,2,1
77298,77822,1,1,1
78663,79136,3,3,1
79883,80166,2,2,1
80749,81272,2,2,1
82139,82511,3,3,1
83654,84067,1,1,1
84908,85403,3,3,1
85927,86470,2,2,1
87803,88261,3,3,1
89362,89691,1,1,1
90422,90923,3,3,1
91977,92277,1,1,1
93613,93961,1,1,1
95262,95620,1,1,1
96184,96556,1,1,1
97974,98460,3,3,1
99574,99960,3,3,1
100646,101070,1,1,1
101807,102112,3,2,0
103024,103566,3,3,1
104747,105188,1,1,1
105937,106321,3,3,1
107263,107719,1,1,1
108400,108704,2,2,1
109418,109867,2,2,1
110380,110737,2,2,1
111811,112157,1,1,1
113264,113702,2,2,1
114968,115365,3,3,1
116632,117044,2,2,1
118081,118887,3,3,1
119842,120306,2,2,1
121300,121670,1,1,1
122191,122581,2,2,1
123653,124208,1,1,1
125528,126087,3,3,1
127578,128097,1,1,1
129432,129978,3,3,1
131219,131775,3,3,1
132330,133006,3,3,1
134006,134644,1,1,1
135963,136308,1,1,1
137452,137914,3,3,1
138527,139038,2,2,1
139929,140359,3,3,1
141857,142144,2,2,1
142872,143206,1,1,1
144679,145139,3,3,1
146532,146753,3,3,1
147564,147931,3,3,1
148641,149064,2,2,1
149982,150388,2,2,1
150938,151321,1,1,1
152489,152846,3,3,1
154117,154346,2,2,1
155210,155528,2,2,1
156401,156726,1,1,1
158109,158452,3,3,1
159367,159658,2,2,1
160314,160581,1,1,1
161203,161482,2,2,1
162598,163215,2,2,1
164680,165021,2,2,1
165840,166167,3,3,1
167215,167651,3,3,1
168679,169071,1,1,1
170056,170455,2,2,1
170995,171342,3,3,1
172306,172708,3,3,1
173374,173877,3,3,1
174514,174883,3,3,1
175808,176134,2,2,1
176693,176992,1,1,1
177564,177801,2,2,1
178626,179017,3,3,1
180466,180717,2,2,1
181632,182095,3,3,1
183297,183760,3,3,1
185024,185573,2,2,1
186158,186622,3,3,1
188049,188494,2,2,1
189900,190409,1,1,1
191039,191491,3,3,1
192946,193390,3,3,1
194899,195212,1,1,1
196228,196612,3,3,1
197314,197785,3,3,1
198403,198891,1,1,1
199910,200293,2,3,0
201658,202071,2,2,1
202760,203195,1,1,1
204209,204464,1,2,0
205376,205762,1,1,1
206610,206937,1,1,1
207970,208271,1,1,1
209174,209595,2,2,1
210591,210852,2,2,1
211452,212143,3,3,1
213577,214015,1,1,1
214873,215215,1,1,1
216407,216814,2,2,1
217399,217726,2,2,1
218592,218907,3,3,1
220199,220640,3,3,1
