ObjShowTime, ReactionTime, StimType, Guess, Correct
11162,11665,1,2,0
12544,13168,1,2,0
14260,15087,1,1,1
15729,16651,1,1,1
18134,18551,1,1,1
19800,20256,1,1,1
21374,21662,1,1,1
22578,22898,1,1,1
23749,24004,1,1,1
24852,25058,1,1,1
25863,26081,1,1,1
26768,26960,1,1,1
27719,27759,1,1,1
28508,28627,1,1,1
29321,29427,1,1,1
30117,30338,1,1,1
31054,31237,1,1,1
31783,31989,1,1,1
32738,32877,1,1,1
34156,34478,1,1,1
35134,35397,1,1,1
36744,36913,1,1,1
37702,37863,1,1,1
39125,39324,1,1,1
40546,40724,1,1,1
42073,42479,1,1,1
43811,44068,1,1,1
45221,45437,1,1,1
46287,46541,1,1,1
47400,47676,1,1,1
48202,48559,1,1,1
49567,49778,1,1,1
50747,50943,1,1,1
52177,52383,1,1,1
53246,53464,1,1,1
54807,55037,1,1,1
55913,56140,1,1,1
57315,57517,1,1,1
58357,58555,1,1,1
59662,59854,1,1,1
61247,61418,1,1,1
62244,62443,1,1,1
63881,64065,1,1,1
64642,64942,1,1,1
65836,66130,1,1,1
66723,67158,1,1,1
68205,68594,1,1,1
69894,70123,1,1,1
70710,71078,1,1,1
72291,72547,1,1,1
73712,73986,1,1,1
74957,75141,1,1,1
75749,75991,1,1,1
77044,77273,1,1,1
78495,78711,1,1,1
79893,80126,1,1,1
80869,81174,1,1,1
82062,82296,1,1,1
83488,83694,1,1,1
84826,85035,1,1,1
86506,86690,1,1,1
88149,88295,1,1,1
89237,89482,1,1,1
90316,90554,1,1,1
91111,91454,1,1,1
92579,92639,1,1,1
93674,93861,1,1,1
94780,95031,1,1,1
95721,95872,1,1,1
97112,97323,1,1,1
97915,98194,1,1,1
98852,99084,1,1,1
98852,100054,1,1,1
100851,101063,1,1,1
102433,102716,1,1,1
104108,104417,1,1,1
105036,105651,1,1,1
106885,107389,1,1,1
106885,108771,1,1,1
109748,110213,1,1,1
109748,111570,1,1,1
112643,112976,1,1,1
113896,114246,1,1,1
115121,115905,1,1,1
116574,116830,1,1,1
118208,118527,1,1,1
119373,119675,1,1,1
121014,121257,1,1,1
122666,122723,1,1,1
123837,124404,1,1,1
125726,125937,1,1,1
126509,127372,1,1,1
128419,128596,1,1,1
130103,130471,1,1,1
131080,131523,1,1,1
132451,132879,1,1,1
134054,134364,1,1,1
135547,135790,1,1,1
137265,137451,1,1,1
138947,139136,1,1,1
140173,140387,1,1,1
141530,141730,1,1,1
142356,142623,1,1,1
143763,143982,1,1,1
144802,145024,1,1,1
145535,145774,1,1,1
146468,146672,1,1,1
147896,148087,1,1,1
148823,149029,1,1,1
150222,150455,1,1,1
151773,151944,1,1,1
152941,153146,1,1,1
154165,154293,1,1,1
155260,155470,1,1,1
156383,156577,1,1,1
157437,157622,1,1,1
159061,159143,1,1,1
159786,160078,1,1,1
161509,161696,1,1,1
162762,162954,1,1,1
163519,163767,1,1,1
164903,165142,1,1,1
166257,166446,1,1,1
167143,167343,1,1,1
168424,168638,1,1,1
169861,170070,1,1,1
171104,171289,1,1,1
172290,172474,1,1,1
173815,174015,1,1,1
174985,175206,1,1,1
176313,176570,1,1,1
178045,178178,1,1,1
179364,179674,1,1,1
180307,180735,1,1,1
181474,181678,1,1,1
182683,182891,1,1,1
183769,184085,1,1,1
185246,185532,1,1,1
186357,186618,1,1,1
187167,187498,1,1,1
188432,188869,1,1,1
190313,190521,1,1,1
191711,191971,1,1,1
192699,192966,1,1,1
194238,194256,1,1,1
194933,195154,1,1,1
196366,196509,1,1,1
197106,197405,1,1,1
198678,198887,1,1,1
199827,200076,1,1,1
200641,201001,1,1,1
201655,201846,1,1,1
