ObjShowTime, ReactionTime, StimType, Guess, Correct
9355,9745,1,1,1
11199,11543,1,1,1
12706,12987,1,1,1
14087,14436,2,2,1
15643,15926,1,1,1
17383,17608,2,2,1
18234,18647,2,2,1
19578,20066,1,1,1
21240,21562,2,2,1
22219,22566,1,1,1
24066,24386,2,2,1
25011,25383,2,2,1
26229,26526,1,1,1
27176,27499,2,2,1
28376,28576,1,1,1
29816,30066,1,1,1
31271,31511,2,2,1
32896,33092,1,1,1
34510,34862,2,2,1
36210,36481,1,1,1
37172,37473,2,2,1
38072,38366,1,1,1
39316,39543,2,2,1
40225,40640,2,2,1
41670,41907,2,2,1
43256,43596,2,2,1
44219,44523,1,1,1
46009,46252,2,2,1
47626,47824,1,1,1
48801,49045,2,2,1
50496,50887,2,2,1
51990,52352,2,2,1
53168,53445,2,2,1
54702,55159,2,2,1
56439,56665,2,2,1
57356,57649,1,1,1
58890,59121,2,2,1
60431,60908,2,2,1
62333,62588,2,2,1
63267,63664,1,1,1
64940,65177,2,2,1
66375,66633,1,1,1
67202,67460,2,2,1
68933,69264,2,2,1
70354,70569,1,1,1
71975,72330,1,1,1
72871,73340,1,1,1
73887,74170,2,2,1
74687,74969,2,2,1
75743,76006,1,1,1
76670,76888,2,1,0
77635,77890,1,1,1
79361,79606,2,2,1
80129,80468,2,2,1
81394,81580,2,2,1
82801,83062,1,1,1
84059,84293,1,1,1
85194,85444,2,2,1
86494,86834,2,2,1
87645,87920,1,1,1
89132,89404,1,2,0
90269,90612,1,1,1
91158,91491,2,2,1
92859,93220,2,2,1
93771,94102,2,2,1
94931,95189,2,2,1
96140,96379,2,2,1
97531,97756,1,1,1
98750,99027,2,2,1
100243,100645,1,1,1
101294,101563,2,2,1
102483,102756,1,2,0
103761,104047,1,1,1
105096,105338,1,2,0
106030,106317,2,2,1
107533,107757,1,1,1
108289,108602,2,2,1
109800,110089,2,2,1
110775,111037,1,1,1
112142,112489,1,1,1
113927,114111,2,2,1
115089,115273,1,1,1
116439,116729,1,1,1
117457,117850,2,2,1
118486,118789,2,2,1
119655,119851,1,1,1
120616,120823,1,1,1
122118,122350,2,2,1
123491,123688,1,1,1
124292,124591,2,2,1
125820,126177,2,2,1
127599,127823,1,1,1
129121,129391,2,2,1
130660,130897,1,1,1
131541,131855,1,1,1
132711,133033,1,1,1
133938,134148,1,1,1
135017,135219,1,1,1
135821,136135,2,2,1
137588,137842,1,1,1
138712,138936,2,1,0
139512,139759,1,1,1
141219,141581,1,1,1
142415,142678,1,1,1
143611,143849,2,1,0
145254,145557,2,2,1
146426,146738,2,2,1
147445,147776,1,1,1
148368,148776,1,1,1
149555,149759,2,2,1
151003,151247,1,1,1
152021,152196,2,2,1
153421,153696,1,1,1
154415,154749,1,1,1
155686,155924,2,2,1
156855,157102,2,1,0
158547,158765,1,1,1
159796,160049,2,2,1
161196,161540,2,2,1
162466,162695,1,1,1
163266,163495,2,2,1
164355,164566,1,1,1
165198,165418,2,2,1
165930,166264,2,2,1
167239,167614,2,2,1
168376,168655,1,1,1
169248,169519,2,2,1
170419,170709,2,1,0
172214,172521,2,2,1
173691,174010,2,2,1
174892,175122,2,2,1
176156,176344,2,2,1
177411,177560,2,2,1
178908,179250,2,2,1
180285,180540,2,2,1
181218,181566,1,1,1
182513,183020,1,1,1
184155,184446,1,1,1
185463,185685,1,1,1
186597,186805,1,1,1
188189,188651,2,2,1
189556,189848,2,2,1
190752,191190,2,2,1
192544,192839,2,2,1
193763,194064,1,1,1
194844,195134,1,1,1
196319,196442,2,2,1
197793,198216,2,2,1
198750,199068,2,2,1
199964,200272,2,2,1
201651,201848,1,1,1
202467,202772,1,1,1
203839,204102,1,1,1
205301,205543,1,1,1
206207,206476,1,1,1
207248,207463,1,1,1
208104,208304,1,1,1
208913,209160,1,1,1
