ObjShowTime, ReactionTime, StimType, Guess, Correct
9425,9752,2,2,1
10405,10649,1,1,1
11876,12222,1,1,1
13113,13365,1,1,1
14271,14564,1,1,1
15831,16058,1,1,1
17428,17676,1,1,1
18830,19067,2,2,1
19980,20207,2,2,1
21676,21929,1,1,1
22871,23112,1,1,1
23945,24198,2,2,1
24821,25115,2,2,1
26109,26321,1,1,1
27769,28108,2,2,1
29494,29788,1,1,1
30818,31038,2,2,1
32346,32839,1,2,0
34164,34515,2,2,1
35183,35495,2,2,1
36562,36829,2,2,1
37830,38077,1,1,1
38996,39292,2,2,1
40724,41082,2,2,1
42111,42417,2,2,1
43247,43553,1,1,1
44964,45217,1,1,1
45793,46219,2,2,1
47597,47880,2,2,1
49332,49634,2,2,1
50483,50797,1,1,1
52155,52410,2,2,1
53765,54025,1,1,1
55110,55412,1,1,1
56504,56764,1,1,1
58201,58476,1,1,1
59125,59433,1,1,1
60158,60363,1,1,1
60946,61182,1,1,1
62584,62895,1,1,1
64146,64422,1,1,1
65909,66158,2,2,1
67074,67343,2,2,1
68338,68564,1,1,1
69693,69947,2,2,1
70938,71254,2,2,1
71904,72178,1,1,1
73363,73694,2,2,1
74786,74980,1,1,1
76194,76377,2,2,1
77816,78116,2,2,1
78630,78949,1,2,0
80144,80404,2,2,1
81520,81749,1,1,1
82380,82692,1,1,1
83532,83775,1,1,1
84989,85217,2,2,1
86586,86808,2,2,1
87631,87882,2,2,1
88843,89137,2,2,1
90301,90593,2,2,1
91399,91666,1,1,1
93161,93399,1,1,1
94428,94652,1,1,1
95969,96276,1,1,1
97702,98025,1,1,1
99148,99413,1,1,1
100647,101021,1,1,1
101730,102052,1,1,1
103095,103321,1,1,1
103989,104260,2,2,1
105324,105648,1,1,1
106343,106654,1,1,1
107807,108057,1,1,1
109158,109375,1,1,1
110076,110337,2,2,1
111524,111733,2,2,1
112532,112767,2,2,1
113697,113980,1,1,1
115253,115504,1,1,1
116230,116526,1,1,1
117044,117316,1,1,1
118216,118442,2,2,1
119134,119351,2,2,1
120178,120370,2,2,1
121851,122151,2,2,1
122898,123155,1,1,1
124241,124446,1,1,1
125793,126109,2,2,1
126766,127095,2,2,1
128233,128498,2,2,1
129464,129690,1,1,1
130927,131160,2,2,1
132506,132777,2,2,1
133357,133637,2,2,1
134700,134956,2,2,1
136330,136568,1,1,1
137512,137782,2,2,1
138982,139232,2,2,1
139886,140186,1,1,1
140966,141310,1,1,1
142597,142876,2,2,1
143434,143719,2,2,1
145229,145513,2,2,1
146490,146766,2,2,1
147467,147791,1,1,1
148323,148728,2,2,1
149878,150142,2,2,1
151639,151873,2,2,1
152734,152953,2,2,1
153726,153966,2,2,1
155103,155335,2,2,1
156702,156971,2,2,1
157900,158376,2,2,1
159579,159966,1,1,1
161441,161746,1,1,1
162894,163153,2,1,0
164148,164424,2,2,1
165350,165588,2,2,1
166856,167134,2,2,1
167682,167990,2,2,1
169166,169515,1,1,1
170837,171118,1,1,1
171922,172207,1,1,1
172790,173145,2,2,1
174346,174687,1,1,1
176184,176475,1,1,1
177942,178194,2,2,1
178847,179184,1,1,1
180370,180619,2,2,1
181162,181457,2,2,1
182935,183219,1,1,1
184400,184737,2,2,1
185329,185671,2,2,1
186429,186671,2,2,1
188048,188296,1,1,1
189655,190006,2,2,1
191255,191565,2,2,1
192887,193121,1,1,1
193945,194203,2,2,1
195053,195353,2,2,1
196504,196775,2,2,1
197426,197704,1,1,1
198892,199120,2,2,1
199942,200182,1,1,1
200874,201178,1,1,1
202423,202772,1,1,1
203652,204006,1,1,1
205330,205758,1,1,1
207175,207604,2,2,1
208984,209346,1,1,1
210737,211044,2,2,1
212463,212722,1,1,1
