ObjShowTime, ReactionTime, StimType, Guess, Correct
8881,9107,1,1,1
10462,10619,1,1,1
11697,11871,1,1,1
13114,13295,1,1,1
14705,14823,1,1,1
15670,15867,1,1,1
17290,17474,1,1,1
18522,18701,1,1,1
19996,20176,1,1,1
21423,21613,1,1,1
23040,23241,1,1,1
24510,24693,1,1,1
25914,26252,1,1,1
27039,27261,1,1,1
28297,28569,1,1,1
29204,29421,1,1,1
30253,30440,1,1,1
31346,31526,1,1,1
32449,32641,1,1,1
33765,33959,1,1,1
35467,35582,1,1,1
36845,37050,1,1,1
37967,38156,1,1,1
39177,39354,1,1,1
40640,40936,1,1,1
41891,42063,1,1,1
42842,43035,1,1,1
43662,43860,1,1,1
44641,44819,1,1,1
45982,46163,1,1,1
47260,47451,1,1,1
47968,48328,1,1,1
48915,49116,1,1,1
49724,49952,1,1,1
51339,51553,1,1,1
52786,53006,1,1,1
54440,54617,1,1,1
55676,55915,1,1,1
56473,56725,1,1,1
57646,57811,1,1,1
59100,59254,1,1,1
59774,60089,1,1,1
60612,60876,1,1,1
61828,62027,1,1,1
62587,62826,1,1,1
64028,64226,1,1,1
64976,65205,1,1,1
65819,66007,1,1,1
67237,67416,1,1,1
68839,69078,1,1,1
69936,70246,1,1,1
71437,71629,1,1,1
72628,72839,1,1,1
73842,74044,1,1,1
75439,75642,1,1,1
76824,77016,1,1,1
77954,78127,1,1,1
79339,79519,1,1,1
80183,80445,1,1,1
81269,81459,1,1,1
82057,82289,1,1,1
82847,83069,1,1,1
83726,83937,1,1,1
85341,85534,1,1,1
86251,86419,1,1,1
87851,88046,1,1,1
89178,89370,1,1,1
90800,90991,1,1,1
91671,91894,1,1,1
93072,93293,1,1,1
94445,94638,1,1,1
95372,95725,1,1,1
97169,97323,1,1,1
97950,98209,1,1,1
99696,99885,1,1,1
100773,101000,1,1,1
102301,102469,1,1,1
103605,103786,1,1,1
104381,104704,1,1,1
105982,106170,1,1,1
107587,107845,1,1,1
108927,109160,1,1,1
109964,110336,1,1,1
110848,111140,1,1,1
110848,112361,1,1,1
113756,114004,1,1,1
115336,115629,1,1,1
116642,116829,1,1,1
118089,118277,1,1,1
119008,119253,1,1,1
120747,120949,1,1,1
121509,121794,1,1,1
123111,123344,1,1,1
123910,124212,1,1,1
125480,125703,1,1,1
126313,126627,1,1,1
127443,127785,1,1,1
128758,128945,1,1,1
129988,130221,1,1,1
130974,131155,1,1,1
131826,132100,1,1,1
132976,133196,1,1,1
133717,133946,1,1,1
135386,135581,1,1,1
136476,136692,1,1,1
137607,137823,1,1,1
138640,138859,1,1,1
139755,139979,1,1,1
140996,141188,1,1,1
142152,142359,1,1,1
142981,143205,1,1,1
144156,144358,1,1,1
144871,145440,1,1,1
145994,146214,1,1,1
146937,147137,1,1,1
147985,148183,1,1,1
149640,149903,1,1,1
150767,150985,1,1,1
152467,152660,1,1,1
153306,153603,1,1,1
154989,155176,1,1,1
155849,156068,1,1,1
157309,157528,1,1,1
158201,158438,1,1,1
159206,159421,1,1,1
159965,160223,1,1,1
161072,161243,1,1,1
161769,162095,1,1,1
162968,163185,1,1,1
163955,164167,1,1,1
164824,165124,1,1,1
166427,166649,1,1,1
168048,168281,1,1,1
169341,169575,1,1,1
170413,170645,1,1,1
171258,171516,1,1,1
172250,172473,1,1,1
173413,173606,1,1,1
174715,175045,1,1,1
175888,176100,1,1,1
176859,177034,1,1,1
178227,178356,1,1,1
179633,179814,1,1,1
180504,180694,1,1,1
181946,182110,1,1,1
183265,183441,1,1,1
184938,185138,1,1,1
186030,186218,1,1,1
187183,187550,1,1,1
188471,188651,1,1,1
