ObjShowTime, ReactionTime, StimType, Guess, Correct
9425,9737,2,2,1
10392,10610,1,1,1
11837,12069,1,1,1
12961,13195,1,1,1
14103,14376,1,1,1
15645,15872,1,1,1
17242,17469,1,1,1
18620,18914,2,2,1
19829,20068,2,2,1
21537,21757,1,1,1
22701,22970,1,1,1
23802,24000,2,2,1
24622,24905,2,2,1
25898,26123,1,1,1
27573,27813,2,2,1
29200,29469,1,1,1
30499,30701,2,2,1
32011,32249,1,1,1
33575,33779,2,2,1
34447,34746,2,2,1
35811,36027,2,2,1
37029,37307,1,1,1
38226,38437,2,2,1
39870,40067,2,2,1
41096,41313,2,2,1
42143,42432,1,1,1
43842,44087,1,1,1
44664,45049,2,2,1
46428,46663,2,2,1
48117,48368,2,2,1
49218,49496,1,1,1
50857,51131,2,2,1
52486,52792,1,1,1
53876,54274,1,1,1
55365,55611,1,1,1
57048,57317,1,1,1
57966,58348,1,1,1
59073,59337,1,1,1
59921,60165,1,1,1
61566,61799,1,1,1
63050,63271,1,1,1
64759,65097,2,2,1
66012,66260,2,2,1
67254,67547,1,1,1
68676,68897,2,2,1
69889,70121,2,2,1
70773,71121,1,1,1
72308,72542,2,2,1
73633,73836,1,1,1
75049,75255,2,2,1
76692,76954,2,2,1
77469,77776,1,1,1
78972,79203,2,2,1
80318,80527,1,1,1
81158,81466,1,1,1
82307,82683,1,1,1
83896,84095,2,2,1
85463,85677,2,2,1
86499,86760,2,2,1
87721,87904,2,2,1
89069,89319,2,2,1
90125,90446,1,1,1
91942,92159,1,1,1
93188,93410,1,1,1
94728,94992,1,1,1
96417,96636,1,1,1
97759,98024,1,1,1
99260,99537,1,1,1
100246,100547,1,1,1
101591,101862,1,1,1
102529,102898,2,2,1
103964,104232,1,1,1
104926,105204,1,1,1
106359,106610,1,1,1
107711,107951,1,1,1
108652,108938,2,2,1
110125,110376,2,2,1
111174,111423,2,2,1
112353,112638,1,1,1
113911,114250,1,1,1
114975,115216,1,1,1
115735,115955,1,1,1
116855,117119,2,2,1
117811,118079,2,2,1
118904,119303,2,2,1
120784,121035,2,2,1
121782,122309,1,1,1
123397,123647,1,1,1
124994,125203,2,2,1
125861,126121,2,2,1
127260,127464,2,2,1
128430,128669,1,1,1
129908,130097,2,2,1
131443,131646,2,2,1
132225,132506,2,2,1
133569,133779,2,2,1
135152,135387,1,1,1
136331,136648,2,1,0
137848,138071,2,2,1
138725,139044,1,1,1
139825,140061,1,1,1
141347,141551,2,2,1
142108,142399,2,2,1
143907,144108,2,2,1
145085,145292,2,2,1
145991,146300,1,1,1
146832,147205,2,2,1
148356,148604,2,2,1
150101,150316,2,2,1
151177,151400,2,2,1
152173,152387,2,2,1
153524,153711,2,2,1
155078,155322,2,2,1
156250,156453,2,2,1
157654,157961,1,1,1
159436,159643,1,1,1
160792,161051,2,2,1
162045,162284,2,2,1
163209,163446,2,2,1
164714,164912,2,2,1
165460,165723,2,2,1
166899,167137,1,1,1
168459,168725,1,1,1
169529,169767,1,1,1
170350,170674,2,2,1
171876,172148,1,1,1
173645,173900,1,1,1
175368,175585,2,2,1
176238,176495,1,1,1
177681,177884,2,2,1
178428,178742,2,2,1
180220,180481,1,1,1
181662,181920,2,2,1
182513,182842,2,2,1
183601,183857,2,2,1
185233,185517,1,1,1
186877,187101,2,2,1
188348,188571,2,2,1
189892,190363,1,1,1
191188,191488,2,2,1
192337,192629,2,2,1
193781,194054,2,2,1
194705,195025,1,1,1
196212,196475,2,2,1
197297,197536,1,1,1
198229,198544,1,1,1
199788,199909,1,2,0
200790,201107,1,1,1
202431,202697,1,1,1
204114,204342,2,2,1
205721,205974,1,1,1
207365,207669,2,2,1
