ObjShowTime, ReactionTime, StimType, Guess, Correct
10109,10314,1,1,1
11020,11215,1,1,1
12721,13010,1,1,1
14430,14611,1,1,1
15419,15606,1,1,1
16919,17078,1,1,1
17881,18057,1,1,1
19408,19554,1,1,1
20217,20414,1,1,1
21728,21882,1,1,1
23226,23397,1,1,1
24207,24387,1,1,1
25259,25442,1,1,1
25978,26200,1,1,1
27205,27396,1,1,1
28830,28987,1,1,1
30222,30419,1,1,1
31626,31816,1,1,1
32714,32897,1,1,1
33748,33946,1,1,1
34675,34855,1,1,1
35749,35892,1,1,1
36456,36709,1,1,1
37349,37551,1,1,1
38967,39119,1,1,1
40491,40681,1,1,1
41647,41844,1,1,1
42848,43034,1,1,1
44018,44219,1,1,1
44914,45115,1,1,1
46510,46702,1,1,1
48121,48309,1,1,1
49511,49687,1,1,1
50556,50760,1,1,1
51471,51675,1,1,1
52806,52979,1,1,1
54306,54453,1,1,1
55678,55864,1,1,1
57087,57442,1,1,1
58122,58328,1,1,1
59489,59660,1,1,1
60695,60870,1,1,1
61521,61763,1,1,1
61521,63189,1,1,1
63996,64252,1,1,1
65398,65673,1,1,1
66348,66598,1,1,1
67427,67626,1,1,1
68428,68635,1,1,1
69384,69578,1,1,1
70424,70613,1,1,1
71675,71847,1,1,1
72644,72826,1,1,1
73850,74018,1,1,1
74976,75126,1,1,1
75834,76019,1,1,1
76804,76973,1,1,1
77908,78059,1,1,1
77908,79258,1,1,1
80491,80673,1,1,1
81428,81605,1,1,1
82243,82457,1,1,1
83390,83601,1,1,1
84838,85032,1,1,1
86299,86463,1,1,1
87557,87741,1,1,1
89000,89167,1,1,1
89981,90171,1,1,1
91022,91197,1,1,1
92364,92524,1,1,1
93090,93312,1,1,1
94529,94699,1,1,1
96091,96279,1,1,1
97600,97775,1,1,1
98961,99139,1,1,1
100320,100498,1,1,1
101627,101931,1,1,1
102612,102805,1,1,1
103462,103651,1,1,1
104402,104554,1,1,1
105511,105614,1,1,1
105511,106872,1,1,1
107949,108110,1,1,1
108918,109084,1,1,1
110435,110613,1,1,1
111773,111939,1,1,1
112823,112998,1,1,1
114319,114477,1,1,1
115796,115926,1,1,1
117253,117399,1,1,1
118119,118345,1,1,1
119334,119512,1,1,1
120646,120825,1,1,1
121710,121910,1,1,1
123015,123201,1,1,1
124422,124593,1,1,1
125942,125994,1,1,1
127388,127451,1,1,1
128142,128490,1,1,1
129377,129574,1,1,1
130430,130611,1,1,1
131301,131542,1,1,1
132305,132517,1,1,1
133034,133265,1,1,1
134318,134524,1,1,1
135257,135455,1,1,1
136665,136859,1,1,1
138277,138510,1,1,1
139949,140157,1,1,1
141076,141300,1,1,1
141831,142084,1,1,1
143204,143396,1,1,1
144527,144709,1,1,1
145325,145517,1,1,1
146530,146705,1,1,1
147458,147655,1,1,1
149121,149293,1,1,1
150050,150237,1,1,1
151390,151542,1,1,1
152591,152763,1,1,1
154175,154348,1,1,1
155516,155706,1,1,1
156905,157064,1,1,1
158389,158569,1,1,1
159603,159791,1,1,1
160342,160626,1,1,1
161200,161405,1,1,1
162806,162964,1,1,1
163538,163759,1,1,1
164735,164940,1,1,1
166341,166514,1,1,1
167286,167527,1,1,1
167286,168984,1,1,1
169922,170124,1,1,1
171629,171809,1,1,1
173109,173293,1,1,1
174249,174447,1,1,1
175510,175683,1,1,1
176207,176552,1,1,1
177392,177573,1,1,1
178848,178998,1,1,1
180188,180329,1,1,1
180950,181347,1,1,1
182852,183008,1,1,1
183765,183948,1,1,1
184817,185135,1,1,1
185964,186127,1,1,1
186859,187033,1,1,1
188149,188336,1,1,1
189639,193635,1,2,0
194939,195125,1,1,1
