1725643093.000,4524024
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,8036944,8339808,1,1,1
2,9302004,9520088,1,1,1
3,10881236,11085040,1,1,1
4,12246308,12507196,1,1,1
5,13708468,13886120,1,1,1
6,15109356,15307184,1,1,1
7,16098460,16386016,1,1,1
8,17158284,17375156,1,1,1
9,17903456,18219684,1,1,1
10,19102968,19332396,1,1,1
11,20229728,20414360,1,1,1
12,21632704,21860856,1,1,1
13,23354164,23571660,1,1,1
14,24623996,24831664,1,1,1
15,25490984,25777360,1,1,1
16,26944672,27170080,1,1,1
17,27790392,28072252,1,1,1
18,29540568,29754700,1,1,1
19,30323008,30609612,1,1,1
20,31374948,31598328,1,1,1
21,32693616,32976252,1,1,1
22,33974568,34212732,1,1,1
23,35179120,35439556,1,1,1
24,36008900,36522568,1,1,1
25,37164880,37404184,1,1,1
26,38316500,38545176,1,1,1
27,39484468,39724868,1,1,1
28,41173152,41389888,1,1,1
29,42612208,42833560,1,1,1
30,43850844,44225556,1,1,1
31,44960864,45198976,1,1,1
32,46227288,46397324,1,1,1
33,47198644,47433840,1,1,1
34,48251156,48494200,1,1,1
35,49535516,49743428,1,1,1
36,51131760,51352712,1,1,1
37,52092028,52431568,1,1,1
38,52963884,53348172,1,1,1
39,54284460,54477096,1,1,1
40,55560408,55785288,1,1,1
41,57093604,57326300,1,1,1
42,58273612,58528524,1,1,1
43,59350840,59573800,1,1,1
44,60081112,60473932,1,1,1
45,61939252,62181704,1,1,1
46,63657016,63869160,1,1,1
47,64738476,64952420,1,1,1
48,65569756,65815388,1,1,1
49,67166748,67404476,1,1,1
50,68579768,68791508,1,1,1
51,69328844,69575508,1,1,1
52,70781824,71034812,1,1,1
53,72347168,72671872,1,1,1
54,73973192,74179268,1,1,1
55,74753592,75051832,1,1,1
56,76186148,76382172,1,1,1
57,77384520,77630412,1,1,1
58,78456756,78649624,1,1,1
59,79946936,80180768,1,1,1
60,81529060,81737060,1,1,1
61,83142408,83350476,1,1,1
62,84693860,84925368,1,1,1
63,85813720,86032116,1,1,1
64,87077436,87251820,1,1,1
65,87077436,88385560,1,1,1
66,88907872,89174632,1,1,1
67,90580944,90834972,1,1,1
68,91992288,92345092,1,1,1
69,93383408,93646120,1,1,1
70,94885460,95081432,1,1,1
71,96152752,96353776,1,1,1
72,97690100,97900540,1,1,1
73,99205884,99518248,1,1,1
74,100100572,100494560,1,1,1
75,101924964,102124428,1,1,1
76,103336904,103539876,1,1,1
77,104115280,104512608,1,1,1
78,105022028,105501368,1,1,1
79,106885764,107095392,1,1,1
80,107791832,108032896,1,1,1
81,109086328,109321152,1,1,1
82,109895580,110317680,1,1,1
83,110869112,111239872,1,1,1
84,112555252,112799324,1,1,1
85,114089732,114291316,1,1,1
86,115562692,115804652,1,1,1
87,116862032,117078820,1,1,1
88,118228228,118447432,1,1,1
89,119201876,119514572,1,1,1
90,120340980,120662696,1,1,1
91,121635072,121843664,1,1,1
92,122521108,122843524,1,1,1
93,123846904,124045796,1,1,1
94,124960176,125201976,1,1,1
95,126454380,126762324,1,1,1
96,128188736,128400876,1,1,1
97,128188736,129878700,1,1,1
98,131328076,131634496,1,1,1
99,133127924,133396364,1,1,1
100,133901800,134227152,1,1,1
101,134864632,135119440,1,1,1
102,135980928,136173216,1,1,1
103,136899640,137160828,1,1,1
104,137676304,137955984,1,1,1
105,138860428,139080612,1,1,1
106,139761064,139990736,1,1,1
107,141107184,141357240,1,1,1
108,142050692,142318448,1,1,1
109,143008900,143228416,1,1,1
110,144655868,144898964,1,1,1
111,145688436,145934716,1,1,1
112,146592136,146833976,1,1,1
113,148066396,148303952,1,1,1
114,148852428,149270396,1,1,1
115,149775920,150074828,1,1,1
116,151115280,151348416,1,1,1
117,152155892,152382856,1,1,1
118,153193304,153453564,1,1,1
119,154516044,154724412,1,1,1
120,155772888,156060312,1,1,1
121,157228760,157445188,1,1,1
122,158022664,158287520,1,1,1
123,158882944,159131072,1,1,1
124,160055492,160309176,1,1,1
125,161088624,161311564,1,1,1
126,162761020,162955960,1,1,1
127,163934384,164160500,1,1,1
128,165581992,165809324,1,1,1
129,166654788,166902396,1,1,1
130,168295824,168541924,1,1,1
131,169629372,169955248,1,1,1
132,170870724,171073496,1,1,1
133,172143948,172350352,1,1,1
134,173718808,173928748,1,1,1
135,175144200,175394284,1,1,1
136,176764728,176962484,1,1,1
137,178164932,178333904,1,1,1
138,179805356,180022552,1,1,1
139,181445008,181665484,1,1,1
140,182211904,182761328,1,1,1
141,184175820,184400320,1,1,1
142,185826736,186084848,1,1,1
143,186837272,187117244,1,1,1
144,188240688,188474508,1,1,1
145,189746980,189957516,1,1,1
146,190644968,190940660,1,1,1
147,191529084,191831312,1,1,1
148,192768792,193039240,1,1,1
149,194338720,194551300,1,1,1
150,195702748,195922844,1,1,1
151,196736300,197363960,1,1,1
152,198689436,198898220,1,1,1
153,200030644,200247052,1,1,1
154,201391544,201571856,1,1,1
155,202413284,202661136,1,1,1
156,203883592,204093004,1,1,1
157,205318432,205526008,1,1,1
158,206777456,206982764,1,1,1
159,207759212,208015372,1,1,1
160,208827848,209055336,1,1,1
161,210198760,210393368,1,1,1
162,211497840,211697716,1,1,1
163,212795188,212999076,1,1,1
164,213535556,214037388,1,1,1
165,215511864,215704116,1,1,1
166,216861564,217048976,1,1,1
167,218494496,218712112,1,1,1
168,220039560,220230516,1,1,1
169,221528996,221767356,1,1,1
170,223071808,223106108,1,1,1
171,224348560,224565684,1,1,1
172,225462128,225737300,1,1,1
173,226557748,226839996,1,1,1
174,227672424,227904348,1,1,1
175,229015804,229209920,1,1,1
176,230230380,230453880,1,1,1
177,231807308,231998068,1,1,1
178,233418520,233656568,1,1,1
179,234787024,235097708,1,1,1
180,235751200,236071848,1,1,1
181,237536304,237753636,1,1,1
182,239101092,239311344,1,1,1
183,239859772,240276216,1,1,1
184,241583696,241809492,1,1,1
185,243242964,243535528,1,1,1
186,244978948,245219704,1,1,1
187,246675156,247026712,1,1,1
188,248329188,248606264,1,1,1
189,249329692,249593428,1,1,1
190,250383884,250601532,1,1,1
191,251968012,252213416,1,1,1
192,253381864,253584864,1,1,1
193,255041352,255242660,1,1,1
194,255831088,256361776,1,1,1
195,257163256,257399204,1,1,1
196,258316628,258553976,1,1,1
197,259396444,259634648,1,1,1
198,260429076,260655932,1,1,1
199,261455416,261708128,1,1,1
200,262555580,262756012,1,1,1
