1740569917.000,3870996
ObjShowTime,ReactionTime,StimType,Guess,Correct
9021148,9305124,1,1,1
17627032,18048336,1,1,1
21470820,21848736,1,1,1
24994272,25313732,1,1,1
26610964,27588076,1,1,1
28257308,28613804,1,1,1
31163328,31456476,1,1,1
34162952,34404228,1,1,1
35851432,36424036,1,1,1
37171264,37513764,1,1,1
40357236,40692460,1,1,1
41194668,41606516,1,1,1
46304256,46692168,1,1,1
50259684,50573436,1,1,1
54241912,54595412,1,1,1
55943648,56525668,1,1,1
57603892,57956560,1,1,1
63069360,63501600,1,1,1
64815856,65317168,1,1,1
66587424,66915508,1,1,1
72328348,72745456,1,1,1
73640716,73986680,1,1,1
76739196,77001376,1,1,1
82428120,82662232,1,1,1
83651456,84011884,1,1,1
86701364,87051368,1,1,1
87858596,88207464,1,1,1
93620272,93989404,1,1,1
97642888,98013400,1,1,1
101383936,101630484,1,1,1
113875472,114181960,1,1,1
115002280,115531080,1,1,1
116721424,117141288,1,1,1
118542588,118938932,1,1,1
120374284,120731296,1,1,1
122182616,122499828,1,1,1
123538148,123797616,1,1,1
124536936,124883936,1,1,1
131647988,131960304,1,1,1
133234652,133771772,1,1,1
135916400,136279488,1,1,1
137086840,137610784,1,1,1
141019360,141370196,1,1,1
144300744,144597056,1,1,1
152670356,153057240,1,1,1
153832572,154226904,1,1,1
162524248,163104952,1,1,1
168239860,168555992,1,1,1
169511320,169998296,1,1,1
171123644,172123656,1,2,0
179090396,179392180,1,1,1
179900472,180267820,1,1,1
180782112,181050468,1,1,1
181690788,181897468,1,1,1
182973788,183215920,1,1,1
183759216,184180344,1,1,1
185490644,185779340,1,1,1
188007972,188457964,1,1,1
191164560,191536488,1,1,1
192237804,193237812,1,2,0
206882836,207294704,1,1,1
212641580,212991896,1,1,1
216449448,216833508,1,1,1
217952864,218394208,1,1,1
220657828,220996008,1,1,1
226410904,226901620,1,1,1
227771944,228256580,1,1,1
236034688,236352776,1,1,1
237677124,238048660,1,1,1
238715988,239090348,1,1,1
240402648,240734560,1,1,1
244206192,244554464,1,1,1
249226292,249745468,1,1,1
255526288,256197740,1,1,1
256859088,257218540,1,1,1
260616136,260975484,1,1,1
262061804,262437048,1,1,1
