ObjShowTime,ReactionTime,StimType,Guess,Correct
171729722341694.88,171729722341942.53,1,1,1
171729722343129.78,171729722343392.12,1,1,1
171729722344106.3,171729722344372.22,1,1,1
171729722345745.4,171729722345960.62,1,1,1
171729722347387.84,171729722347638.75,1,1,1
171729722348194.97,171729722348494.16,1,1,1
171729722349217.4,171729722349437.84,1,1,1
171729722350437.03,171729722350661.62,1,1,1
171729722351654.84,171729722351861.2,1,1,1
171729722352401.47,171729722352696.84,1,1,1
171729722353285.06,171729722353496.78,1,1,1
171729722354527.97,171729722354727.6,1,1,1
171729722355363.8,171729722355634.12,1,1,1
171729722357060.3,171729722357260.22,1,1,1
171729722358522.38,171729722358751.38,1,1,1
171729722359262.56,171729722359519.12,1,1,1
171729722360027.28,171729722360260.5,1,1,1
171729722360876.72,171729722361101.34,1,1,1
171729722361857.53,171729722362055.0,1,1,1
171729722362858.22,171729722363044.94,1,1,1
171729722364158.1,171729722364359.94,1,1,1
171729722365049.12,171729722365312.22,1,1,1
171729722366738.5,171729722366971.47,1,1,1
171729722367914.7,171729722368125.6,1,1,1
171729722369350.8,171729722369540.4,1,1,1
171729722370186.62,171729722370458.2,1,1,1
171729722371372.4,171729722371598.78,1,1,1
171729722373029.0,171729722373232.25,1,1,1
171729722374151.44,171729722374372.16,1,1,1
171729722375834.38,171729722376032.12,1,1,1
171729722376606.34,171729722376879.78,1,1,1
171729722378001.03,171729722378197.25,1,1,1
171729722379645.44,171729722379847.28,1,1,1
171729722381200.53,171729722381419.5,1,1,1
171729722382101.66,171729722382396.12,1,1,1
171729722383845.38,171729722384059.7,1,1,1
171729722385519.88,171729722385723.44,1,1,1
171729722386933.62,171729722387143.8,1,1,1
171729722388285.12,171729722388458.7,1,1,1
171729722389065.97,171729722389405.12,1,1,1
171729722390395.4,171729722390629.72,1,1,1
171729722391842.0,171729722392055.34,1,1,1
171729722393514.66,171729722393684.84,1,1,1
171729722394559.16,171729722394766.75,1,1,1
171729722395576.06,171729722395778.53,1,1,1
171729722397194.84,171729722397400.0,1,1,1
171729722398700.28,171729722398950.28,1,1,1
171729722399611.56,171729722399856.8,1,1,1
171729722401059.16,171729722401259.9,1,1,1
171729722401831.2,171729722402038.66,1,1,1
171729722402784.97,171729722402990.5,1,1,1
171729722403948.78,171729722404149.7,1,1,1
171729722405053.0,171729722405250.62,1,1,1
171729722406083.9,171729722406254.8,1,1,1
171729722407111.1,171729722407296.28,1,1,1
171729722408013.6,171729722408211.0,1,1,1
171729722409559.28,171729722409767.06,1,1,1
171729722411234.38,171729722411433.84,1,1,1
171729722411990.16,171729722412260.88,1,1,1
171729722412975.16,171729722413179.12,1,1,1
171729722414424.4,171729722414628.22,1,1,1
171729722416108.56,171729722416317.75,1,1,1
171729722417502.03,171729722417714.75,1,1,1
171729722418237.06,171729722418489.03,1,1,1
171729722419550.3,171729722419779.3,1,1,1
171729722420644.6,171729722420883.25,1,1,1
171729722421387.53,171729722421658.06,1,1,1
171729722422574.38,171729722422837.34,1,1,1
171729722424224.66,171729722424410.56,1,1,1
171729722425800.84,171729722425998.03,1,1,1
171729722427199.3,171729722427392.88,1,1,1
171729722428462.2,171729722428686.72,1,1,1
171729722429198.03,171729722429468.56,1,1,1
171729722430120.84,171729722430380.94,1,1,1
171729722431047.22,171729722431237.53,1,1,1
171729722431741.84,171729722431973.34,1,1,1
171729722432796.62,171729722432985.5,1,1,1
171729722433529.8,171729722433732.7,1,1,1
171729722434989.03,171729722435198.34,1,1,1
171729722436203.66,171729722436412.4,1,1,1
171729722437258.66,171729722437488.03,1,1,1
171729722438301.34,171729722438542.3,1,1,1
171729722439383.56,171729722439559.1,1,1,1
171729722440113.38,171729722440346.4,1,1,1
171729722441825.66,171729722442031.12,1,1,1
171729722442789.47,171729722443011.4,1,1,1
171729722443836.7,171729722444036.28,1,1,1
171729722445085.62,171729722445290.06,1,1,1
171729722446646.38,171729722446878.5,1,1,1
171729722447648.78,171729722447999.88,1,1,1
171729722449070.2,171729722449309.94,1,1,1
171729722450769.22,171729722450996.8,1,1,1
171729722452136.1,171729722452352.72,1,1,1
171729722453090.0,171729722453344.84,1,1,1
171729722453984.16,171729722454183.88,1,1,1
171729722455109.12,171729722455325.3,1,1,1
171729722456736.6,171729722457050.9,1,1,1
171729722458064.16,171729722458254.5,1,1,1
171729722459281.78,171729722459501.6,1,1,1
171729722460341.94,171729722460627.47,1,1,1
