trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726178174510.8682,1726178174736.28,1,1,1
2,1726178175391.452,1726178175651.52,1,1,1
3,1726178176675.7202,1726178176860.436,1,1,1
4,1726178178343.58,1726178178532.932,1,1,1
5,1726178179094.184,1726178179383.656,1,1,1
6,1726178179999.948,1726178180233.484,1,1,1
7,1726178181122.756,1726178181327.6082,1,1,1
8,1726178182604.9,1726178182797.588,1,1,1
9,1726178183478.864,1726178183697.892,1,1,1
10,1726178184331.224,1726178184512.656,1,1,1
11,1726178185104.9402,1726178185298.364,1,1,1
12,1726178186367.676,1726178186556.8682,1,1,1
13,1726178187170.1802,1726178187394.34,1,1,1
14,1726178188759.6602,1726178188938.536,1,1,1
15,1726178189757.852,1726178189981.8762,1,1,1
16,1726178190993.192,1726178191192.7842,1,1,1
17,1726178191902.1,1726178192107.6482,1,1,1
18,1726178193131.9402,1726178193317.7202,1,1,1
19,1726178193893.008,1726178194094.208,1,1,1
20,1726178194823.52,1726178195011.452,1,1,1
21,1726178195723.74,1726178195940.704,1,1,1
22,1726178197240.036,1726178197429.02,1,1,1
23,1726178198602.348,1726178198773.904,1,1,1
24,1726178199635.2122,1726178199822.396,1,1,1
25,1726178201085.684,1726178201277.112,1,1,1
26,1726178202592.452,1726178202784.6682,1,1,1
27,1726178203324.956,1726178203541.224,1,1,1
28,1726178204377.54,1726178204686.06,1,1,1
29,1726178205495.4,1726178205672.3242,1,1,1
30,1726178206925.644,1726178207094.052,1,1,1
31,1726178208019.4,1726178208228.652,1,1,1
32,1726178209367.996,1726178209554.952,1,1,1
33,1726178211056.26,1726178211209.0442,1,1,1
34,1726178212379.328,1726178212621.2522,1,1,1
35,1726178213911.568,1726178214135.7522,1,1,1
36,1726178215074.1082,1726178215286.548,1,1,1
37,1726178216563.896,1726178216760.48,1,1,1
38,1726178217331.792,1726178217547.728,1,1,1
39,1726178218371.0442,1726178218546.2722,1,1,1
40,1726178219061.5962,1726178219251.588,1,1,1
41,1726178219764.896,1726178219945.6,1,1,1
42,1726178221373.912,1726178221534.3162,1,1,1
43,1726178222192.624,1726178222416.144,1,1,1
44,1726178223734.4602,1726178224024.4,1,1,1
45,1726178225514.7122,1726178225693.852,1,1,1
46,1726178226627.14,1726178226803.292,1,1,1
47,1726178227561.6282,1726178227745.612,1,1,1
48,1726178228415.9,1726178228732.684,1,1,1
49,1726178229407.08,1726178229579.2122,1,1,1
50,1726178230330.548,1726178230494.56,1,1,1
51,1726178231523.872,1726178231712.852,1,1,1
52,1726178232801.176,1726178232980.144,1,1,1
53,1726178233933.464,1726178234108.708,1,1,1
54,1726178235177.02,1726178235345.344,1,1,1
55,1726178236683.6602,1726178236899.8042,1,1,1
56,1726178238001.14,1726178238187.9602,1,1,1
57,1726178239138.2722,1726178239308.916,1,1,1
58,1726178240116.208,1726178240306.9,1,1,1
59,1726178241711.248,1726178241863.788,1,1,1
60,1726178242706.0762,1726178242918.216,1,1,1
61,1726178243618.508,1726178243790.572,1,1,1
62,1726178244875.932,1726178244963.4282,1,1,1
63,1726178245711.7522,1726178245895.436,1,1,1
64,1726178247381.792,1726178247536.828,1,1,1
65,1726178248090.12,1726178248330.328,1,1,1
66,1726178248952.6482,1726178249146.9282,1,1,1
67,1726178250465.268,1726178250645.404,1,1,1
68,1726178252014.716,1726178252191.12,1,1,1
69,1726178253494.452,1726178253658.636,1,1,1
70,1726178254790.976,1726178254971.936,1,1,1
71,1726178255599.2202,1726178255981.4282,1,1,1
72,1726178256737.7202,1726178256924.0442,1,1,1
73,1726178257740.36,1726178257890.032,1,1,1
74,1726178258666.38,1726178258844.4922,1,1,1
75,1726178259433.8562,1726178259631.136,1,1,1
76,1726178261059.4602,1726178261227.9602,1,1,1
77,1726178262036.3042,1726178262252.24,1,1,1
78,1726178262784.56,1726178263033.4922,1,1,1
79,1726178264396.832,1726178264593.244,1,1,1
80,1726178265245.5642,1726178265463.664,1,1,1
81,1726178266544.984,1726178266724.776,1,1,1
82,1726178268182.092,1726178268408.476,1,1,1
83,1726178269069.8882,1726178269388.892,1,1,1
84,1726178269901.2722,1726178270097.364,1,1,1
85,1726178270804.74,1726178270998.3362,1,1,1
86,1726178272437.7202,1726178272615.028,1,1,1
87,1726178273852.4602,1726178274047.788,1,1,1
88,1726178274901.228,1726178275077.328,1,1,1
89,1726178276428.7642,1726178276604.412,1,1,1
90,1726178277395.812,1726178277583.88,1,1,1
91,1726178278498.28,1726178278814.736,1,1,1
92,1726178280085.1082,1726178280247.4,1,1,1
93,1726178281746.808,1726178281913.872,1,1,1
94,1726178282441.28,1726178282733.6802,1,1,1
95,1726178283903.112,1726178284075.704,1,1,1
96,1726178285269.136,1726178285433.0,1,1,1
97,1726178286618.444,1726178286785.244,1,1,1
98,1726178287786.6282,1726178287967.4082,1,1,1
99,1726178288644.8162,1726178288817.528,1,1,1
100,1726178289410.964,1726178289573.1682,1,1,1
