1726152971.000,3389296
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6900164,7125576,1,1,1
2,7780748,8040816,1,1,1
3,9065016,9249732,1,1,1
4,10732876,10922228,1,1,1
5,11483480,11772952,1,1,1
6,12389244,12622780,1,1,1
7,13512052,13716904,1,1,1
8,14994196,15186884,1,1,1
9,15868160,16087188,1,1,1
10,16720520,16901952,1,1,1
11,17494236,17687660,1,1,1
12,18756972,18946164,1,1,1
13,19559476,19783636,1,1,1
14,21148956,21327832,1,1,1
15,22147148,22371172,1,1,1
16,23382488,23582080,1,1,1
17,24291396,24496944,1,1,1
18,25521236,25707016,1,1,1
19,26282304,26483504,1,1,1
20,27212816,27400748,1,1,1
21,28113036,28330000,1,1,1
22,29629332,29818316,1,1,1
23,30991644,31163200,1,1,1
24,32024508,32211692,1,1,1
25,33474980,33666408,1,1,1
26,34981748,35173964,1,1,1
27,35714252,35930520,1,1,1
28,36766836,37075356,1,1,1
29,37884696,38061620,1,1,1
30,39314940,39483348,1,1,1
31,40408696,40617948,1,1,1
32,41757292,41944248,1,1,1
33,43445556,43598340,1,1,1
34,44768624,45010548,1,1,1
35,46300864,46525048,1,1,1
36,47463404,47675844,1,1,1
37,48953192,49149776,1,1,1
38,49721088,49937024,1,1,1
39,50760340,50935568,1,1,1
40,51450892,51640884,1,1,1
41,52154192,52334896,1,1,1
42,53763208,53923612,1,1,1
43,54581920,54805440,1,1,1
44,56123756,56413696,1,1,1
45,57904008,58083148,1,1,1
46,59016436,59192588,1,1,1
47,59950924,60134908,1,1,1
48,60805196,61121980,1,1,1
49,61796376,61968508,1,1,1
50,62719844,62883856,1,1,1
51,63913168,64102148,1,1,1
52,65190472,65369440,1,1,1
53,66322760,66498004,1,1,1
54,67566316,67734640,1,1,1
55,69072956,69289100,1,1,1
56,70390436,70577256,1,1,1
57,71527568,71698212,1,1,1
58,72505504,72696196,1,1,1
59,74100544,74253084,1,1,1
60,75095372,75307512,1,1,1
61,76007804,76179868,1,1,1
62,77265228,77352724,1,1,1
63,78101048,78284732,1,1,1
64,79771088,79926124,1,1,1
65,80479416,80719624,1,1,1
66,81341944,81536224,1,1,1
67,82854564,83034700,1,1,1
68,84404012,84580416,1,1,1
69,85883748,86047932,1,1,1
70,87180272,87361232,1,1,1
71,87988516,88370724,1,1,1
72,89127016,89313340,1,1,1
73,90129656,90279328,1,1,1
74,91055676,91233788,1,1,1
75,91823152,92020432,1,1,1
76,93448756,93617256,1,1,1
77,94425600,94641536,1,1,1
78,95173856,95422788,1,1,1
79,96786128,96982540,1,1,1
80,97634860,97852960,1,1,1
81,98934280,99114072,1,1,1
82,100571388,100797772,1,1,1
83,101459184,101778188,1,1,1
84,102290568,102486660,1,1,1
85,103194036,103387632,1,1,1
86,104827016,105004324,1,1,1
87,106241756,106437084,1,1,1
88,107290524,107466624,1,1,1
89,108818060,108993708,1,1,1
90,109785108,109973176,1,1,1
91,110887576,111204032,1,1,1
92,112474404,112636696,1,1,1
93,114136104,114303168,1,1,1
94,114830576,115122976,1,1,1
95,116292408,116465000,1,1,1
96,117658432,117822296,1,1,1
97,119007740,119174540,1,1,1
98,120175924,120356704,1,1,1
99,121034112,121206824,1,1,1
100,121800260,121962464,1,1,1
