trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1727119518510.892,1727119518737.508,1,1,1
2,1727119519297.708,1727119519545.232,1,1,1
3,1727119520904.424,1727119521098.616,1,1,1
4,1727119521973.812,1727119522182.232,1,1,1
5,1727119523185.5,1727119523421.94,1,1,1
6,1727119523957.224,1727119524277.592,1,1,1
7,1727119525599.852,1727119525800.3,1,1,1
8,1727119526782.564,1727119526960.4,1,1,1
9,1727119527707.644,1727119527895.676,1,1,1
10,1727119528426.012,1727119528718.156,1,1,1
11,1727119529674.468,1727119529867.1,1,1,1
12,1727119530988.412,1727119531160.0,1,1,1
13,1727119532203.308,1727119532403.128,1,1,1
14,1727119533178.436,1727119533361.652,1,1,1
15,1727119534822.964,1727119535018.768,1,1,1
16,1727119535920.08,1727119536139.268,1,1,1
17,1727119537302.616,1727119537503.676,1,1,1
18,1727119538305.964,1727119538480.68,1,1,1
19,1727119539568.02,1727119539740.784,1,1,1
20,1727119540661.076,1727119540837.42,1,1,1
21,1727119541745.764,1727119541923.72,1,1,1
22,1727119543047.028,1727119543203.764,1,1,1
23,1727119544262.14,1727119544430.044,1,1,1
24,1727119545076.352,1727119545290.192,1,1,1
25,1727119545798.48,1727119546039.528,1,1,1
26,1727119546794.812,1727119546982.968,1,1,1
27,1727119548394.288,1727119548576.12,1,1,1
28,1727119549098.428,1727119549379.98,1,1,1
29,1727119550404.268,1727119550608.68,1,1,1
30,1727119551370.968,1727119551532.808,1,1,1
31,1727119552136.12,1727119552340.252,1,1,1
32,1727119553404.56,1727119553598.248,1,1,1
33,1727119554226.588,1727119554411.076,1,1,1
34,1727119555200.42,1727119555398.176,1,1,1
35,1727119556833.52,1727119557006.788,1,1,1
36,1727119558060.116,1727119558242.144,1,1,1
37,1727119559593.484,1727119559749.348,1,1,1
38,1727119561112.696,1727119561286.508,1,1,1
39,1727119562000.844,1727119562234.292,1,1,1
40,1727119562996.588,1727119563171.572,1,1,1
41,1727119563884.908,1727119564044.32,1,1,1
42,1727119565462.668,1727119565634.312,1,1,1
43,1727119567021.648,1727119567214.896,1,1,1
44,1727119567755.188,1727119568006.92,1,1,1
45,1727119568904.228,1727119569065.244,1,1,1
46,1727119570442.552,1727119570601.772,1,1,1
47,1727119571793.12,1727119571951.656,1,1,1
48,1727119573036.976,1727119573177.208,1,1,1
49,1727119573771.588,1727119573991.176,1,1,1
50,1727119575265.516,1727119575398.724,1,1,1
51,1727119576360.012,1727119576524.296,1,1,1
52,1727119577922.648,1727119578083.84,1,1,1
53,1727119579534.124,1727119584347.144,1,1,1
54,1727119585498.488,1727119585771.632,1,1,1
55,1727119586330.944,1727119586730.124,1,1,1
56,1727119587442.416,1727119587674.992,1,1,1
57,1727119588243.304,1727119588522.492,1,1,1
58,1727119589987.8,1727119590163.972,1,1,1
59,1727119591362.264,1727119591554.724,1,1,1
60,1727119592253.06,1727119592531.624,1,1,1
61,1727119593996.968,1727119594180.212,1,1,1
62,1727119595661.592,1727119595826.576,1,1,1
63,1727119596458.868,1727119596717.392,1,1,1
64,1727119597661.708,1727119597835.832,1,1,1
65,1727119598975.184,1727119599138.452,1,1,1
66,1727119600321.8,1727119600472.52,1,1,1
67,1727119601822.836,1727119601989.328,1,1,1
68,1727119602629.64,1727119602854.596,1,1,1
69,1727119604350.912,1727119604547.792,1,1,1
70,1727119605341.084,1727119605538.996,1,1,1
71,1727119606742.308,1727119606916.452,1,1,1
72,1727119608385.768,1727119608604.552,1,1,1
73,1727119609669.892,1727119609859.752,1,1,1
74,1727119611047.096,1727119611235.66,1,1,1
75,1727119612660.06,1727119612852.452,1,1,1
76,1727119614179.856,1727119614395.632,1,1,1
77,1727119615046.032,1727119615270.66,1,1,1
78,1727119616217.056,1727119616426.98,1,1,1
79,1727119617816.384,1727119618027.6,1,1,1
80,1727119618595.004,1727119618869.216,1,1,1
81,1727119619950.62,1727119620154.844,1,1,1
82,1727119621011.248,1727119621230.644,1,1,1
83,1727119622148.024,1727119622369.272,1,1,1
84,1727119623107.716,1727119623375.088,1,1,1
85,1727119624821.464,1727119625055.488,1,1,1
86,1727119625698.892,1727119625974.852,1,1,1
87,1727119627335.256,1727119627531.684,1,1,1
88,1727119628866.128,1727119629061.024,1,1,1
89,1727119630223.46,1727119630405.1,1,1,1
90,1727119631730.512,1727119631931.412,1,1,1
91,1727119633156.792,1727119633342.048,1,1,1
92,1727119634035.456,1727119634285.992,1,1,1
93,1727119634894.4,1727119635175.464,1,1,1
94,1727119636300.844,1727119636476.036,1,1,1
95,1727119637331.444,1727119637499.752,1,1,1
96,1727119638635.184,1727119638802.492,1,1,1
97,1727119640150.868,1727119640346.564,1,1,1
98,1727119641825.968,1727119641982.652,1,1,1
99,1727119642864.08,1727119643088.844,1,1,1
100,1727119644193.276,1727119644353.068,1,1,1
