ObjShowTime,ReactionTime,StimType,Guess,Correct
1728944780008.712,1728944780247.548,1,1,1
1728944780999.752,1728944781430.984,1,1,1
1728944782066.212,1728944782293.528,1,1,1
1728944782986.764,1728944783189.9,1,1,1
1728944783855.1,1728944784045.496,1,1,1
1728944784843.716,1728944785054.46,1,1,1
1728944786433.656,1728944786666.256,1,1,1
1728944787891.428,1728944788079.636,1,1,1
1728944788808.832,1728944789031.86,1,1,1
1728944789650.092,1728944789839.208,1,1,1
1728944791028.428,1728944791198.112,1,1,1
1728944792233.308,1728944792417.204,1,1,1
1728944793046.38,1728944793258.76,1,1,1
1728944793990.96,1728944794178.508,1,1,1
1728944794869.7,1728944795061.396,1,1,1
1728944796082.592,1728944796263.028,1,1,1
1728944797491.204,1728944797680.3,1,1,1
1728944798711.496,1728944798893.232,1,1,1
1728944799692.456,1728944799877.688,1,1,1
1728944800613.888,1728944800806.796,1,1,1
1728944802234.992,1728944802437.42,1,1,1
1728944803029.64,1728944803386.484,1,1,1
1728944804355.748,1728944804564.812,1,1,1
1728944805671.984,1728944805846.984,1,1,1
1728944806739.152,1728944806886.788,1,1,1
1728944808209.008,1728944808379.984,1,1,1
1728944809630.18,1728944809812.48,1,1,1
1728944810607.684,1728944810823.472,1,1,1
1728944811904.668,1728944812094.808,1,1,1
1728944812861.028,1728944813062.82,1,1,1
1728944813615.016,1728944813816.992,1,1,1
1728944814571.216,1728944814811.532,1,1,1
1728944816221.756,1728944816401.956,1,1,1
1728944817300.188,1728944817610.3,1,1,1
1728944818156.496,1728944818380.06,1,1,1
1728944819021.324,1728944819233.836,1,1,1
1728944820248.064,1728944820438.712,1,1,1
1728944821701.884,1728944821889.5042,1,1,1
1728944822543.768,1728944822786.472,1,1,1
1728944823865.796,1728944824031.576,1,1,1
1728944825289.856,1728944825477.172,1,1,1
1728944826392.48,1728944826618.812,1,1,1
1728944827203.128,1728944827540.352,1,1,1
1728944829042.664,1728944829246.024,1,1,1
1728944830616.308,1728944830793.924,1,1,1
1728944831489.204,1728944831759.164,1,1,1
1728944832859.424,1728944833034.208,1,1,1
1728944833985.528,1728944834156.612,1,1,1
1728944835409.94,1728944835592.124,1,1,1
1728944836306.444,1728944836491.0562,1,1,1
1728944837453.344,1728944837640.184,1,1,1
1728944837453.344,1728944838740.916,1,1,1
1728944839887.208,1728944840186.948,1,1,1
1728944841287.256,1728944841474.388,1,1,1
1728944842037.704,1728944842270.36,1,1,1
1728944843742.624,1728944843915.164,1,1,1
1728944844857.456,1728944845055.976,1,1,1
1728944846399.292,1728944846579.28,1,1,1
1728944847962.572,1728944848141.0562,1,1,1
1728944849444.348,1728944849626.612,1,1,1
1728944851054.872,1728944851241.18,1,1,1
1728944851977.5042,1728944852241.924,1,1,1
1728944853480.204,1728944853666.588,1,1,1
1728944854304.848,1728944854658.768,1,1,1
1728944855488.0562,1728944855661.292,1,1,1
1728944856208.552,1728944856390.832,1,1,1
1728944857576.132,1728944857758.16,1,1,1
1728944858637.444,1728944858824.776,1,1,1
1728944860188.088,1728944860340.232,1,1,1
1728944861786.516,1728944861961.304,1,1,1
1728944862609.592,1728944862822.336,1,1,1
1728944864087.652,1728944864262.964,1,1,1
1728944865619.228,1728944865777.988,1,1,1
1728944867159.276,1728944867335.136,1,1,1
1728944868735.5,1728944868857.536,1,1,1
1728944869507.82,1728944869759.336,1,1,1
1728944870842.628,1728944871019.84,1,1,1
1728944872143.128,1728944872322.816,1,1,1
1728944873553.08,1728944873717.1082,1,1,1
1728944875103.4,1728944875281.136,1,1,1
1728944876574.424,1728944876751.912,1,1,1
1728944877872.2,1728944878039.996,1,1,1
1728944879388.312,1728944879529.04,1,1,1
1728944880371.352,1728944880599.488,1,1,1
1728944882018.816,1728944882197.776,1,1,1
1728944883460.092,1728944883635.788,1,1,1
1728944884225.052,1728944884498.876,1,1,1
1728944885316.232,1728944885550.388,1,1,1
1728944886547.672,1728944886741.164,1,1,1
1728944887908.452,1728944887916.552,1,1,1
1728944888540.86,1728944888786.232,1,1,1
1728944889361.512,1728944889553.816,1,1,1
1728944890092.132,1728944890283.908,1,1,1
1728944890916.196,1728944891104.584,1,1,1
1728944891869.892,1728944892052.668,1,1,1
1728944893242.976,1728944893618.984,1,1,1
1728944895083.264,1728944895300.648,1,1,1
1728944895862.936,1728944896119.784,1,1,1
1728944897121.104,1728944897305.812,1,1,1
1728944897813.116,1728944898028.38,1,1,1
