171729686657.000,3277920
ObjShowTime,ReactionTime,StimType,Guess,Correct
56606732,56879320,1,1,1
58187540,58423868,1,1,1
59833092,60002172,1,1,1
60866368,61071164,1,1,1
61853364,62017212,1,1,1
62839400,63007388,1,1,1
63606584,63793772,1,1,1
64418944,64584064,1,1,1
64418944,66020700,1,1,1
67068964,67258464,1,1,1
68447688,68625120,1,1,1
69134316,69434988,1,1,1
70504184,70694724,1,1,1
71600916,71788816,1,1,1
72546032,72736188,1,1,1
73931408,74101948,1,1,1
74783144,74977516,1,1,1
75510736,75862640,1,1,1
76390812,76595756,1,1,1
77334960,77519424,1,1,1
78422652,78588812,1,1,1
79995988,80151792,1,1,1
81313032,81486068,1,1,1
82657292,82831460,1,1,1
83768652,83941940,1,1,1
84764176,84946272,1,1,1
86232468,86382056,1,1,1
87337260,87519044,1,1,1
88348240,88506340,1,1,1
89347512,89508132,1,1,1
90726352,90867864,1,1,1
91497084,91688792,1,1,1
92330000,92494940,1,1,1
93930160,94089848,1,1,1
94917024,95090060,1,1,1
96037300,96210136,1,1,1
97303352,97460124,1,1,1
98588324,98730292,1,1,1
99789512,99967144,1,1,1
101417344,101511340,1,1,1
102961656,103106852,1,1,1
104420160,104547708,1,1,1
105331000,105531236,1,1,1
106807496,106975148,1,1,1
107567436,107761652,1,1,1
108598964,108777892,1,1,1
109340216,109540512,1,1,1
110419820,110594500,1,1,1
111339828,111523236,1,1,1
112645528,112821168,1,1,1
113548456,113723824,1,1,1
114780144,114948000,1,1,1
116433292,116460956,1,1,1
117927244,118103544,1,1,1
118660824,118874740,1,1,1
120363032,120528132,1,1,1
121541448,121716508,1,1,1
122747792,122960268,1,1,1
124056596,124241260,1,1,1
125355584,125544260,1,1,1
126876544,127023816,1,1,1
127596144,127930636,1,1,1
128940952,129094152,1,1,1
130342440,130489840,1,1,1
131637128,131807812,1,1,1
131637128,133013520,1,1,1
131637128,133603248,1,1,1
134852564,135017140,1,1,1
136131424,136305940,1,1,1
137245256,137427156,1,1,1
138425440,138590012,1,1,1
139307272,139497040,1,1,1
140453332,140601188,1,1,1
141893472,142039344,1,1,1
142774628,142962576,1,1,1
143489932,143743612,1,1,1
144572908,144733944,1,1,1
145674228,145842728,1,1,1
147068988,147221436,1,1,1
148120728,148281912,1,1,1
149040168,149210360,1,1,1
150266668,150425816,1,1,1
151760104,151917788,1,1,1
152596100,152809156,1,1,1
153950416,154112164,1,1,1
154629452,154891044,1,1,1
155770332,155913376,1,1,1
156957684,157122008,1,1,1
157701344,157947276,1,1,1
159354592,159549692,1,1,1
160342004,160550832,1,1,1
161283120,161465872,1,1,1
162381132,162549936,1,1,1
163932224,164095972,1,1,1
164731264,164920456,1,1,1
164731264,166217180,1,1,1
167027496,167179440,1,1,1
168460720,168625588,1,1,1
169743912,169910836,1,1,1
171263100,171421344,1,1,1
