1746816826.000,4322760
ObjShowTime,ReactionTime,StimType,Guess,Correct
62820776,63221048,1,1,1
63966248,64365460,1,1,1
65785652,65980552,1,1,1
67120768,67327952,1,1,1
68339124,68535660,1,1,1
69427884,69629328,1,1,1
70311548,70513852,1,1,1
71846044,72031460,1,1,1
73065660,73229796,1,1,1
73943072,74169144,1,1,1
75194336,75352280,1,1,1
76098504,76298160,1,1,1
77682356,77871152,1,1,1
78783372,78988648,1,1,1
79957868,80132068,1,1,1
79957868,81328684,1,1,1
82463888,82696868,1,1,1
84014064,84213304,1,1,1
85338504,85524616,1,1,1
86728808,86933896,1,1,1
88006124,88209520,1,1,1
89201716,89394128,1,1,1
90416300,90586048,1,1,1
91393256,91737936,1,1,1
92447112,92632960,1,1,1
93160156,93370880,1,1,1
93936112,94283528,1,1,1
95667736,95874592,1,1,1
97264796,97456096,1,1,1
98041272,98416400,1,1,1
99228596,99411260,1,1,1
100682484,100895376,1,1,1
102100660,102273496,1,1,1
103520816,103604424,1,1,1
104124708,104543436,1,1,1
105211744,105414836,1,1,1
106572160,106741348,1,1,1
107404604,107605300,1,1,1
109049608,109253584,1,1,1
109833896,110046844,1,1,1
110859128,111041520,1,1,1
112236808,112392376,1,1,1
113042660,113250296,1,1,1
114026588,114377904,1,1,1
114948192,115148212,1,1,1
116383528,116593764,1,1,1
117159052,117407732,1,1,1
118184020,118341960,1,1,1
118914244,119149088,1,1,1
119699412,119907712,1,1,1
120756032,120955452,1,1,1
121785712,121985352,1,1,1
122792660,122961068,1,1,1
124117356,124294984,1,1,1
124863272,125077936,1,1,1
126364252,126559880,1,1,1
127783144,128116920,1,1,1
129330208,129492284,1,1,1
130718592,130878244,1,1,1
131688508,131849156,1,1,1
132740444,132948632,1,1,1
133523924,133874672,1,1,1
134763036,134948872,1,1,1
136346188,137006540,1,1,1
138191852,138356140,1,1,1
139783432,140145160,1,1,1
140708444,140944480,1,1,1
141665792,141851608,1,1,1
143243920,143447316,1,1,1
144286628,144577252,1,1,1
145582512,145717712,1,1,1
146355028,146552424,1,1,1
147066712,147245968,1,1,1
148051260,148215980,1,1,1
149323296,149497628,1,1,1
150015952,150212988,1,1,1
151012308,151178384,1,1,1
152097696,152147624,1,1,1
153414884,153678116,1,1,1
154521428,154709964,1,1,1
155982284,156060840,1,1,1
157062152,157225360,1,1,1
157836652,158035960,1,1,1
157836652,159290696,1,1,1
160486008,160725664,1,1,1
161462948,161710396,1,1,1
162746684,162952572,1,1,1
163572868,163787184,1,1,1
164387544,164559216,1,1,1
165379536,165558736,1,1,1
166151048,166341168,1,1,1
167078460,167260028,1,1,1
167831312,168178236,1,1,1
169390528,169582448,1,1,1
170942708,171130968,1,1,1
172255256,172420592,1,1,1
173764856,173959788,1,1,1
174859072,175034004,1,1,1
176518264,176699488,1,1,1
177233800,177443828,1,1,1
