1740746034.000,6667552
ObjShowTime,ReactionTime,StimType,Guess,Correct
66010732,66397752,1,1,1
67173976,67706408,1,1,1
68970608,69167220,1,1,1
70567444,70760956,1,1,1
72133192,72313648,1,1,1
73339840,73569820,1,1,1
74895048,75109896,1,1,1
75840124,76150200,1,1,1
76703420,77018656,1,1,1
77836924,78067156,1,1,1
78658388,78898632,1,1,1
80342856,80612968,1,1,1
82046140,82248004,1,1,1
83391220,83578768,1,1,1
84700968,84906824,1,1,1
86149020,86315116,1,1,1
87628344,87794160,1,1,1
88407364,88754852,1,1,1
89970024,90163628,1,1,1
90711840,90989444,1,1,1
91511640,91731244,1,1,1
92879468,93093564,1,1,1
93710804,93896620,1,1,1
94843820,95043384,1,1,1
96148556,96337432,1,1,1
97736660,97939496,1,1,1
99102716,99346972,1,1,1
100821180,101003404,1,1,1
101524692,101748520,1,1,1
103131808,103334672,1,1,1
104403960,104741976,1,1,1
105344264,105571212,1,1,1
106164468,106413460,1,1,1
107757752,107933944,1,1,1
108734252,108925012,1,1,1
109740340,110063672,1,1,1
111382992,111562100,1,1,1
112073416,112323872,1,1,1
113760180,113980480,1,1,1
115172764,115364964,1,1,1
116145248,116347760,1,1,1
117659024,117838096,1,1,1
118898408,119071760,1,1,1
119942068,120131864,1,1,1
120877148,121062396,1,1,1
121587720,121775540,1,1,1
123125832,123314856,1,1,1
124570144,124733812,1,1,1
125542168,125727772,1,1,1
126309080,126495868,1,1,1
127363156,127558560,1,1,1
128954880,129128352,1,1,1
129816640,130025524,1,1,1
130866832,131069640,1,1,1
131790908,132047944,1,1,1
133004252,133203820,1,1,1
134599080,134779120,1,1,1
135832424,136015916,1,1,1
136530196,136792340,1,1,1
138134624,138333624,1,1,1
139292916,139526100,1,1,1
140264456,140501380,1,1,1
141578672,141783008,1,1,1
143166324,143358416,1,1,1
144058712,144329548,1,1,1
144919804,145130640,1,1,1
145676948,145923608,1,1,1
147394868,147597036,1,1,1
148290320,148500884,1,1,1
149805172,150004188,1,1,1
151307480,151515684,1,1,1
152708972,152896084,1,1,1
153937372,154165764,1,1,1
155362052,155566812,1,1,1
156817140,157008880,1,1,1
157709196,157952888,1,1,1
159089180,159282836,1,1,1
160549100,160747720,1,1,1
161855036,162042564,1,1,1
163269828,163480368,1,1,1
164052652,164438380,1,1,1
165784664,165976332,1,1,1
167331640,167610616,1,1,1
168698900,168885356,1,1,1
169836640,170057044,1,1,1
170840328,171102360,1,1,1
172026672,172199952,1,1,1
173420300,173583784,1,1,1
175066100,175249788,1,1,1
176591080,176772956,1,1,1
177616216,177813444,1,1,1
178884736,179074364,1,1,1
179831676,180024752,1,1,1
180646044,180881564,1,1,1
182298848,182482364,1,1,1
183398656,183578784,1,1,1
184458096,184624336,1,1,1
185325616,185495204,1,1,1
186767464,186939516,1,1,1
187711804,187909544,1,1,1
