1726154432.000,3828212
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7339084,7566768,1,1,1
2,8973964,9164692,1,1,1
3,10528840,10716960,1,1,1
4,11929216,12121120,1,1,1
5,12804388,13031912,1,1,1
6,13586196,13776544,1,1,1
7,14500804,14693128,1,1,1
8,15926372,16127328,1,1,1
9,16952592,17131752,1,1,1
10,18035064,18218468,1,1,1
11,19199784,19359088,1,1,1
12,19907436,20121940,1,1,1
13,21226284,21394972,1,1,1
14,22826256,22838880,1,1,1
15,23379168,23737252,1,1,1
16,24413568,24623924,1,1,1
17,25154236,25339340,1,1,1
18,26098680,26328100,1,1,1
19,26919436,27132208,1,1,1
20,28360544,28566832,1,1,1
21,29107168,29295524,1,1,1
22,30568840,30747196,1,1,1
23,32231528,32425820,1,1,1
24,33542128,33729580,1,1,1
25,34903916,35090364,1,1,1
26,35694676,35918664,1,1,1
27,37306980,37488392,1,1,1
28,38379680,38616568,1,1,1
29,39934884,40148740,1,1,1
30,40853064,41123044,1,1,1
31,42145380,42328560,1,1,1
32,43447876,43684800,1,1,1
33,45163144,45350620,1,1,1
34,46314908,46530388,1,1,1
35,47412708,47614536,1,1,1
36,48618864,48802740,1,1,1
37,49745064,49940740,1,1,1
38,51146048,51334976,1,1,1
39,51991292,52319340,1,1,1
40,53299684,53531912,1,1,1
41,55024248,55219472,1,1,1
42,56553788,56711972,1,1,1
43,57515260,57736560,1,1,1
44,58859876,59046308,1,1,1
45,59780660,59965920,1,1,1
46,61249232,61459120,1,1,1
47,62092408,62325876,1,1,1
48,63763216,63950140,1,1,1
49,64705520,64895152,1,1,1
50,65956492,66159740,1,1,1
51,66693076,66903664,1,1,1
52,67740952,67911524,1,1,1
53,69036840,69221404,1,1,1
54,70579748,70798900,1,1,1
55,71740216,71955244,1,1,1
56,73150532,73379588,1,1,1
57,74097876,74296508,1,1,1
58,75577852,75771556,1,1,1
59,76522844,76712804,1,1,1
60,78156096,78328488,1,1,1
61,79617804,79794360,1,1,1
62,80322716,80567804,1,1,1
63,81954096,82139756,1,1,1
64,82657064,82878980,1,1,1
65,83903296,84076656,1,1,1
66,84737988,84922900,1,1,1
67,85522208,85711680,1,1,1
68,86875996,87061780,1,1,1
69,88190092,88364080,1,1,1
70,89783396,89961292,1,1,1
71,91335608,91506048,1,1,1
72,92079368,92277824,1,1,1
73,93038164,93240588,1,1,1
74,93873928,94077648,1,1,1
75,94988004,95177196,1,1,1
76,96599520,96822008,1,1,1
77,98177296,98369144,1,1,1
78,98177296,99580880,1,1,1
79,101019220,103059976,1,1,1
80,104286356,104521652,1,1,1
81,106001080,106176344,1,1,1
82,106808744,107140528,1,1,1
83,108045928,108238444,1,1,1
84,109525840,109694672,1,1,1
85,110817080,111001608,1,1,1
86,111831036,112012276,1,1,1
87,113262684,113441844,1,1,1
88,114937248,115133200,1,1,1
89,116524644,116686448,1,1,1
90,117620828,117828108,1,1,1
91,118478512,118691336,1,1,1
92,119660716,119852700,1,1,1
93,121026112,121192076,1,1,1
94,122294456,122521260,1,1,1
95,123699640,123762112,1,1,1
96,125100520,125253356,1,1,1
97,126081764,126334160,1,1,1
98,127336564,127514988,1,1,1
99,129015424,129207780,1,1,1
100,129767184,130127968,1,1,1
