1728302646.000,13456660
ObjShowTime,ReactionTime,StimType,Guess,Correct
77719504,78686012,1,1,1
79591208,80106756,1,1,1
80685976,81104268,1,1,1
81639464,82010524,1,1,1
83224720,83559848,1,1,1
84260036,84555288,1,1,1
85954512,86236984,1,1,1
86840180,87180400,1,1,1
88115596,88374440,1,1,1
89400672,89668136,1,1,1
90790368,91027532,1,1,1
92396732,92666728,1,1,1
93662924,93896164,1,1,1
94796392,95069088,1,1,1
96295260,96519476,1,1,1
97562672,97803712,1,1,1
99127932,99362928,1,1,1
99896152,100598532,1,1,1
101591772,101859236,1,1,1
103000556,103212232,1,1,1
104291516,104528492,1,1,1
105595776,105837936,1,1,1
106689292,106929592,1,1,1
107604904,107889036,1,1,1
108473352,108727724,1,1,1
110193016,110420964,1,1,1
111921256,112124536,1,1,1
112746800,113085404,1,1,1
114525724,114758308,1,1,1
115920596,116173292,1,1,1
117629576,117890096,1,1,1
118874384,119138144,1,1,1
120074404,120453708,1,1,1
121002000,121335156,1,1,1
122633448,122876588,1,1,1
123927896,124158600,1,1,1
125080864,125305864,1,1,1
125932176,126178052,1,1,1
127153312,127392564,1,1,1
128000848,128277564,1,1,1
129498868,129719272,1,1,1
130352592,130677620,1,1,1
132112916,132415592,1,1,1
133091904,133355156,1,1,1
134437452,134685424,1,1,1
135634708,135889608,1,1,1
137174896,137537832,1,1,1
138546144,138757508,1,1,1
139800844,140224292,1,1,1
140969576,141193628,1,1,1
142515944,142737260,1,1,1
143288520,143565304,1,1,1
144839588,145069660,1,1,1
145882944,146141948,1,1,1
147596236,147848680,1,1,1
148451988,148720988,1,1,1
150072296,150334788,1,1,1
151131100,151375376,1,1,1
152665668,152861620,1,1,1
153464912,153744188,1,1,1
154499452,154787516,1,1,1
155400844,155623820,1,1,1
156221136,156459916,1,1,1
157032236,157241632,1,1,1
158407920,158698960,1,1,1
159979272,160199260,1,1,1
161322552,161536684,1,1,1
162251940,162479908,1,1,1
163221196,163442788,1,1,1
164061100,164412220,1,1,1
165772480,165976000,1,1,1
167004288,167208408,1,1,1
168419700,168573644,1,1,1
169918900,170169592,1,1,1
170908920,171137256,1,1,1
171665540,171933860,1,1,1
172901172,173109104,1,1,1
173618364,173889488,1,1,1
174406780,174634296,1,1,1
175153608,175381196,1,1,1
176437460,176679688,1,1,1
177972972,178176676,1,1,1
178764936,179031468,1,1,1
180362788,180585380,1,1,1
181941700,182163492,1,1,1
183321780,183567784,1,1,1
184980100,185217808,1,1,1
185869132,186148504,1,1,1
187113764,187338072,1,1,1
188761360,188995640,1,1,1
190064924,190342800,1,1,1
191452084,191673184,1,1,1
192670472,192886212,1,1,1
194148504,194405168,1,1,1
195338432,195556224,1,1,1
196913488,197199920,1,1,1
198322204,198545192,1,1,1
199553488,199766364,1,1,1
200907676,201176532,1,1,1
202057824,202262400,1,1,1
