17Time,StimType,Guess,Correct
1729517782.000,3611924
ObjShowTime,ReactionTime,StimType,Guess,Correct
54602032,55620884,1,1,1
56374104,56713096,1,1,1
57346268,60227880,1,1,1
60920076,61596712,1,1,1
62262932,62992552,1,1,1
63790772,64203156,1,1,1
65582356,65782392,1,1,1
67007564,67314868,1,1,1
68044064,68257700,1,1,1
68875932,69107812,1,1,1
70297036,70468744,1,1,1
71503940,71659852,1,1,1
72291076,72477808,1,1,1
73210008,73395092,1,1,1
74086292,74277124,1,1,1
75299348,75484476,1,1,1
76714696,76975816,1,1,1
78007016,78175316,1,1,1
78974536,79170308,1,1,1
79906500,80107912,1,1,1
81536108,81718588,1,1,1
82310808,82584452,1,1,1
83551664,83729496,1,1,1
84837696,85138676,1,1,1
86032900,86214728,1,1,1
87535924,87747724,1,1,1
88997924,89186232,1,1,1
89981432,90359408,1,1,1
91440612,91612484,1,1,1
92378704,92577412,1,1,1
93129608,93319764,1,1,1
94071936,94238604,1,1,1
95646780,96192920,1,1,1
97091148,97283476,1,1,1
97830696,98024592,1,1,1
98664832,98852344,1,1,1
99866572,100052864,1,1,1
101317104,101489976,1,1,1
102145264,102451420,1,1,1
103529704,103706752,1,1,1
104966060,105120792,1,1,1
106036100,106251460,1,1,1
106835760,107126972,1,1,1
108628256,108780012,1,1,1
110151324,110333292,1,1,1
111028588,111247696,1,1,1
112350008,112508080,1,1,1
113458368,113652676,1,1,1
114907036,115107188,1,1,1
115821504,116022072,1,1,1
116984360,117189120,1,1,1
118290404,118467180,1,1,1
119422472,119685656,1,1,1
120922940,121035280,1,1,1
121729572,122002052,1,1,1
121729572,123123760,1,1,1
124066044,124272940,1,1,1
125615224,125803028,1,1,1
127185292,127327876,1,1,1
128630140,128809268,1,1,1
130238548,130448720,1,1,1
131185048,131461664,1,1,1
132699944,132881168,1,1,1
133519428,133747948,1,1,1
134577232,134765876,1,1,1
135315184,135516248,1,1,1
136701556,136894940,1,1,1
137774228,138049864,1,1,1
139413168,139611000,1,1,1
141056260,141363240,1,1,1
142011520,142233892,1,1,1
143499204,143670748,1,1,1
145029064,145359128,1,1,1
146740416,146937900,1,1,1
148338260,148610520,1,1,1
149261844,149481152,1,1,1
150564440,150798396,1,1,1
151921684,152183712,1,1,1
153415004,153732304,1,1,1
155119616,155262804,1,1,1
156556092,156699500,1,1,1
157819788,158031788,1,1,1
159380104,159599216,1,1,1
160439480,160750336,1,1,1
160439480,162167040,1,1,1
162793356,163006124,1,1,1
163539416,163840216,1,1,1
164384520,164612000,1,1,1
165488348,165699548,1,1,1
166874860,167055080,1,1,1
167794364,167995132,1,1,1
169410412,169596272,1,1,1
170793588,170965256,1,1,1
171979568,172276188,1,1,1
173749476,173927212,1,1,1
174493500,174786528,1,1,1
175376844,175563008,1,1,1
176231320,176427840,1,1,1
177576100,177738628,1,1,1
178375892,178586428,1,1,1
