trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1725045450510.864,1725045450689.504,1,1,1
2,1725045451501.668,1725045451710.212,1,1,1
3,1725045452741.38,1725045452884.344,1,1,1
4,1725045453943.54,1725045454059.692,1,1,1
5,1725045454723.98,1725045454887.64,1,1,1
6,1725045456234.88,1725045456388.416,1,1,1
7,1725045457863.708,1725045458036.696,1,1,1
8,1725045458891.94,1725045459095.164,1,1,1
9,1725045459981.432,1725045460163.796,1,1,1
10,1725045461507.124,1725045461688.58,1,1,1
11,1725045462808.888,1725045462978.276,1,1,1
12,1725045463886.592,1725045464063.444,1,1,1
13,1725045464577.784,1725045464842.4,1,1,1
14,1725045466113.736,1725045466261.72,1,1,1
15,1725045467184.056,1725045467352.364,1,1,1
16,1725045468543.7,1725045468711.76,1,1,1
17,1725045469689.048,1725045469901.276,1,1,1
18,1725045470903.596,1725045471054.004,1,1,1
19,1725045471889.336,1725045472162.656,1,1,1
20,1725045473577.968,1725045473822.132,1,1,1
21,1725045474913.448,1725045475144.032,1,1,1
22,1725045476193.364,1725045476407.784,1,1,1
23,1725045477751.14,1725045478041.496,1,1,1
24,1725045479098.784,1725045479382.604,1,1,1
25,1725045479911.896,1725045480317.456,1,1,1
26,1725045481297.792,1725045481475.784,1,1,1
27,1725045482722.1,1725045482858.576,1,1,1
28,1725045484196.92,1725045484332.876,1,1,1
29,1725045485535.184,1725045485736.492,1,1,1
30,1725045485535.184,1725045486852.252,1,1,1
31,1725045488129.596,1725045488369.388,1,1,1
32,1725045489034.68,1725045489346.92,1,1,1
33,1725045490307.232,1725045490587.5,1,1,1
34,1725045491968.816,1725045492272.496,1,1,1
35,1725045493424.84,1725045493642.976,1,1,1
36,1725045494658.268,1725045494782.052,1,1,1
37,1725045496253.436,1725045496529.76,1,1,1
38,1725045497252.044,1725045497520.132,1,1,1
39,1725045498213.472,1725045498696.708,1,1,1
40,1725045499407.052,1725045499693.04,1,1,1
41,1725045500556.384,1725045500784.068,1,1,1
42,1725045501530.384,1725045501744.64,1,1,1
43,1725045503199.984,1725045503354.116,1,1,1
44,1725045504193.452,1725045504465.584,1,1,1
45,1725045505224.876,1725045505432.96,1,1,1
46,1725045506236.304,1725045506530.98,1,1,1
47,1725045507121.3,1725045507407.528,1,1,1
48,1725045508766.84,1725045508959.832,1,1,1
49,1725045510035.14,1725045510182.196,1,1,1
50,1725045510690.568,1725045511057.536,1,1,1
51,1725045512458.88,1725045512636.748,1,1,1
52,1725045513809.064,1725045514159.528,1,1,1
53,1725045514869.868,1725045515123.696,1,1,1
54,1725045516117.04,1725045516506.82,1,1,1
55,1725045517863.108,1725045518089.14,1,1,1
56,1725045519014.46,1725045519334.304,1,1,1
57,1725045520264.596,1725045520574.06,1,1,1
58,1725045521648.376,1725045521852.056,1,1,1
59,1725045522763.376,1725045523160.252,1,1,1
60,1725045524026.572,1725045524257.92,1,1,1
61,1725045525652.256,1725045525868.436,1,1,1
62,1725045526753.72,1725045526979.148,1,1,1
63,1725045528257.5,1725045528444.84,1,1,1
64,1725045529627.124,1725045529825.672,1,1,1
65,1725045530333.008,1725045530671.956,1,1,1
66,1725045531206.28,1725045531491.08,1,1,1
67,1725045532487.392,1725045532744.004,1,1,1
68,1725045534066.348,1725045534253.256,1,1,1
69,1725045535179.596,1725045535382.772,1,1,1
70,1725045536365.116,1725045536579.968,1,1,1
71,1725045537347.308,1725045537593.516,1,1,1
72,1725045538463.852,1725045538686.748,1,1,1
73,1725045540172.04,1725045540387.64,1,1,1
74,1725045540907.956,1725045541324.392,1,1,1
75,1725045542033.684,1725045542267.288,1,1,1
76,1725045543149.668,1725045543384.36,1,1,1
77,1725045544256.716,1725045544391.284,1,1,1
78,1725045545089.696,1725045545344.988,1,1,1
79,1725045546638.428,1725045546823.868,1,1,1
80,1725045548098.292,1725045548284.48,1,1,1
81,1725045549498.856,1725045549689.808,1,1,1
82,1725045550509.208,1725045550685.396,1,1,1
83,1725045551214.8,1725045551436.94,1,1,1
84,1725045552230.368,1725045552382.264,1,1,1
85,1725045553465.66,1725045553640.432,1,1,1
86,1725045554351.864,1725045554576.576,1,1,1
87,1725045555088.008,1725045555797.436,1,1,1
88,1725045556672.844,1725045556823.652,1,1,1
89,1725045557618.072,1725045557779.14,1,1,1
90,1725045559058.544,1725045559209.828,1,1,1
91,1725045559782.232,1725045559956.832,1,1,1
92,1725045561404.256,1725045561527.716,1,1,1
93,1725045562782.124,1725045562942.3,1,1,1
94,1725045563703.68,1725045563885.46,1,1,1
95,1725045564482.868,1725045564660.928,1,1,1
96,1725045565334.356,1725045565547.352,1,1,1
97,1725045566667.752,1725045566880.18,1,1,1
98,1725045567502.588,1725045567669.424,1,1,1
99,1725045567502.588,1725045569072.276,1,1,1
100,1725045569998.704,1725045570162.724,1,1,1
