1724859053.000,3943788
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7456716,7679876,1,2,0
2,8676044,8862164,1,2,0
3,9899332,10032888,1,2,0
4,10839076,11022604,1,2,0
5,12297884,12535112,1,2,0
6,13542396,13788172,1,2,0
7,14775424,14985384,1,2,0
8,16119668,16473880,1,2,0
9,17309148,17523756,1,2,0
10,18905080,19094064,1,2,0
11,20384380,20575180,1,2,0
12,21497520,21666716,1,2,0
13,23048056,23265828,1,2,0
14,24298132,24466652,1,2,0
15,25446988,25647908,1,2,0
16,26856212,27024924,1,2,0
17,27822204,28016324,1,2,0
18,29244612,29447404,1,2,0
19,30032740,30220296,1,2,0
20,30914604,31106716,1,2,0
21,32083004,32268172,1,2,0
22,33514516,33571288,1,2,0
23,34953616,35136604,1,2,0
24,36290916,36425908,1,2,0
25,37666248,37831232,1,2,0
26,39194548,39365180,1,2,0
27,40860488,41046540,1,2,0
28,42268828,42438284,1,2,0
29,43831568,44055668,1,2,0
30,45545008,45921888,1,2,0
31,47035200,47250156,1,2,0
32,48498472,48704216,1,2,0
33,49905528,50047200,1,2,0
34,51219512,51416136,1,2,0
35,52309472,52488176,1,2,0
36,53976560,54281212,1,2,0
37,55741532,55935108,1,2,0
38,56545420,56812588,1,2,0
39,58169928,58398028,1,2,0
40,59698340,59919916,1,2,0
41,60637204,60893704,1,2,0
42,62154996,62364916,1,2,0
43,63860260,64098216,1,2,0
44,65581564,65773904,1,2,0
45,66290244,66744452,1,2,0
46,67784764,68107140,1,2,0
47,68752456,68974824,1,2,0
48,70348136,70652440,1,2,0
49,71647804,71830284,1,2,0
50,73153576,73337540,1,2,0
51,73859852,74280672,1,2,0
52,74897992,75147204,1,2,0
53,75742524,75938112,1,2,0
54,76773432,76937352,1,2,0
55,78392668,78629872,1,2,0
56,79696192,79923660,1,2,0
57,80822972,81009264,1,2,0
58,81799556,81968352,1,2,0
59,82478688,82716036,1,2,0
60,83407384,83577316,1,2,0
61,83407384,84927048,1,2,0
62,86238336,86552460,1,2,0
63,87899844,88135880,1,2,0
64,89009196,89205800,1,2,0
65,90259136,90477136,1,2,0
66,91555448,91739836,1,2,0
67,93167156,93379456,1,2,0
68,94564808,94764784,1,2,0
69,95388100,95597008,1,2,0
70,96751320,96950340,1,2,0
71,98067656,98257216,1,2,0
72,99696552,99911336,1,2,0
