1725022431.000,3933088
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7444984,7662096,1,1,1
2,8724292,8917228,1,1,1
3,9606400,9799752,1,1,1
4,11129920,11311980,1,1,1
5,11853252,12127056,1,1,1
6,13536300,13732376,1,1,1
7,14371644,14661952,1,1,1
8,15561252,15841680,1,1,1
9,17230952,17538404,1,1,1
10,18610744,18814684,1,1,1
11,19547000,19791460,1,1,1
12,21220752,21459668,1,1,1
13,22481956,22686420,1,1,1
14,23242728,23580456,1,1,1
15,24779768,25024792,1,1,1
16,25904136,26175280,1,1,1
17,26978568,27341272,1,1,1
18,28609556,28872804,1,1,1
19,29693112,30007712,1,1,1
20,30925036,31145148,1,1,1
21,32411480,33044316,1,1,1
22,34117624,34447788,1,1,1
23,35128168,35417568,1,1,1
24,36220880,36458564,1,1,1
25,37080904,37561364,1,1,1
26,38250680,38454364,1,1,1
27,39207704,39426144,1,1,1
28,40061484,40280548,1,1,1
29,40972864,41180744,1,1,1
30,41845028,42060452,1,1,1
31,42856744,43070368,1,1,1
32,44450704,44662500,1,1,1
33,45887784,46122716,1,1,1
34,46852032,47077948,1,1,1
35,47695236,47900212,1,1,1
36,49088572,49365660,1,1,1
37,50400972,50603432,1,1,1
38,51234780,51479432,1,1,1
39,52211752,52395368,1,1,1
40,53087716,53288152,1,1,1
41,54310484,54510288,1,1,1
42,55738576,55918976,1,1,1
43,56951324,57117408,1,1,1
44,57914696,58082444,1,1,1
45,58818756,58966748,1,1,1
46,60395068,60572636,1,1,1
47,61163952,61451848,1,1,1
48,62419140,62601532,1,1,1
49,63710912,63836416,1,1,1
50,64730752,64912992,1,1,1
51,66234304,66440016,1,1,1
52,67690320,67893516,1,1,1
53,68689856,68867168,1,1,1
54,69948484,70116892,1,1,1
55,70882204,71059984,1,1,1
56,71612300,71793120,1,1,1
57,72545416,72727704,1,1,1
58,74138048,74315216,1,1,1
59,75212528,75397300,1,1,1
60,75944640,76123764,1,1,1
61,76764076,76900592,1,1,1
62,77914976,78114496,1,1,1
63,79377792,79527028,1,1,1
64,80182340,80361392,1,1,1
65,81440732,81630976,1,1,1
66,82889292,83051460,1,1,1
67,83966804,84063624,1,1,1
68,84646944,84815932,1,1,1
69,86317244,86502028,1,1,1
70,87872344,88024744,1,1,1
71,88720056,88887856,1,1,1
72,89988148,90141540,1,1,1
73,91091852,91266416,1,1,1
74,92519740,92658824,1,1,1
75,93373200,93550876,1,1,1
76,94513192,94684920,1,1,1
77,95785216,95980892,1,1,1
78,96936216,97098228,1,1,1
79,98335544,98500672,1,1,1
80,99194980,99341700,1,1,1
81,100465024,100634644,1,1,1
82,102127076,102316392,1,1,1
