1725020247.000,3813188
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7324052,7502692,1,1,1
2,8314856,8523400,1,1,1
3,9554568,9697532,1,1,1
4,10756728,10872880,1,1,1
5,11537168,11700828,1,1,1
6,13048068,13201604,1,1,1
7,14676896,14849884,1,1,1
8,15705128,15908352,1,1,1
9,16794620,16976984,1,1,1
10,18320312,18501768,1,1,1
11,19622076,19791464,1,1,1
12,20699780,20876632,1,1,1
13,21390972,21655588,1,1,1
14,22926924,23074908,1,1,1
15,23997244,24165552,1,1,1
16,25356888,25524948,1,1,1
17,26502236,26714464,1,1,1
18,27716784,27867192,1,1,1
19,28702524,28975844,1,1,1
20,30391156,30635320,1,1,1
21,31726636,31957220,1,1,1
22,33006552,33220972,1,1,1
23,34564328,34854684,1,1,1
24,35911972,36195792,1,1,1
25,36725084,37130644,1,1,1
26,38110980,38288972,1,1,1
27,39535288,39671764,1,1,1
28,41010108,41146064,1,1,1
29,42348372,42549680,1,1,1
30,42348372,43665440,1,1,1
31,44942784,45182576,1,1,1
32,45847868,46160108,1,1,1
33,47120420,47400688,1,1,1
34,48782004,49085684,1,1,1
35,50238028,50456164,1,1,1
36,51471456,51595240,1,1,1
37,53066624,53342948,1,1,1
38,54065232,54333320,1,1,1
39,55026660,55509896,1,1,1
40,56220240,56506228,1,1,1
41,57369572,57597256,1,1,1
42,58343572,58557828,1,1,1
43,60013172,60167304,1,1,1
44,61006640,61278772,1,1,1
45,62038064,62246148,1,1,1
46,63049492,63344168,1,1,1
47,63934488,64220716,1,1,1
48,65580028,65773020,1,1,1
49,66848328,66995384,1,1,1
50,67503756,67870724,1,1,1
51,69272068,69449936,1,1,1
52,70622252,70972716,1,1,1
53,71683056,71936884,1,1,1
54,72930228,73320008,1,1,1
55,74676296,74902328,1,1,1
56,75827648,76147492,1,1,1
57,77077784,77387248,1,1,1
58,78461564,78665244,1,1,1
59,79576564,79973440,1,1,1
60,80839760,81071108,1,1,1
61,82465444,82681624,1,1,1
62,83566908,83792336,1,1,1
63,85070688,85258028,1,1,1
64,86440312,86638860,1,1,1
65,87146196,87485144,1,1,1
66,88019468,88304268,1,1,1
67,89300580,89557192,1,1,1
68,90879536,91066444,1,1,1
69,91992784,92195960,1,1,1
70,93178304,93393156,1,1,1
71,94160496,94406704,1,1,1
72,95277040,95499936,1,1,1
73,96985228,97200828,1,1,1
74,97721144,98137580,1,1,1
75,98846872,99080476,1,1,1
76,99962856,100197548,1,1,1
77,101069904,101204472,1,1,1
78,101902884,102158176,1,1,1
79,103451616,103637056,1,1,1
80,104911480,105097668,1,1,1
81,106312044,106502996,1,1,1
82,107322396,107498584,1,1,1
83,108027988,108250128,1,1,1
84,109043556,109195452,1,1,1
85,110278848,110453620,1,1,1
86,111165052,111389764,1,1,1
87,111901196,112610624,1,1,1
88,113486032,113636840,1,1,1
89,114431260,114592328,1,1,1
90,115871732,116023016,1,1,1
91,116595420,116770020,1,1,1
92,118217444,118340904,1,1,1
93,119595312,119755488,1,1,1
94,120516868,120698648,1,1,1
95,121296056,121474116,1,1,1
96,122147544,122360540,1,1,1
97,123480940,123693368,1,1,1
98,124315776,124482612,1,1,1
99,124315776,125885464,1,1,1
100,126811892,126975912,1,1,1
101,128340372,128515320,1,1,1
102,129386812,129559748,1,1,1
