trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726176819511.952,1726176819784.5398,2,2,1
2,1726176820592.7478,1726176820871.712,2,2,1
3,1726176822240.916,1726176822516.772,1,1,1
4,1726176824017.108,1726176824290.756,1,1,1
5,1726176825171.0398,1726176825562.2158,1,1,1
6,1726176826806.544,1726176827129.948,2,2,1
7,1726176827971.2798,1726176828223.14,2,2,1
8,1726176829247.448,1726176829484.1318,2,2,1
9,1726176830089.472,1726176830318.984,2,2,1
10,1726176831577.336,1726176831824.2158,2,2,1
11,1726176832392.572,1726176832653.8838,2,2,1
12,1726176833296.212,1726176833719.2478,1,1,1
13,1726176834273.628,1726176834631.816,2,1,0
14,1726176835340.172,1726176835707.756,2,2,1
15,1726176836447.108,1726176836851.452,2,2,1
16,1726176837441.8318,1726176837702.256,2,2,1
17,1726176839044.64,1726176839373.292,1,1,1
18,1726176840443.652,1726176840732.2798,2,2,1
19,1726176841804.64,1726176842186.2,2,2,1
20,1726176843256.5598,1726176843573.448,1,1,1
21,1726176844654.812,1726176844913.312,2,1,0
22,1726176846061.668,1726176846511.032,1,1,1
23,1726176847257.4238,1726176847757.124,1,1,1
24,1726176849149.5,1726176849472.464,1,1,1
25,1726176850425.812,1726176850799.088,1,1,1
26,1726176851912.452,1726176852158.076,2,1,0
27,1726176852722.4358,1726176853049.708,1,1,1
28,1726176854516.0598,1726176854830.3718,2,2,1
29,1726176855345.7278,1726176855585.348,2,2,1
30,1726176856544.704,1726176856885.5598,2,2,1
31,1726176857390.8838,1726176857701.776,1,1,1
32,1726176858785.1318,1726176859076.9,2,1,0
33,1726176859728.252,1726176860129.464,1,1,1
34,1726176861124.8518,1726176861608.608,2,2,1
35,1726176862452.004,1726176862697.272,2,2,1
36,1726176863684.672,1726176864126.672,2,2,1
37,1726176865458.036,1726176865750.576,1,1,1
38,1726176866477.9,1726176866940.272,2,2,1
39,1726176867819.604,1726176868152.5398,1,1,1
40,1726176869450.868,1726176869748.2478,1,1,1
41,1726176870482.604,1726176870781.4558,1,1,1
42,1726176871645.812,1726176872038.4558,2,2,1
43,1726176873279.8398,1726176873545.3318,2,2,1
44,1726176874282.72,1726176874718.816,1,1,1
45,1726176875374.2,1726176875719.7678,2,2,1
46,1726176876749.156,1726176876956.5278,1,1,1
47,1726176878270.9038,1726176878449.96,1,1,1
48,1726176879770.308,1726176880000.804,2,2,1
49,1726176880513.1958,1726176880796.888,2,2,1
50,1726176881759.22,1726176882285.836,1,1,1
51,1726176883392.192,1726176883761.9358,2,2,1
52,1726176884409.2878,1726176884617.6318,2,2,1
53,1726176885248.964,1726176885604.652,1,1,1
54,1726176886466.012,1726176886862.4958,2,2,1
55,1726176887819.88,1726176888054.792,2,2,1
56,1726176888672.148,1726176888938.7678,1,1,1
57,1726176890091.124,1726176890515.836,2,2,1
58,1726176891509.1958,1726176891724.5918,2,2,1
59,1726176892575.9758,1726176892831.952,1,1,1
60,1726176893927.2878,1726176894256.752,2,2,1
61,1726176895134.136,1726176895353.168,2,2,1
62,1726176896390.5598,1726176896724.9558,2,2,1
63,1726176897367.336,1726176897661.98,1,1,1
64,1726176898928.36,1726176899284.336,1,1,1
65,1726176900304.6638,1726176900616.76,1,1,1
66,1726176902113.088,1726176902383.152,1,1,1
67,1726176903097.484,1726176903684.096,2,2,1
68,1726176904530.4758,1726176904882.652,2,2,1
69,1726176906198.98,1726176906669.348,1,1,1
70,1726176907174.68,1726176907502.824,2,2,1
71,1726176908960.1758,1726176909268.312,1,1,1
72,1726176909921.672,1726176910227.148,2,2,1
73,1726176911702.532,1726176912145.1,2,2,1
74,1726176913122.532,1726176913433.604,1,1,1
75,1726176914891.128,1726176915220.76,2,2,1
76,1726176916554.204,1726176916937.412,2,2,1
77,1726176918039.896,1726176918364.616,1,1,1
78,1726176919630.064,1726176919908.544,2,2,1
79,1726176920520.9878,1726176920884.548,1,1,1
80,1726176921563.964,1726176921831.772,2,2,1
81,1726176922392.2158,1726176922645.24,2,2,1
82,1726176923361.708,1726176923585.668,2,2,1
83,1726176924274.1118,1726176924762.912,1,1,1
84,1726176925948.376,1726176926204.636,2,2,1
85,1726176927496.088,1726176927740.16,2,2,1
86,1726176928916.5798,1726176929219.3318,1,1,1
87,1726176930327.808,1726176930570.7358,2,2,1
88,1726176931642.192,1726176931981.4558,1,1,1
89,1726176933085.9,1726176933437.824,2,2,1
90,1726176934921.244,1726176935138.7878,2,2,1
91,1726176935665.232,1726176936039.4438,2,2,1
92,1726176936949.896,1726176937248.448,1,1,1
93,1726176938748.9,1726176938971.0398,1,1,1
94,1726176939835.48,1726176940095.016,2,2,1
95,1726176941189.4878,1726176941591.38,1,1,1
96,1726176942498.824,1726176942778.004,2,1,0
97,1726176944096.484,1726176944404.9438,2,2,1
98,1726176945152.3838,1726176945378.46,2,2,1
99,1726176946145.9038,1726176946459.1118,2,2,1
100,1726176947572.532,1726176947947.064,1,1,1
101,1726176948486.62,1726176948715.7878,1,1,1
102,1726176949977.2478,1726176950274.628,2,2,1
103,1726176951284.1438,1726176951553.752,1,1,1
104,1726176953054.2478,1726176953337.052,2,2,1
105,1726176954274.548,1726176954625.5918,2,2,1
