trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726178384512.956,1726178384767.228,1,1,1
2,1726178385553.4402,1726178385809.7842,1,1,1
3,1726178386527.02,1726178386788.644,2,2,1
4,1726178388175.852,1726178388377.5042,1,1,1
5,1726178388923.84,1726178389138.884,1,1,1
6,1726178389970.2002,1726178390279.496,2,2,1
7,1726178390931.804,1726178391149.552,2,2,1
8,1726178392081.8882,1726178392358.804,1,1,1
9,1726178393282.14,1726178393478.72,2,1,0
10,1726178394709.036,1726178395038.068,2,2,1
11,1726178396310.448,1726178396648.74,1,1,1
12,1726178397371.12,1726178397701.7122,2,2,1
13,1726178399066.068,1726178399290.308,2,1,0
14,1726178400579.664,1726178400915.032,2,2,1
15,1726178402412.3882,1726178402683.6082,2,2,1
16,1726178403845.956,1726178404058.24,2,2,1
17,1726178404845.588,1726178405186.704,1,1,1
18,1726178405842.0562,1726178406131.396,1,1,1
19,1726178406860.748,1726178407091.016,1,1,1
20,1726178408559.4,1726178408835.376,1,1,1
21,1726178409882.74,1726178410165.14,2,1,0
22,1726178410885.5,1726178411295.06,1,1,1
23,1726178412358.484,1726178412626.856,2,2,1
24,1726178413290.24,1726178413608.016,2,2,1
25,1726178414578.392,1726178414878.384,1,1,1
26,1726178415847.7122,1726178416123.248,1,1,1
27,1726178416702.612,1726178417160.424,2,2,1
28,1726178418438.804,1726178418783.644,1,1,1
29,1726178419547.0,1726178419921.976,2,2,1
30,1726178421136.356,1726178421578.464,2,2,1
31,1726178422201.82,1726178422495.112,1,2,0
32,1726178423575.496,1726178423861.072,2,2,1
33,1726178424636.432,1726178424936.02,2,2,1
34,1726178425845.376,1726178426199.636,1,1,1
35,1726178427196.996,1726178427455.4922,1,1,1
36,1726178428022.8882,1726178428388.7522,1,1,1
37,1726178429312.116,1726178429602.976,2,2,1
38,1726178430462.364,1726178430783.52,2,2,1
39,1726178431783.9,1726178432151.476,1,1,1
40,1726178432989.86,1726178433294.324,2,2,1
41,1726178434018.676,1726178434309.2122,1,1,1
42,1726178435064.588,1726178435343.936,2,2,1
43,1726178435946.288,1726178436261.204,1,1,1
44,1726178437684.564,1726178437960.12,1,1,1
45,1726178439092.448,1726178439414.684,2,2,1
46,1726178440119.072,1726178440414.328,1,1,1
47,1726178441515.708,1726178441818.72,1,1,1
48,1726178442480.08,1726178442911.652,2,2,1
49,1726178444310.08,1726178444545.9402,1,1,1
50,1726178445921.3,1726178446202.324,1,1,1
51,1726178446931.676,1726178447179.092,1,1,1
52,1726178448016.452,1726178448406.464,2,2,1
53,1726178449793.852,1726178450013.636,1,1,1
54,1726178450533.984,1726178450847.448,1,1,1
55,1726178451845.804,1726178452147.352,1,1,1
56,1726178452920.736,1726178453354.72,2,2,1
57,1726178454586.0962,1726178454970.5442,1,1,1
58,1726178456087.9,1726178456475.56,2,2,1
59,1726178457294.928,1726178457560.776,1,1,1
60,1726178458243.104,1726178458468.668,2,2,1
61,1726178459355.0562,1726178459793.3,1,1,1
62,1726178460970.7322,1726178461236.152,2,2,1
63,1726178461822.536,1726178462093.372,1,1,1
64,1726178463353.7522,1726178463709.64,1,1,1
65,1726178465164.9922,1726178465516.204,2,2,1
66,1726178466489.536,1726178466947.672,2,2,1
67,1726178467640.028,1726178467970.188,1,1,1
68,1726178469165.572,1726178469517.908,2,2,1
69,1726178470507.2642,1726178470861.412,2,2,1
70,1726178471828.744,1726178472160.052,1,1,1
71,1726178472897.408,1726178473217.624,1,1,1
72,1726178474325.988,1726178474615.8882,2,2,1
73,1726178475965.268,1726178476202.588,2,2,1
74,1726178477703.944,1726178477992.74,2,2,1
75,1726178478986.22,1726178479354.372,1,1,1
76,1726178480615.792,1726178480961.448,1,1,1
77,1726178482397.9202,1726178482679.624,1,1,1
78,1726178483220.0962,1726178483594.896,1,1,1
79,1726178484930.332,1726178485351.54,1,1,1
80,1726178486625.008,1726178487088.78,2,2,1
81,1726178487900.2002,1726178488447.1,2,2,1
82,1726178489886.568,1726178490138.46,2,2,1
83,1726178490787.908,1726178491021.444,2,2,1
84,1726178492333.908,1726178492536.372,2,2,1
85,1726178493820.82,1726178494208.308,1,1,1
86,1726178495439.7842,1726178495832.428,2,2,1
87,1726178496813.872,1726178497084.7842,2,2,1
88,1726178498581.268,1726178498911.0242,1,1,1
89,1726178499434.476,1726178499702.248,1,1,1
90,1726178500834.704,1726178501168.876,2,2,1
91,1726178501736.352,1726178501956.256,2,2,1
92,1726178502895.676,1726178503233.592,1,1,1
93,1726178504680.06,1726178505100.156,2,2,1
94,1726178506034.632,1726178506439.812,1,1,1
95,1726178507928.276,1726178508122.536,2,2,1
96,1726178509511.96,1726178509701.588,1,1,1
97,1726178510541.008,1726178511143.688,1,1,1
98,1726178512336.136,1726178512650.476,1,1,1
99,1726178513176.924,1726178513456.008,1,1,1
100,1726178514449.456,1726178514711.636,2,2,1
101,1726178515818.184,1726178516119.188,1,1,1
102,1726178517473.656,1726178517756.324,1,1,1
103,1726178518770.7842,1726178519034.468,1,1,1
104,1726178520218.932,1726178520450.56,1,1,1
