1726153181.000,3119472
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6632428,6886700,1,1,1
2,7672912,7929256,1,1,1
3,8646492,8908116,2,2,1
4,10295324,10496976,1,1,1
5,11043312,11258356,1,1,1
6,12089672,12398968,2,2,1
7,13051276,13269024,2,2,1
8,14201360,14478276,1,1,1
9,15401612,15598192,2,1,0
10,16828508,17157540,2,2,1
11,18429920,18768212,1,1,1
12,19490592,19821184,2,2,1
13,21185540,21409780,2,1,0
14,22699136,23034504,2,2,1
15,24531860,24803080,2,2,1
16,25965428,26177712,2,2,1
17,26965060,27306176,1,1,1
18,27961528,28250868,1,1,1
19,28980220,29210488,1,1,1
20,30678872,30954848,1,1,1
21,32002212,32284612,2,1,0
22,33004972,33414532,1,1,1
23,34477956,34746328,2,2,1
24,35409712,35727488,2,2,1
25,36697864,36997856,1,1,1
26,37967184,38242720,1,1,1
27,38822084,39279896,2,2,1
28,40558276,40903116,1,1,1
29,41666472,42041448,2,2,1
30,43255828,43697936,2,2,1
31,44321292,44614584,1,2,0
32,45694968,45980544,2,2,1
33,46755904,47055492,2,2,1
34,47964848,48319108,1,1,1
35,49316468,49574964,1,1,1
36,50142360,50508224,1,1,1
37,51431588,51722448,2,2,1
38,52581836,52902992,2,2,1
39,53903372,54270948,1,1,1
40,55109332,55413796,2,2,1
41,56138148,56428684,1,1,1
42,57184060,57463408,2,2,1
43,58065760,58380676,1,1,1
44,59804036,60079592,1,1,1
45,61211920,61534156,2,2,1
46,62238544,62533800,1,1,1
47,63635180,63938192,1,1,1
48,64599552,65031124,2,2,1
49,66429552,66665412,1,1,1
50,68040772,68321796,1,1,1
51,69051148,69298564,1,1,1
52,70135924,70525936,2,2,1
53,71913324,72133108,1,1,1
54,72653456,72966920,1,1,1
55,73965276,74266824,1,1,1
56,75040208,75474192,2,2,1
57,76705568,77090016,1,1,1
58,78207372,78595032,2,2,1
59,79414400,79680248,1,1,1
60,80362576,80588140,2,2,1
61,81474528,81912772,1,1,1
62,83090204,83355624,2,2,1
63,83942008,84212844,1,1,1
64,85473224,85829112,1,1,1
65,87284464,87635676,2,2,1
66,88609008,89067144,2,2,1
67,89759500,90089660,1,1,1
68,91285044,91637380,2,2,1
69,92626736,92980884,2,2,1
70,93948216,94279524,1,1,1
71,95016880,95337096,1,1,1
72,96445460,96735360,2,2,1
73,98084740,98322060,2,2,1
74,99823416,100112212,2,2,1
75,101105692,101473844,1,1,1
76,102735264,103080920,1,1,1
77,104517392,104799096,1,1,1
78,105339568,105714368,1,1,1
79,107049804,107471012,1,1,1
80,108744480,109208252,2,2,1
81,110019672,110566572,2,2,1
82,112006040,112257932,2,2,1
83,112907380,113140916,2,2,1
84,114453380,114655844,2,2,1
85,115940292,116327780,1,1,1
86,117559256,117951900,2,2,1
87,118933344,119204256,2,2,1
88,120700740,121030496,1,1,1
89,121553948,121821720,1,1,1
90,122954176,123288348,2,2,1
91,123855824,124075728,2,2,1
92,125015148,125353064,1,1,1
93,126799532,127219628,2,2,1
94,128154104,128559284,1,1,1
95,130047748,130242008,2,2,1
96,131631432,131821060,1,1,1
97,132660480,133263160,1,1,1
98,134455608,134769948,1,1,1
99,135296396,135575480,1,1,1
100,136568928,136831108,2,2,1
101,137937656,138238660,1,1,1
102,139593128,139875796,1,1,1
103,140890256,141153940,1,1,1
104,142338404,142570032,1,1,1
