trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1727119774510.904,1727119774785.068,1,1,1
2,1727119775537.3,1727119775802.824,1,1,1
3,1727119776845.06,1727119777118.96,2,2,1
4,1727119777860.168,1727119778117.06,2,2,1
5,1727119779590.396,1727119779816.344,2,2,1
6,1727119780864.62,1727119781152.252,1,1,1
7,1727119782608.56,1727119782915.424,2,2,1
8,1727119783839.76,1727119784115.956,2,2,1
9,1727119784730.26,1727119785102.512,2,2,1
10,1727119785837.86,1727119786087.076,1,1,1
11,1727119786964.428,1727119787203.22,1,1,1
12,1727119788221.6,1727119788575.784,2,2,1
13,1727119789406.14,1727119789801.684,1,1,1
14,1727119791110.04,1727119791521.372,2,2,1
15,1727119792051.728,1727119792363.392,2,2,1
16,1727119793484.752,1727119793753.38,2,2,1
17,1727119794363.756,1727119794683.028,1,1,1
18,1727119795576.356,1727119795806.968,1,1,1
19,1727119796521.36,1727119796750.892,1,1,1
20,1727119797289.272,1727119797544.268,1,1,1
21,1727119798711.656,1727119798921.416,2,2,1
22,1727119800041.772,1727119800402.712,2,2,1
23,1727119801695.14,1727119802025.312,2,2,1
24,1727119803455.696,1727119803719.436,1,1,1
25,1727119805092.828,1727119805335.54,1,1,1
26,1727119806207.896,1727119806447.044,1,1,1
27,1727119807471.4,1727119807785.004,2,1,0
28,1727119808934.336,1727119809270.332,1,1,1
29,1727119809862.704,1727119810199.176,1,1,1
30,1727119810942.528,1727119811275.704,2,2,1
31,1727119811874.052,1727119812232.264,1,1,1
32,1727119813091.616,1727119813360.032,2,2,1
33,1727119814088.384,1727119814342.368,1,1,1
34,1727119815544.756,1727119815962.64,1,1,1
35,1727119817461.996,1727119817754.724,2,2,1
36,1727119819224.12,1727119819644.1,1,1,1
37,1727119820492.428,1727119820846.232,1,1,1
38,1727119821979.588,1727119822234.056,2,2,1
39,1727119822815.436,1727119823109.124,2,2,1
40,1727119823729.484,1727119824041.588,2,2,1
41,1727119825002.944,1727119825317.82,1,2,0
42,1727119826756.152,1727119827220.084,2,2,1
43,1727119828151.464,1727119828518.708,2,2,1
44,1727119829968.096,1727119830263.396,2,2,1
45,1727119831346.752,1727119831644.112,2,2,1
46,1727119832781.44,1727119833046.188,2,2,1
47,1727119834369.516,1727119834700.028,2,2,1
48,1727119835604.384,1727119835948.116,1,1,1
49,1727119836700.488,1727119837009.692,2,2,1
50,1727119838238.072,1727119838522.612,1,1,1
51,1727119839267.0,1727119839651.732,2,2,1
52,1727119841078.088,1727119841506.508,1,1,1
53,1727119842607.84,1727119842890.3,2,2,1
54,1727119843876.656,1727119844205.112,2,2,1
55,1727119845675.468,1727119845958.76,2,2,1
56,1727119846798.092,1727119847085.232,1,1,1
57,1727119847769.564,1727119848053.92,2,2,1
58,1727119849204.256,1727119849594.52,1,1,1
59,1727119850201.872,1727119850453.06,1,1,1
60,1727119851795.424,1727119852036.688,1,1,1
61,1727119852976.072,1727119853232.82,1,1,1
62,1727119853924.24,1727119854207.788,2,2,1
63,1727119855072.18,1727119855412.256,2,1,0
64,1727119856438.612,1727119856881.364,2,2,1
65,1727119857852.744,1727119858196.296,1,1,1
66,1727119859612.68,1727119859846.984,1,1,1
67,1727119860484.34,1727119860770.28,2,2,1
68,1727119861869.66,1727119862070.564,2,2,1
69,1727119862826.956,1727119863063.32,2,2,1
70,1727119864531.68,1727119864845.492,1,1,1
71,1727119865898.852,1727119866158.644,1,1,1
72,1727119867203.996,1727119867519.888,1,1,1
73,1727119868088.332,1727119868393.336,1,1,1
74,1727119869757.78,1727119869997.312,1,1,1
75,1727119870752.824,1727119870994.572,1,1,1
76,1727119871877.024,1727119872142.048,2,2,1
77,1727119873106.492,1727119873364.708,2,2,1
78,1727119874484.188,1727119874756.632,2,2,1
79,1727119876092.076,1727119876357.664,2,2,1
80,1727119877742.108,1727119878103.744,1,1,1
81,1727119878833.22,1727119879165.332,2,2,1
82,1727119880576.78,1727119880857.624,2,2,1
83,1727119882261.044,1727119882715.84,1,1,1
84,1727119884006.32,1727119884278.44,2,2,1
85,1727119885247.892,1727119885496.744,2,2,1
86,1727119886382.212,1727119886686.836,1,1,1
87,1727119887800.308,1727119888062.652,2,2,1
88,1727119888788.144,1727119889136.804,2,2,1
89,1727119890324.288,1727119890554.168,1,1,1
90,1727119891812.644,1727119892040.116,1,1,1
91,1727119892995.56,1727119893240.212,1,1,1
92,1727119894090.684,1727119894403.948,2,2,1
93,1727119895147.396,1727119895465.656,2,2,1
94,1727119896041.108,1727119896339.432,1,1,1
95,1727119897173.88,1727119897455.04,2,2,1
96,1727119898705.484,1727119898961.852,2,1,0
97,1727119900334.292,1727119900776.104,1,1,1
98,1727119901301.556,1727119901578.156,1,1,1
99,1727119902405.608,1727119902738.64,2,2,1
100,1727119903821.116,1727119904184.204,1,1,1
101,1727119905580.712,1727119905823.532,2,2,1
102,1727119907096.996,1727119907399.484,1,1,1
103,1727119908790.948,1727119909110.744,2,2,1
104,1727119910264.208,1727119910558.94,2,2,1
