ObjShowTime,ReactionTime,StimType,Guess,Correct
11728945096828.443,11728945097220.04,2,2,1
11728945098256.271,11728945098607.94,1,1,1
11728945099391.184,11728945099691.64,1,1,1
11728945100806.885,11728945101098.99,2,2,1
11728945101916.234,11728945102145.451,1,1,1
11728945103540.717,11728945103787.818,1,1,1
11728945104515.104,11728945104978.783,2,2,1
11728945105829.02,11728945106119.016,1,1,1
11728945107300.256,11728945107627.238,1,1,1
11728945108328.477,11728945108609.115,2,2,1
11728945109217.348,11728945109641.6,1,1,1
11728945111119.81,11728945111386.896,1,1,1
11728945112404.107,11728945112695.969,1,1,1
11728945113462.23,11728945113750.088,1,1,1
11728945114429.3,11728945114717.188,1,1,1
11728945115283.428,11728945115636.447,2,2,1
11728945116883.684,11728945117176.389,1,1,1
11728945118503.629,11728945118755.574,2,2,1
11728945119374.81,11728945119680.22,2,2,1
11728945121080.47,11728945121436.898,1,1,1
11728945122939.172,11728945123358.203,2,2,1
11728945124549.443,11728945125038.309,2,2,1
11728945125950.545,11728945126311.107,1,1,1
11728945127306.344,11728945127581.332,1,1,1
11728945129021.545,11728945129293.04,2,2,1
11728945129984.31,11728945130343.39,1,1,1
11728945131073.629,11728945131365.832,1,1,1
11728945132817.066,11728945133053.742,2,2,1
11728945134259.02,11728945134631.42,2,2,1
11728945135242.658,11728945135544.04,2,2,1
11728945136959.28,11728945137320.352,2,2,1
11728945138381.584,11728945138658.775,1,1,1
11728945139176.057,11728945139440.016,1,1,1
11728945140324.229,11728945140568.48,1,1,1
11728945141629.717,11728945141893.04,1,1,1
11728945142956.396,11728945143321.115,2,2,1
11728945144537.443,11728945144750.145,1,1,1
11728945145721.49,11728945145984.248,1,1,1
11728945147379.574,11728945147688.428,1,1,1
11728945148737.729,11728945148963.367,2,2,1
11728945149572.695,11728945149855.56,1,1,1
11728945150993.91,11728945151305.092,1,1,1
11728945152299.42,11728945152572.928,1,1,1
11728945153763.234,11728945154083.672,2,2,1
11728945154667.027,11728945154915.322,2,2,1
11728945155655.691,11728945156021.92,1,1,1
11728945157255.225,11728945157514.566,2,2,1
11728945158434.871,11728945158641.986,2,1,0
11728945159923.31,11728945160181.184,2,1,0
11728945161078.508,11728945161403.527,2,2,1
11728945161936.855,11728945162189.94,2,2,1
11728945163092.297,11728945163307.531,1,1,1
11728945164489.836,11728945164722.965,1,1,1
11728945166123.322,11728945166471.443,1,1,1
11728945167326.805,11728945167782.729,2,2,1
11728945168856.057,11728945169347.889,1,1,1
11728945170457.21,11728945170863.42,2,2,1
11728945172280.742,11728945172575.752,1,1,1
11728945173171.088,11728945173511.21,1,1,1
11728945174673.531,11728945175015.78,1,1,1
11728945175855.08,11728945176187.932,2,2,1
11728945177209.287,11728945177530.203,1,1,1
11728945178520.527,11728945178832.293,1,1,1
11728945179646.615,11728945180074.13,2,2,1
11728945181394.486,11728945181692.06,1,1,1
11728945182846.406,11728945183246.164,1,1,1
11728945183908.512,11728945184162.355,1,1,1
11728945184971.658,11728945185209.41,2,1,0
11728945186574.764,11728945186914.508,1,1,1
11728945188112.863,11728945188492.145,2,2,1
11728945189044.5,11728945189293.592,2,2,1
11728945190301.932,11728945190539.31,2,2,1
11728945191645.658,11728945191999.707,1,1,1
11728945193265.04,11728945193612.867,1,1,1
11728945194707.168,11728945195171.283,1,1,1
11728945196229.588,11728945196530.137,1,1,1
11728945197047.465,11728945197398.64,1,1,1
11728945197952.943,11728945198346.768,2,2,1
11728945199792.07,11728945200273.424,1,1,1
11728945201668.771,11728945202046.23,2,2,1
11728945202874.562,11728945203250.566,1,1,1
11728945204139.867,11728945204549.928,2,2,1
11728945205865.256,11728945206185.46,1,1,1
11728945207666.756,11728945207995.482,1,1,1
11728945208632.871,11728945208936.809,2,2,1
11728945209523.107,11728945209958.229,1,1,1
11728945211381.584,11728945211681.717,2,2,1
11728945212245.04,11728945212522.074,2,2,1
11728945214016.38,11728945214241.31,1,1,1
11728945215449.637,11728945215776.72,2,2,1
11728945217256.066,11728945217678.252,2,2,1
11728945218849.607,11728945219161.695,2,2,1
11728945219678.027,11728945219985.516,2,2,1
11728945221123.867,11728945221439.793,1,1,1
11728945221958.111,11728945222206.775,1,1,1
11728945222812.104,11728945223199.42,2,2,1
11728945224518.725,11728945224870.664,2,2,1
11728945225410.06,11728945225714.623,2,2,1
11728945226709.947,11728945227011.402,2,2,1
11728945227739.729,11728945228100.158,1,1,1
11728945228679.494,11728945228998.72,2,2,1
11728945229957.049,11728945230175.523,1,1,1
11728945231380.885,11728945231780.986,1,1,1
