11728919844.000,3168712
ObjShowTime,ReactionTime,StimType,Guess,Correct
55997156,56388752,2,2,1
57424984,57776652,1,1,1
58559896,58860352,1,1,1
59975596,60267704,2,2,1
61084948,61314164,1,1,1
62709428,62956532,1,1,1
63683816,64147496,2,2,1
64997732,65287728,1,1,1
66468968,66795952,1,1,1
67497188,67777828,2,2,1
68386060,68810312,1,1,1
70288524,70555608,1,1,1
71572820,71864680,1,1,1
72630944,72918800,1,1,1
73598012,73885900,1,1,1
74452140,74805160,2,2,1
76052396,76345100,1,1,1
77672340,77924288,2,2,1
78543524,78848932,2,2,1
80249184,80605612,1,1,1
82107884,82526916,2,2,1
83718156,84207020,2,2,1
85119256,85479820,1,1,1
86475056,86750044,1,1,1
88190256,88461752,2,2,1
89153024,89512104,1,1,1
90242340,90534544,1,1,1
91985780,92222456,2,2,1
93427732,93800132,2,2,1
94411372,94712752,2,2,1
96127992,96489064,2,2,1
97550296,97827488,1,1,1
98344768,98608728,1,1,1
99492940,99737192,1,1,1
100798428,101061752,1,1,1
102125108,102489828,2,2,1
103706156,103918856,1,1,1
104890204,105152960,1,1,1
106548288,106857140,1,1,1
107906440,108132080,2,2,1
108741408,109024272,1,1,1
110162624,110473804,1,1,1
111468132,111741640,1,1,1
112931948,113252384,2,2,1
113835740,114084036,2,2,1
114824404,115190632,1,1,1
116423936,116683280,2,2,1
117603584,117810700,2,1,0
119092024,119349896,2,1,0
120247220,120572240,2,2,1
121105568,121358652,2,2,1
122261008,122476244,1,1,1
123658548,123891676,1,1,1
125292036,125640156,1,1,1
126495516,126951440,2,2,1
128024768,128516600,1,1,1
129625924,130032132,2,2,1
131449456,131744464,1,1,1
132339800,132679924,1,1,1
133842244,134184492,1,1,1
135023792,135356644,2,2,1
136378000,136698916,1,1,1
137689240,138001004,1,1,1
138815328,139242844,2,2,1
140563200,140860772,1,1,1
142015120,142414876,1,1,1
143077224,143331068,1,1,1
144140372,144378124,2,1,0
145743476,146083220,1,1,1
147281576,147660856,2,2,1
148213212,148462304,2,2,1
149470644,149708024,2,2,1
150814372,151168420,1,1,1
152433752,152781580,1,1,1
153875880,154339996,1,1,1
155398300,155698848,1,1,1
156216176,156567352,1,1,1
157121656,157515480,2,2,1
158960784,159442136,1,1,1
160837484,161214944,2,2,1
162043276,162419280,1,1,1
163308580,163718640,2,2,1
165033968,165354172,1,1,1
166835468,167164196,1,1,1
167801584,168105520,2,2,1
168691820,169126940,1,1,1
170550296,170850428,2,2,1
171413752,171690788,2,2,1
173185092,173410024,1,1,1
174618348,174945432,2,2,1
176424780,176846964,2,2,1
178018320,178330408,2,2,1
178846740,179154228,2,2,1
180292580,180608504,1,1,1
181126824,181375488,1,1,1
181980816,182368132,2,2,1
183687436,184039376,2,2,1
184578772,184883336,2,2,1
185878660,186180116,2,2,1
186908440,187268872,1,1,1
187848208,188167432,2,2,1
189125760,189344236,1,1,1
190549596,190949700,1,1,1
