ObjShowTime,ReactionTime,StimType,Guess,Correct
1739994768420.9722,1739994769061.976,2,2,1
1739994770121.28,1739994770816.6162,2,2,1
1739994772204.828,1739994772710.0642,2,2,1
1739994773444.3,1739994773808.036,2,2,1
1739994774688.276,1739994775070.832,1,1,1
1739994775797.0762,1739994776183.256,2,2,1
1739994776871.5242,1739994777288.02,1,1,1
1739994778049.28,1739994778713.048,2,2,1
1739994779805.296,1739994780310.52,1,1,1
1739994781555.76,1739994781960.1362,1,1,1
1739994782720.348,1739994783073.572,1,1,1
1739994783835.8362,1739994784243.268,2,2,1
1739994785340.5122,1739994785932.52,1,1,1
1739994786554.78,1739994787161.644,1,1,1
1739994787687.956,1739994788006.912,1,1,1
1739994789408.1282,1739994789896.412,1,1,1
1739994791072.676,1739994791649.34,2,2,1
1739994793003.6082,1739994793431.952,2,2,1
1739994794311.196,1739994794805.1362,1,1,1
1739994795783.348,1739994796091.956,2,2,1
1739994796719.2002,1739994797247.332,1,1,1
1739994797797.5842,1739994798157.592,1,1,1
1739994799639.8882,1739994800062.86,1,1,1
1739994801168.216,1739994801437.852,1,1,1
1739994801963.1802,1739994802507.5122,2,2,1
1739994803355.808,1739994803921.4722,2,2,1
1739994804835.8042,1739994805505.364,2,2,1
1739994806321.76,1739994806766.008,1,1,1
1739994807488.3682,1739994808224.848,2,2,1
1739994809095.204,1739994809852.028,2,2,1
1739994810734.3762,1739994811221.624,1,1,1
1739994811730.948,1739994812176.184,1,1,1
1739994813396.5122,1739994813926.0,1,1,1
1739994814824.328,1739994815299.268,2,2,1
1739994816348.568,1739994816825.404,1,1,1
1739994818097.76,1739994818512.5562,2,2,1
1739994821892.0642,1739994822301.208,1,1,1
1739994823039.54,1739994823857.2642,2,2,1
1739994825353.588,1739994825798.0562,1,1,1
1739994826796.424,1739994827508.396,1,1,1
1739994828904.7002,1739994829380.3,2,2,1
1739994830556.5962,1739994830947.088,1,1,1
1739994831497.3882,1739994832037.104,1,1,1
1739994833284.4282,1739994833627.7642,2,2,1
1739994836246.52,1739994836781.456,2,2,1
1739994837539.808,1739994838018.4802,2,2,1
1739994839139.84,1739994839593.4202,1,1,1
1739994840232.776,1739994840930.4802,2,2,1
1739994842172.8042,1739994842875.744,2,2,1
1739994843964.068,1739994844291.432,2,2,1
1739994845600.7842,1739994846015.9602,2,2,1
1739994846656.3562,1739994847050.788,1,1,1
1739994848425.1162,1739994848880.536,2,2,1
1739994849584.86,1739994850039.152,1,1,1
1739994853306.4602,1739994853694.744,2,2,1
1739994854576.092,1739994855016.812,1,1,1
1739994855666.172,1739994856114.672,2,2,1
1739994857448.0322,1739994857987.496,1,1,1
1739994858823.828,1739994859234.192,2,2,1
1739994860719.496,1739994861368.5642,2,2,1
1739994862249.904,1739994862711.588,1,1,1
1739994863913.912,1739994864483.5762,2,2,1
1739994865279.924,1739994865630.3882,1,1,1
1739994866977.776,1739994867671.404,1,1,1
1739994868743.76,1739994869249.112,2,2,1
1739994870397.4722,1739994870853.4802,1,1,1
1739994872155.808,1739994872537.08,1,1,1
1739994873193.436,1739994873775.728,1,1,1
1739994874363.028,1739994874718.112,1,1,1
1739994876041.416,1739994876548.1682,2,2,1
1739994877718.52,1739994878264.236,2,2,1
1739994881207.1082,1739994881627.9922,1,1,1
1739994882637.3242,1739994883179.068,1,1,1
1739994884398.372,1739994884951.6,2,2,1
1739994886156.936,1739994886506.308,2,2,1
1739994887566.6482,1739994887961.5122,1,1,1
1739994889081.8362,1739994889712.228,1,1,1
1739994891047.56,1739994891688.6162,2,2,1
1739994892971.944,1739994893484.112,2,2,1
1739994894162.4722,1739994894494.984,2,2,1
1739994895280.312,1739994895756.1682,1,1,1
1739994896355.4722,1739994897024.196,2,2,1
1739994898391.552,1739994898890.832,2,2,1
1739994900129.1602,1739994900756.0042,1,1,1
1739994901322.332,1739994901662.256,1,1,1
1739994902453.5642,1739994902902.7842,1,1,1
1739994903548.112,1739994903882.5442,1,1,1
1739994904642.848,1739994905094.1882,2,2,1
1739994906184.58,1739994906653.7522,2,2,1
1739994907556.0762,1739994908053.948,2,2,1
1739994909469.3162,1739994909900.216,2,2,1
1739994911000.572,1739994911375.152,2,2,1
1739994912711.4802,1739994913335.396,1,1,1
1739994914347.744,1739994914682.02,1,1,1
1739994915325.344,1739994915711.1282,2,2,1
1739994916529.456,1739994917201.664,2,2,1
1739994918686.968,1739994919205.7122,2,2,1
