ObjShowTime,ReactionTime,StimType,Guess,Correct
1729712245872.42,1729712246883.02,1,1,1
1729712248318.284,1729712248686.152,1,1,1
1729712249741.452,1729712250295.708,2,2,1
1729712251646.972,1729712252294.8918,1,1,1
1729712253658.2,1729712254231.66,2,2,1
1729712254943.964,1729712255486.624,1,1,1
1729712256250.972,1729712256983.0598,2,2,1
1729712257694.368,1729712258119.44,1,1,1
1729712259537.7998,1729712259986.916,1,1,1
1729712261374.264,1729712261607.86,2,1,0
1729712262150.2158,1729712263047.548,1,1,1
1729712263944.8718,1729712264360.916,2,2,1
1729712265738.24,1729712266220.448,2,2,1
1729712267410.772,1729712267712.096,1,1,1
1729712268797.42,1729712269291.6838,1,1,1
1729712269884.032,1729712270425.472,2,2,1
1729712271699.828,1729712272203.9558,1,1,1
1729712273166.292,1729712273565.548,1,1,1
1729712274961.848,1729712275422.8718,1,1,1
1729712276875.224,1729712277215.568,2,2,1
1729712278365.896,1729712278678.192,1,1,1
1729712279238.548,1729712279643.88,1,1,1
1729712280358.2358,1729712280645.18,1,1,1
1729712281213.504,1729712281664.108,2,2,1
1729712283129.432,1729712283571.4,2,2,1
1729712284769.704,1729712285109.1318,1,1,1
1729712285806.46,1729712286112.14,1,1,1
1729712287576.464,1729712287858.104,2,1,0
1729712289339.4958,1729712289888.188,2,2,1
1729712290520.484,1729712290823.832,2,2,1
1729712291769.188,1729712292124.572,1,1,1
1729712293261.8718,1729712293668.428,1,1,1
1729712294851.776,1729712295239.732,1,1,1
1729712296589.032,1729712297013.4558,2,2,1
1729712297652.752,1729712298030.256,1,1,1
1729712299525.556,1729712299916.652,1,1,1
1729712300712.0,1729712301141.1,1,2,0
1729712302344.4238,1729712302974.344,1,1,1
1729712304444.692,1729712304814.7358,1,1,1
1729712305880.088,1729712306158.7,1,1,1
1729712307344.0,1729712307628.212,1,1,1
1729712309052.5798,1729712309431.952,1,1,1
1729712310760.308,1729712311087.6838,1,1,1
1729712311738.012,1729712312218.2678,2,2,1
1729712313165.62,1729712313562.24,1,1,1
1729712314951.572,1729712315656.5,2,2,1
1729712316224.86,1729712316551.168,2,2,1
1729712317632.488,1729712317987.688,1,1,1
1729712318844.016,1729712319223.68,1,1,1
1729712320140.9758,1729712320472.8518,1,1,1
1729712321211.212,1729712321471.072,2,1,0
1729712322919.42,1729712323447.3718,1,1,1
1729712324091.724,1729712324429.14,1,1,1
1729712325790.5,1729712326178.5078,1,1,1
1729712327513.912,1729712327826.9438,1,1,1
1729712328988.272,1729712329246.744,2,1,0
1729712330572.072,1729712330988.764,2,2,1
1729712332215.096,1729712332672.964,2,2,1
1729712333366.2878,1729712333721.38,2,2,1
1729712334330.74,1729712334808.764,1,1,1
1729712335935.088,1729712336469.276,1,1,1
1729712337324.608,1729712337810.9958,2,2,1
1729712338946.344,1729712339287.864,1,1,1
1729712340637.196,1729712341192.94,2,2,1
1729712342672.272,1729712342911.916,2,1,0
1729712343791.22,1729712344202.044,1,2,0
1729712345306.3918,1729712345693.98,1,1,1
1729712346728.388,1729712347271.536,2,2,1
1729712347886.888,1729712348397.824,1,1,1
1729712349658.18,1729712350135.884,2,2,1
1729712351468.212,1729712352029.792,1,1,1
1729712352934.1118,1729712353496.044,1,1,1
1729712354302.344,1729712354685.3918,1,1,1
1729712355879.752,1729712356176.208,2,1,0
1729712357328.54,1729712357637.908,1,1,1
1729712358533.26,1729712359030.136,2,2,1
1729712359762.464,1729712360244.232,2,2,1
1729712361027.556,1729712361451.2478,2,2,1
1729712362084.604,1729712362525.8518,1,1,1
1729712363953.176,1729712364462.064,2,2,1
1729712365866.408,1729712366271.752,2,2,1
1729712367379.084,1729712367838.9038,1,1,1
1729712368563.252,1729712368977.568,1,1,1
1729712370000.916,1729712370414.96,2,2,1
1729712371396.284,1729712371867.3718,1,1,1
1729712373272.728,1729712373823.556,2,2,1
1729712374772.88,1729712375021.564,1,1,1
1729712376500.864,1729712376875.292,1,1,1
1729712377453.648,1729712377752.572,1,1,1
1729712378619.9,1729712378951.7,1,1,1
1729712379594.0278,1729712379790.0,2,1,0
1729712380780.36,1729712381128.752,1,1,1
1729712381822.0798,1729712382179.7,1,1,1
1729712382791.068,1729712383290.68,2,2,1
1729712384180.04,1729712384415.712,1,1,1
1729712385760.016,1729712386195.4958,1,1,1
1729712387349.824,1729712387647.832,1,1,1
1729712389045.196,1729712389485.596,2,2,1
1729712390194.896,1729712390624.7358,2,2,1
1729712391247.088,1729712391697.984,1,1,1
1729712393088.336,1729712393539.092,2,2,1
1729712394563.452,1729712394847.308,2,2,1
1729712395479.6118,1729712395886.896,1,1,1
1729712396748.228,1729712397073.9,1,1,1
1729712398130.252,1729712398413.24,2,2,1
1729712399299.588,1729712399527.432,2,1,0
1729712400874.824,1729712401161.4958,2,1,0
1729712401692.86,1729712402148.588,2,2,1
1729712402960.8918,1729712403310.6,1,1,1
1729712404183.936,1729712404549.328,1,1,1
1729712405138.692,1729712405398.116,2,1,0
1729712406117.468,1729712406437.964,1,1,1
