1729686975.000,22802528
ObjShowTime,ReactionTime,StimType,Guess,Correct
93674948,94685548,1,1,1
96120812,96488680,1,1,1
97543980,98098236,2,2,1
99449500,100097420,1,1,1
101460728,102034188,2,2,1
102746492,103289152,1,1,1
104053500,104785588,2,2,1
105496896,105921968,1,1,1
107340328,107789444,1,1,1
109176792,109410388,2,1,0
109952744,110850076,1,1,1
111747400,112163444,2,2,1
113540768,114022976,2,2,1
115213300,115514624,1,1,1
116599948,117094212,1,1,1
117686560,118228000,2,2,1
119502356,120006484,1,1,1
120968820,121368076,1,1,1
122764376,123225400,1,1,1
124677752,125018096,2,2,1
126168424,126480720,1,1,1
127041076,127446408,1,1,1
128160764,128447708,1,1,1
129016032,129466636,2,2,1
130931960,131373928,2,2,1
132572232,132911660,1,1,1
133608988,133914668,1,1,1
135378992,135660632,2,1,0
137142024,137690716,2,2,1
138323012,138626360,2,2,1
139571716,139927100,1,1,1
141064400,141470956,1,1,1
142654304,143042260,1,1,1
144391560,144815984,2,2,1
145455280,145832784,1,1,1
147328084,147719180,1,1,1
148514528,148943628,1,2,0
150146952,150776872,1,1,1
152247220,152617264,1,1,1
153682616,153961228,1,1,1
155146528,155430740,1,1,1
156855108,157234480,1,1,1
158562836,158890212,1,1,1
159540540,160020796,2,2,1
160968148,161364768,1,1,1
162754100,163459028,2,2,1
164027388,164353696,2,2,1
165435016,165790216,1,1,1
166646544,167026208,1,1,1
167943504,168275380,1,1,1
169013740,169273600,2,1,0
170721948,171249900,1,1,1
171894252,172231668,1,1,1
173593028,173981036,1,1,1
175316440,175629472,1,1,1
176790800,177049272,2,1,0
178374600,178791292,2,2,1
180017624,180475492,2,2,1
181168816,181523908,2,2,1
182133268,182611292,1,1,1
183737616,184271804,1,1,1
185127136,185613524,2,2,1
186748872,187090392,1,1,1
188439724,188995468,2,2,1
190474800,190714444,2,1,0
191593748,192004572,1,2,0
193108920,193496508,1,1,1
194530916,195074064,2,2,1
195689416,196200352,1,1,1
197460708,197938412,2,2,1
199270740,199832320,1,1,1
200736640,201298572,1,1,1
202104872,202487920,1,1,1
203682280,203978736,2,1,0
205131068,205440436,1,1,1
206335788,206832664,2,2,1
207564992,208046760,2,2,1
208830084,209253776,2,2,1
209887132,210328380,1,1,1
211755704,212264592,2,2,1
213668936,214074280,2,2,1
215181612,215641432,1,1,1
216365780,216780096,1,1,1
217803444,218217488,2,2,1
219198812,219669900,1,1,1
221075256,221626084,2,2,1
222575408,222824092,1,1,1
224303392,224677820,1,1,1
225256176,225555100,1,1,1
226422428,226754228,1,1,1
227396556,227592528,2,1,0
228582888,228931280,1,1,1
229624608,229982228,1,1,1
230593596,231093208,2,2,1
231982568,232218240,1,1,1
233562544,233998024,1,1,1
235152352,235450360,1,1,1
236847724,237288124,2,2,1
237997424,238427264,2,2,1
239049616,239500512,1,1,1
240890864,241341620,2,2,1
242365980,242649836,2,2,1
243282140,243689424,1,1,1
244550756,244876428,1,1,1
245932780,246215768,2,2,1
247102116,247329960,2,1,0
248677352,248964024,2,1,0
249495388,249951116,2,2,1
250763420,251113128,1,1,1
251986464,252351856,1,1,1
252941220,253200644,2,1,0
253919996,254240492,1,1,1
