1740746307.000,18347800
ObjShowTime,ReactionTime,StimType,Guess,Correct
82040324,82593972,2,2,1
83452208,83844716,1,1,1
84373956,84777568,1,1,1
86268808,86624316,2,2,1
87545616,87884788,1,1,1
88641064,89032960,2,2,1
90493196,90887876,1,1,1
91749112,92077016,1,1,1
93135232,93478208,2,2,1
94737452,95035192,2,2,1
96142404,96428700,2,2,1
97508944,97800256,2,2,1
99168492,99440976,2,2,1
100267212,100540392,2,2,1
101046756,101444180,2,2,1
102923480,103242252,1,1,1
104541552,104928460,1,1,1
106161848,106758812,2,2,1
108053136,108388672,1,1,1
109659020,110022264,2,2,1
110946568,111396124,1,1,1
111945472,112491904,1,1,1
113400264,113759764,1,1,1
114612092,114936960,2,2,1
116116312,116438380,1,1,1
117484716,117783968,1,1,1
118439300,118769452,1,1,1
119728776,120041780,2,2,1
121473104,121752000,2,2,1
123126360,123509816,1,1,1
124813204,125246164,1,1,1
126068492,126483908,1,1,1
127949240,128300088,1,1,1
129634412,129918912,1,1,1
131051272,131380888,2,2,1
132193212,132543840,1,1,1
133412168,133755004,1,1,1
134628356,135026476,2,2,1
136498804,136806692,1,1,1
137540016,137926216,2,2,1
138758520,139114044,2,2,1
139679368,140192244,1,1,1
140849544,141330232,2,2,1
142402580,142692016,2,2,1
143835316,144283404,1,1,1
144969732,145272404,1,1,1
146754700,147144344,2,2,1
147702672,148310600,1,1,1
149506928,149949180,1,1,1
151303480,151576416,2,2,1
152370748,152818308,1,1,1
153537608,153935916,1,1,1
155094248,155517576,2,2,1
156698880,157079072,1,1,1
157656376,158098616,2,2,1
158864972,159312040,1,1,1
160018428,160418088,2,2,1
161351432,161652856,2,2,1
162649180,163086036,2,2,1
164467364,164856908,1,1,1
165730256,166063940,1,1,1
166780244,167079256,1,1,1
167824580,168146644,1,1,1
168955944,169333528,2,2,1
170486832,170899956,1,1,1
172074256,172414360,1,1,1
173023724,173484564,2,2,1
174965864,175308364,2,2,1
176489668,176995992,1,1,1
177798332,178121756,1,1,1
179464104,179778376,1,1,1
180305716,180649604,2,2,1
181542936,181785548,2,2,1
183240884,183491156,1,1,1
184352484,184800284,1,1,1
185566608,185976224,1,1,1
187448556,187704948,2,2,1
188395276,188789064,1,1,1
189937416,190596532,1,1,1
192008888,192270280,2,2,1
193298612,193713840,2,2,1
194786168,195189308,1,1,1
195985652,196305252,1,1,1
196861600,197258780,2,2,1
198091080,198369672,2,2,1
199162012,199494448,1,1,1
200684756,201219756,2,2,1
202091088,202415716,1,1,1
203549020,203871004,2,2,1
204448344,204773904,1,1,1
206100236,206554696,1,1,1
207070028,207467848,2,2,1
208534200,208844284,2,2,1
209927616,210214780,2,2,1
210821104,211160244,2,2,1
211749636,212024920,2,2,1
213182244,213425804,1,1,1
214435104,214751088,2,2,1
215620416,216083608,1,1,1
217156932,217422008,1,1,1
