1738593913.000,5299104
ObjShowTime,ReactionTime,StimType,Guess,Correct
81357544,86142108,2,2,1
87378420,88108976,1,1,1
88828188,90541020,1,1,1
91406256,91745624,2,2,1
92650860,92999744,2,2,1
94282980,94635380,1,1,1
96049648,96484324,1,2,0
97945560,98476988,1,1,1
99144232,99748208,1,1,1
101014468,101384620,1,1,1
102521956,102855128,2,2,1
104008480,104399912,1,2,0
105801268,106258472,1,1,1
106847828,107284656,2,2,1
108348048,109060788,1,1,1
109778088,110478872,2,2,1
111874172,112305956,2,2,1
113047284,113428852,1,1,1
114254180,114753912,2,2,1
115328244,115793476,1,1,1
117179776,117632252,2,2,1
118752576,119420560,2,2,1
120702892,121133548,1,1,1
122222848,122783932,2,2,1
123510288,123925500,2,2,1
125021860,125358156,2,2,1
126583508,127030132,1,1,1
127978508,128371216,2,2,1
129592516,129950272,2,2,1
131436572,131963116,2,2,1
133233464,133608880,2,2,1
134328232,134634212,2,2,1
135142516,135531032,1,1,1
136614360,137062124,2,2,1
137767452,138816488,1,1,1
139464816,139879420,1,1,1
141219776,141746576,1,1,1
142740908,143173528,2,2,1
144305884,144701156,1,1,1
146009460,146422076,2,2,1
147356468,147769392,2,2,1
149156744,149601008,2,2,1
150503328,150868540,1,1,1
151908876,152392900,2,2,1
153384224,153907748,1,1,1
154945076,155330264,1,1,1
156755592,157095764,2,2,1
158196068,158644708,1,1,1
159647040,159975044,2,2,1
160502384,160898808,1,2,0
161868108,162322040,2,2,1
163507340,163933032,2,2,1
164594356,164886864,2,2,1
166371252,166736296,2,2,1
167528628,167960192,1,1,1
168983516,169379904,2,2,1
169895228,170298216,1,2,0
171031540,171443356,1,1,1
172342684,172998388,2,2,1
174089720,174738220,1,1,1
175856548,176210308,1,1,1
177649660,178003480,2,2,1
179072808,179445228,1,1,1
180591552,180950072,2,2,1
182127420,182575768,1,1,1
183521092,183949424,2,2,1
185004812,185277704,1,1,1
186176060,186548468,2,2,1
187485816,187945304,1,1,1
189031632,189380564,2,2,1
190645924,191094252,1,1,1
191862576,192233384,1,1,1
193012748,193321180,1,1,1
194001536,194295356,1,1,1
195566660,195959012,2,2,1
197189364,197606348,1,1,1
199040708,199914292,2,2,1
200620628,201130248,1,1,1
202495604,203053380,1,1,1
204410772,204758368,1,1,1
206153724,206545436,2,2,1
207668764,208186248,1,1,1
208990552,209546144,2,2,1
210113504,210897040,1,1,1
212034384,212562484,1,1,1
214060808,214435560,2,2,1
215908888,216474492,2,2,1
217684816,218197968,1,1,1
219650296,220076612,1,1,1
221145940,221520664,1,1,1
222183996,222529868,1,1,1
223800220,224157296,2,2,1
225213640,225630200,1,1,1
226447532,227353716,1,1,1
228142064,228577428,1,1,1
229370780,229809708,1,1,1
230818012,231214600,2,2,1
232684900,233153976,1,1,1
234400336,234717352,2,2,1
235304704,235861304,2,2,1
237342660,237872988,1,1,1
238592292,239089108,2,2,1
239744468,240316532,2,2,1
240908888,241369804,2,2,1
