11730810530.000,34936084
ObjShowTime,ReactionTime,StimType,Guess,Correct
91925720,92409248,2,2,1
93173508,93466156,1,1,1
94471400,94866888,1,1,1
95376152,95741252,1,1,1
97151524,97373040,2,2,1
98122284,98417096,2,2,1
99446412,99736568,1,1,1
100583812,100849880,2,2,1
102100208,102416692,1,1,1
103337016,103619228,1,1,1
104283528,104685588,2,2,1
105780940,106112648,1,1,1
106806972,107183436,1,1,1
108018760,108305500,1,1,1
109062848,109280560,1,1,1
110238884,110526732,2,2,1
111622076,112013900,2,2,1
113298224,113577808,1,1,1
114988108,115264752,2,2,1
115945144,116310356,1,1,1
117747708,118052120,2,2,1
119254444,119463468,2,2,1
120893772,121161516,1,1,1
122461836,122822896,1,1,1
124073228,124424164,2,2,1
124969532,125299224,2,2,1
126759548,127027828,2,2,1
128246132,128565472,2,2,1
129919820,130226100,2,2,1
131101460,131421228,1,1,1
132157552,132550036,2,2,1
133718364,134072940,1,1,1
135574304,135833932,1,2,0
137330292,137559608,2,2,1
138200936,138499104,2,2,1
139093432,139318828,2,2,1
140320128,140539412,2,2,1
141124716,141531308,1,1,1
142083668,142386836,1,1,1
143846160,144089444,2,2,1
145522772,145797260,2,2,1
146848604,147254492,2,2,1
148746844,148974968,2,2,1
150193300,150520808,2,2,1
151233164,151483524,2,2,1
152321916,152510488,2,2,1
153042840,153316280,1,2,0
154435612,154814564,1,1,1
155950912,156369680,2,2,1
157062008,157357996,2,2,1
157910336,158155580,2,2,1
158739916,158959256,2,2,1
160146564,160465012,2,2,1
161906364,162345820,2,2,1
163385144,163694004,1,1,1
164915336,165316696,2,2,1
166775016,167118288,1,1,1
167750640,168106520,1,1,1
169240860,169697932,1,1,1
170762264,171043036,1,1,1
171898388,172163868,1,1,1
173327188,173635096,1,1,1
174329428,174670548,2,2,1
175313876,175803432,1,1,1
177277780,177576032,1,1,1
178704380,178954668,2,1,0
180347000,180949996,1,1,1
182199324,182564600,1,1,1
183895920,184254784,1,1,1
185583148,185851260,2,2,1
186490616,186882964,2,2,1
187898336,188153976,2,2,1
189456328,189821628,1,1,1
191298928,191625252,2,2,1
192669604,192939084,2,2,1
193496408,193963488,1,1,1
194720816,195011576,2,2,1
196327940,196550876,2,2,1
197875240,198257848,1,1,1
199212176,199471580,2,2,1
200112936,200367780,2,2,1
201292084,201518108,2,2,1
202188464,202631960,1,1,1
203823268,204122808,2,2,1
205156180,205371816,2,2,1
206094172,206315940,2,2,1
207649300,207899796,2,2,1
208537156,209080732,2,2,1
210204096,210443004,2,2,1
211474328,211754516,2,2,1
212602844,212831424,1,2,0
214134772,214329284,2,2,1
215017616,215325188,1,1,1
216657524,216935796,2,2,1
218308156,218678212,1,1,1
219519576,219852484,2,2,1
220436788,220762656,2,2,1
221762032,221971556,2,2,1
222529880,222802348,1,2,0
223864700,224380288,1,1,1
225268648,225576256,2,2,1
226165608,227026992,2,2,1
228424344,228798888,2,2,1
229768224,230171592,1,1,1
231302952,231625204,1,1,1
