trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1727715827512.964,1727715827835.108,2,2,1
2,1727715828491.36,1727715828725.944,2,2,1
3,1727715829750.188,1727715830042.736,2,2,1
4,1727715831527.972,1727715831852.5,1,1,1
5,1727715832413.808,1727715832663.652,1,1,1
6,1727715833279.988,1727715833665.08,2,2,1
7,1727715834554.388,1727715834815.16,1,1,1
8,1727715836092.5,1727715836402.972,2,2,1
9,1727715837084.28,1727715837378.476,2,2,1
10,1727715838011.848,1727715838278.212,2,2,1
11,1727715838871.572,1727715839159.288,1,1,1
12,1727715840229.672,1727715840544.852,1,1,1
13,1727715841158.212,1727715841335.064,1,2,0
14,1727715842701.448,1727715843093.528,2,2,1
15,1727715843913.92,1727715844230.48,1,2,0
16,1727715845240.808,1727715845574.548,1,1,1
17,1727715846284.924,1727715846640.972,1,1,1
18,1727715847666.332,1727715848065.432,2,2,1
19,1727715848641.796,1727715849060.8,2,2,1
20,1727715849789.128,1727715850124.268,1,1,1
21,1727715850838.648,1727715851091.988,1,1,1
22,1727715852390.348,1727715852801.9,2,2,1
23,1727715853976.292,1727715854306.724,1,1,1
24,1727715855168.076,1727715855564.616,2,2,1
25,1727715856829.996,1727715857072.1,1,1,1
26,1727715858387.48,1727715858806.676,1,1,1
27,1727715859349.052,1727715859625.732,1,1,1
28,1727715860463.108,1727715860687.212,2,2,1
29,1727715861494.536,1727715861826.996,1,1,1
30,1727715863080.352,1727715863428.216,1,1,1
31,1727715864351.54,1727715864682.484,1,1,1
32,1727715865820.844,1727715866178.856,1,1,1
33,1727715867680.208,1727715868005.596,1,1,1
34,1727715869176.956,1727715869436.64,2,2,1
35,1727715870726.992,1727715870970.192,2,1,0
36,1727715871907.564,1727715872200.612,1,1,1
37,1727715873477.992,1727715873873.716,2,2,1
38,1727715874445.072,1727715874946.412,1,1,1
39,1727715875769.764,1727715876055.348,1,1,1
40,1727715876570.704,1727715876926.9,2,2,1
41,1727715877439.228,1727715877715.712,2,2,1
42,1727715879145.092,1727715879506.552,1,1,1
43,1727715880165.94,1727715880526.16,1,1,1
44,1727715881843.492,1727715882103.82,1,1,1
45,1727715883595.208,1727715883970.052,2,2,1
46,1727715884904.416,1727715885235.364,2,2,1
47,1727715885991.696,1727715886343.192,1,1,1
48,1727715887015.58,1727715887376.044,1,1,1
49,1727715888050.468,1727715888332.348,1,1,1
50,1727715889083.732,1727715889359.968,1,1,1
51,1727715890389.324,1727715890737.364,1,1,1
52,1727715891824.692,1727715892167.992,2,2,1
53,1727715893121.348,1727715893356.336,2,2,1
54,1727715894425.716,1727715894665.112,1,1,1
55,1727715896003.468,1727715896330.268,1,1,1
56,1727715897431.656,1727715897696.272,1,1,1
57,1727715898647.664,1727715898916.648,1,1,1
58,1727715899726.032,1727715900017.424,2,1,0
59,1727715901421.808,1727715901771.212,2,2,1
60,1727715902613.544,1727715902893.612,2,2,1
61,1727715903595.992,1727715903989.004,1,1,1
62,1727715905074.408,1727715905388.736,2,2,1
63,1727715906136.064,1727715906532.588,1,1,1
64,1727715908016.916,1727715908371.82,1,1,1
65,1727715908925.148,1727715909313.08,2,2,1
66,1727715909936.46,1727715910227.648,1,2,0
67,1727715911546.028,1727715911890.832,1,1,1
68,1727715913261.212,1727715913765.124,1,1,1
69,1727715915067.484,1727715915347.972,2,2,1
70,1727715916479.336,1727715916801.924,2,2,1
71,1727715917431.3,1727715917820.188,1,1,1
72,1727715918576.52,1727715918879.672,1,1,1
73,1727715919697.056,1727715920017.128,2,2,1
74,1727715920792.484,1727715921127.58,2,2,1
75,1727715921716.04,1727715922028.232,2,2,1
76,1727715923456.676,1727715923815.888,2,2,1
77,1727715924623.34,1727715924906.072,2,2,1
78,1727715925437.496,1727715925850.184,1,1,1
79,1727715927212.624,1727715927549.3,2,2,1
80,1727715928201.74,1727715928544.232,2,2,1
81,1727715929626.708,1727715929889.812,2,2,1
82,1727715931347.252,1727715931816.944,1,1,1
83,1727715932478.396,1727715932851.636,1,1,1
84,1727715933365.08,1727715933639.5,1,1,1
85,1727715934347.944,1727715934726.652,1,1,1
86,1727715936168.136,1727715936602.604,2,2,1
87,1727715937839.056,1727715938161.932,2,2,1
88,1727715939014.392,1727715939498.08,1,1,1
89,1727715940847.504,1727715941224.592,2,2,1
90,1727715942015.012,1727715942352.72,2,2,1
91,1727715943267.168,1727715943548.976,2,2,1
92,1727715944819.392,1727715945110.868,2,2,1
93,1727715946610.308,1727715947033.192,1,1,1
94,1727715947560.636,1727715948189.744,2,2,1
95,1727715949358.196,1727715949674.34,1,1,1
96,1727715950867.808,1727715951179.108,1,1,1
97,1727715952362.528,1727715952750.608,2,2,1
98,1727715953752.024,1727715954156.952,1,1,1
99,1727715954833.368,1727715955184.8,2,2,1
100,1727715955776.216,1727715956188.852,1,1,1
101,1727715957404.38,1727715957820.444,1,1,1
102,1727715959263.908,1727715959626.528,2,2,1
103,1727715960777.044,1727715961299.684,2,2,1
104,1727715962043.172,1727715962411.568,1,1,1
105,1727715963606.06,1727715964040.648,1,1,1
