1727690624.000,3731824
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7244788,7566932,2,2,1
2,8223184,8457768,2,2,1
3,9482012,9774560,2,2,1
4,11259796,11584324,1,1,1
5,12145632,12395476,1,1,1
6,13011812,13396904,2,2,1
7,14286212,14546984,1,1,1
8,15824324,16134796,2,2,1
9,16816104,17110300,2,2,1
10,17743672,18010036,2,2,1
11,18603396,18891112,1,1,1
12,19961496,20276676,1,1,1
13,20890036,21066888,1,2,0
14,22433272,22825352,2,2,1
15,23645744,23962304,1,2,0
16,24972632,25306372,1,1,1
17,26016748,26372796,1,1,1
18,27398156,27797256,2,2,1
19,28373620,28792624,2,2,1
20,29520952,29856092,1,1,1
21,30570472,30823812,1,1,1
22,32122172,32533724,2,2,1
23,33708116,34038548,1,1,1
24,34899900,35296440,2,2,1
25,36561820,36803924,1,1,1
26,38119304,38538500,1,1,1
27,39080876,39357556,1,1,1
28,40194932,40419036,2,2,1
29,41226360,41558820,1,1,1
30,42812176,43160040,1,1,1
31,44083364,44414308,1,1,1
32,45552668,45910680,1,1,1
33,47412032,47737420,1,1,1
34,48908780,49168464,2,2,1
35,50458816,50702016,2,1,0
36,51639388,51932436,1,1,1
37,53209816,53605540,2,2,1
38,54176896,54678236,1,1,1
39,55501588,55787172,1,1,1
40,56302528,56658724,2,2,1
41,57171052,57447536,2,2,1
42,58876916,59238376,1,1,1
43,59897764,60257984,1,1,1
44,61575316,61835644,1,1,1
45,63327032,63701876,2,2,1
46,64636240,64967188,2,2,1
47,65723520,66075016,1,1,1
48,66747404,67107868,1,1,1
49,67782292,68064172,1,1,1
50,68815556,69091792,1,1,1
51,70121148,70469188,1,1,1
52,71556516,71899816,2,2,1
53,72853172,73088160,2,2,1
54,74157540,74396936,1,1,1
55,75735292,76062092,1,1,1
56,77163480,77428096,1,1,1
57,78379488,78648472,1,1,1
58,79457856,79749248,2,1,0
59,81153632,81503036,2,2,1
60,82345368,82625436,2,2,1
61,83327816,83720828,1,1,1
62,84806232,85120560,2,2,1
63,85867888,86264412,1,1,1
64,87748740,88103644,1,1,1
65,88656972,89044904,2,2,1
66,89668284,89959472,1,2,0
67,91277852,91622656,1,1,1
68,92993036,93496948,1,1,1
69,94799308,95079796,2,2,1
70,96211160,96533748,2,2,1
71,97163124,97552012,1,1,1
72,98308344,98611496,1,1,1
73,99428880,99748952,2,2,1
74,100524308,100859404,2,2,1
75,101447864,101760056,2,2,1
76,103188500,103547712,2,2,1
77,104355164,104637896,2,2,1
78,105169320,105582008,1,1,1
79,106944448,107281124,2,2,1
80,107933564,108276056,2,2,1
81,109358532,109621636,2,2,1
82,111079076,111548768,1,1,1
83,112210220,112583460,1,1,1
84,113096904,113371324,1,1,1
85,114079768,114458476,1,1,1
86,115899960,116334428,2,2,1
87,117570880,117893756,2,2,1
88,118746216,119229904,1,1,1
89,120579328,120956416,2,2,1
90,121746836,122084544,2,2,1
91,122998992,123280800,2,2,1
92,124551216,124842692,2,2,1
93,126342132,126765016,1,1,1
94,127292460,127921568,2,2,1
95,129090020,129406164,1,1,1
96,130599632,130910932,1,1,1
97,132094352,132482432,2,2,1
98,133483848,133888776,1,1,1
99,134565192,134916624,2,2,1
100,135508040,135920676,1,1,1
101,137136204,137552268,1,1,1
102,138995732,139358352,2,2,1
103,140508868,141031508,2,2,1
104,141774996,142143392,1,1,1
105,143337884,143772472,1,1,1
