1736604947.000,6949880
ObjShowTime,ReactionTime,StimType,Guess,Correct
81925864,82312860,2,2,1
83171092,83711616,1,1,1
84240860,84620852,1,1,1
86113116,86626552,2,2,1
87547852,87912312,1,1,1
88666528,89045760,2,2,1
90505996,90888296,1,1,1
91749536,92265408,1,1,1
93323620,93888564,2,2,1
95148828,95580188,2,2,1
96688424,97131948,2,2,1
98212184,98647228,2,2,1
100015468,100356348,2,2,1
101182672,101622388,2,2,1
102126692,102605620,2,2,1
104085952,104417272,1,1,1
105718628,106044796,1,1,1
107278192,107682392,2,2,1
108976724,109487000,1,1,1
110757360,111266644,2,2,1
112191972,112646096,1,1,1
113195460,113790356,1,1,1
114698716,115164148,1,1,1
116016480,116452148,2,2,1
117630476,118043916,1,1,1
119090240,119353652,1,1,1
120008976,120335764,1,1,1
121295092,121728868,2,2,1
123160192,123558052,2,2,1
124931376,125303720,1,1,1
126607116,126873324,1,1,1
127695652,128156952,1,1,1
129622280,130010024,1,1,1
131345380,131706256,1,1,1
132837584,133262712,2,2,1
134076068,134496440,1,1,1
135364764,135782700,1,1,1
136655024,137061604,2,2,1
138533928,138843092,1,1,1
139576424,140065936,2,2,1
140900284,141351268,2,2,1
141916596,142334624,1,1,1
142992960,143476620,2,2,1
144548964,144920380,2,2,1
146063680,146504596,1,1,1
147190928,147521028,1,1,1
149003328,149465600,2,2,1
150023924,150668236,1,1,1
151864572,152238668,1,1,1
153592972,154021824,2,2,1
154817184,155262768,1,1,1
155982072,156400832,1,1,1
157559160,157957268,2,2,1
159140612,159425728,1,1,1
160005084,160416856,2,2,1
161183208,161540788,1,1,1
162246164,162491568,2,2,1
163424916,163691248,2,1,0
164687576,165124760,2,2,1
166506088,167005132,1,1,1
167878488,168342556,1,1,1
169060908,169534708,1,1,1
170280032,170675940,1,1,1
171485240,171874956,2,2,1
173029280,173489940,1,1,1
174665272,175084104,1,1,1
175692436,176175072,2,2,1
177658432,178121392,2,2,1
179302696,179752320,1,1,1
180556716,180963372,1,1,1
182305720,182724708,1,1,1
183252044,183633772,2,2,1
184526080,184896132,2,2,1
186351456,186776184,1,1,1
187637512,188085512,1,1,1
188852864,189217160,1,1,1
190689492,191095804,2,2,1
191786136,192234628,1,1,1
193382984,194386884,1,1,1
195798220,196215376,2,2,1
197243704,197688556,2,2,1
198760880,199148024,1,1,1
199944372,200313584,1,1,1
200867884,201283564,2,2,1
202117916,202463012,2,2,1
203255348,203575752,1,1,1
204768108,205206640,2,2,1
206078996,206498812,1,1,1
207634168,208090448,2,2,1
208667772,209028208,1,2,0
210354532,210836248,1,1,1
211350552,211836104,2,2,1
212902464,213601564,2,2,1
214684888,215089992,2,2,1
215696316,216065696,2,2,1
216653036,217023468,2,2,1
218180804,218583952,1,1,1
219595312,220045744,2,2,1
220915076,221323864,1,1,1
222397192,222797844,1,1,1
223778176,224186820,2,2,1
224821172,225562312,1,1,1
