trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726179848511.9438,1726179848944.656,1,2,0
2,1726179849849.9,1726179850216.776,2,2,1
3,1726179851250.984,1726179851557.036,2,2,1
4,1726179852312.312,1726179852551.932,2,2,1
5,1726179853345.264,1726179853578.8398,2,2,1
6,1726179854257.176,1726179854594.412,1,1,1
7,1726179856000.688,1726179856302.596,1,1,1
8,1726179857620.9038,1726179857858.6,1,1,1
9,1726179858394.884,1726179858739.7358,2,2,1
10,1726179860101.084,1726179860380.624,1,2,0
11,1726179861587.012,1726179862010.312,2,2,1
12,1726179862601.672,1726179862917.984,1,1,1
13,1726179864041.336,1726179864383.244,2,2,1
14,1726179865034.596,1726179865400.936,1,1,1
15,1726179866851.2878,1726179867217.732,1,1,1
16,1726179867917.084,1726179868182.916,1,1,1
17,1726179869070.24,1726179869367.78,1,1,1
18,1726179870661.16,1726179870962.412,1,1,1
19,1726179872171.7678,1726179872520.712,2,2,1
20,1726179873753.1,1726179874045.24,1,1,1
21,1726179874579.596,1726179875011.984,2,2,1
22,1726179875982.344,1726179876344.5398,1,1,1
23,1726179877207.936,1726179877527.912,2,2,1
24,1726179878134.2678,1726179878518.7358,1,1,1
25,1726179879227.096,1726179879425.512,1,2,0
26,1726179880097.9038,1726179880508.492,2,2,1
27,1726179881554.824,1726179881969.316,1,2,0
28,1726179882749.672,1726179883044.7998,1,1,1
29,1726179884343.16,1726179884568.5278,2,1,0
30,1726179885371.908,1726179885696.2158,2,2,1
31,1726179886523.572,1726179886770.9438,2,2,1
32,1726179887576.3198,1726179887939.1318,1,1,1
33,1726179888818.512,1726179889113.888,1,1,1
34,1726179890139.276,1726179890491.628,1,1,1
35,1726179891541.9558,1726179891860.124,1,1,1
36,1726179892731.52,1726179893095.928,2,2,1
37,1726179894354.308,1726179894547.808,2,2,1
38,1726179895484.136,1726179895843.004,1,1,1
39,1726179896479.336,1726179896757.4558,1,1,1
40,1726179897807.784,1726179898115.652,2,2,1
41,1726179898652.0278,1726179898971.74,2,2,1
42,1726179899494.096,1726179899744.7358,2,2,1
43,1726179900257.0918,1726179900648.6838,1,1,1
44,1726179901515.0398,1726179901752.024,1,1,1
45,1726179902999.38,1726179903335.004,2,2,1
46,1726179903921.384,1726179904257.7,2,2,1
47,1726179905139.0798,1726179905410.4038,2,2,1
48,1726179905962.7358,1726179906208.728,2,2,1
49,1726179906802.152,1726179907122.4,1,1,1
50,1726179908561.724,1726179908820.936,1,1,1
51,1726179909994.296,1726179910430.3198,1,1,1
52,1726179911415.672,1726179911747.104,1,1,1
53,1726179912528.464,1726179912871.816,1,1,1
54,1726179913652.204,1726179913972.6118,1,1,1
55,1726179914709.004,1726179914983.212,1,1,1
56,1726179916341.588,1726179916552.844,1,1,1
57,1726179917088.22,1726179917330.532,1,1,1
58,1726179918666.8918,1726179919023.896,1,1,1
59,1726179920079.28,1726179920457.1318,2,2,1
60,1726179921052.492,1726179921479.056,1,1,1
61,1726179922591.3918,1726179922815.292,1,1,1
62,1726179923456.6638,1726179923819.356,2,2,1
63,1726179924576.7358,1726179924854.4238,2,2,1
64,1726179925661.804,1726179925983.676,1,1,1
65,1726179927069.0598,1726179927363.8518,2,2,1
66,1726179928300.18,1726179928595.208,2,2,1
67,1726179929630.5598,1726179929974.6318,1,1,1
68,1726179930548.988,1726179930978.3518,2,2,1
69,1726179932101.7158,1726179932400.48,1,1,1
70,1726179933244.864,1726179933427.628,2,2,1
71,1726179934309.988,1726179934624.1838,1,1,1
72,1726179935565.544,1726179935881.604,2,1,0
73,1726179937107.968,1726179937506.204,1,1,1
74,1726179938072.5918,1726179938409.468,2,2,1
75,1726179939029.832,1726179939370.3518,1,1,1
76,1726179940157.704,1726179940448.312,1,2,0
77,1726179941705.6438,1726179941999.272,1,1,1
78,1726179942851.744,1726179943209.384,2,2,1
79,1726179944147.832,1726179944517.836,1,2,0
80,1726179945930.28,1726179946296.724,1,1,1
81,1726179947505.2,1726179947823.876,1,1,1
82,1726179949141.3398,1726179949482.36,2,2,1
83,1726179950914.832,1726179951247.296,1,1,1
84,1726179952206.712,1726179952490.308,1,2,0
85,1726179953043.784,1726179953466.432,2,2,1
86,1726179954439.8518,1726179954714.6318,2,2,1
87,1726179955698.076,1726179956018.168,1,1,1
88,1726179956962.652,1726179957335.16,1,1,1
89,1726179958275.6,1726179958642.228,2,2,1
90,1726179959592.668,1726179959940.896,2,2,1
91,1726179961155.3398,1726179961500.104,1,1,1
92,1726179962989.588,1726179963292.272,1,1,1
93,1726179964684.744,1726179964966.156,1,1,1
94,1726179965878.6,1726179966234.7998,1,1,1
95,1726179967640.224,1726179967969.832,2,2,1
96,1726179968936.308,1726179969334.0918,1,1,1
97,1726179969840.564,1726179970211.868,1,1,1
98,1726179971481.2878,1726179971851.568,2,2,1
99,1726179972416.012,1726179972761.188,1,1,1
100,1726179973717.624,1726179974144.104,1,1,1
101,1726179974863.608,1726179975238.308,2,2,1
102,1726179976331.816,1726179976729.056,1,2,0
103,1726179977627.548,1726179978101.764,1,1,1
104,1726179979013.252,1726179979249.36,1,1,1
105,1726179979829.848,1726179980190.408,2,2,1
106,1726179981232.896,1726179981628.0398,2,2,1
107,1726179982668.5278,1726179983064.052,1,1,1
108,1726179983661.5398,1726179984161.068,1,1,1
109,1726179985509.588,1726179985806.088,2,2,1
110,1726179986672.5798,1726179987042.824,2,2,1
