ObjShowTime,ReactionTime,StimType,Guess,Correct
1728328202697.636,1728328203185.16,2,2,1
1728328204596.404,1728328205140.672,1,1,1
1728328205662.908,1728328206299.008,2,2,1
1728328207323.22,1728328208036.096,2,2,1
1728328208800.364,1728328209317.684,1,1,1
1728328209920.92,1728328210378.528,1,1,1
1728328211441.736,1728328211835.884,1,1,1
1728328212463.124,1728328212904.936,1,1,1
1728328213693.172,1728328214094.352,1,1,1
1728328215528.632,1728328215900.448,1,1,1
1728328216955.704,1728328217342.772,2,2,1
1728328218691.988,1728328219095.18,1,1,1
1728328220457.416,1728328220834.736,2,2,1
1728328221546.952,1728328222023.236,1,1,1
1728328222787.5042,1728328223196.588,2,2,1
1728328223909.848,1728328224374.588,1,1,1
1728328225791.828,1728328226321.008,1,1,1
1728328227706.224,1728328228265.204,2,2,1
1728328228807.468,1728328229366.6,1,1,1
1728328230263.84,1728328230642.904,2,2,1
1728328232020.14,1728328232508.8,2,2,1
1728328233700.0562,1728328234110.712,1,1,1
1728328235195.992,1728328235529.408,1,1,1
1728328236123.668,1728328236789.144,2,2,1
1728328238063.404,1728328238454.34,1,1,1
1728328239416.584,1728328239764.244,1,1,1
1728328241160.456,1728328241560.796,1,1,1
1728328243012.036,1728328243656.612,2,2,1
1728328244805.824,1728328245379.896,1,1,1
1728328245939.136,1728328246360.208,1,1,1
1728328247074.472,1728328247524.432,1,1,1
1728328248092.756,1728328248555.9,2,2,1
1728328250021.236,1728328250464.7,2,2,1
1728328251665.06,1728328252133.644,1,1,1
1728328252830.964,1728328253216.924,1,1,1
1728328254681.288,1728328255108.856,2,2,1
1728328256588.156,1728328257041.692,2,2,1
1728328257676.04,1728328258155.88,2,2,1
1728328259101.236,1728328259570.312,1,1,1
1728328260707.612,1728328261988.256,1,1,1
1728328263170.584,1728328263569.844,1,1,1
1728328264920.172,1728328265364.428,2,2,1
1728328266004.756,1728328266419.472,1,1,1
1728328267916.832,1728328268341.324,1,1,1
1728328269136.672,1728328269495.972,1,1,1
1728328270699.3,1728328271097.804,1,1,1
1728328272568.16,1728328272938.732,1,1,1
1728328274002.036,1728328274436.624,1,1,1
1728328275621.964,1728328275902.112,1,1,1
1728328277326.444,1728328277705.74,1,1,1
1728328279033.068,1728328279353.084,1,1,1
1728328280003.404,1728328280555.46,2,2,1
1728328281501.788,1728328282098.092,1,1,1
1728328283487.424,1728328283822.884,2,1,0
1728328284390.208,1728328284994.652,2,2,1
1728328286075.976,1728328286650.6,1,1,1
1728328287507.956,1728328288538.844,1,1,1
1728328289458.2,1728328289829.736,1,1,1
1728328290567.064,1728328290912.676,2,2,1
1728328292361.032,1728328292842.992,1,1,1
1728328293487.344,1728328293910.5562,1,1,1
1728328295271.952,1728328295631.196,1,1,1
1728328296965.52,1728328297346.372,1,1,1
1728328298507.704,1728328298996.436,2,2,1
1728328300321.768,1728328300767.144,2,2,1
1728328301994.5042,1728328302344.484,2,2,1
1728328303037.812,1728328303534.176,2,2,1
1728328304142.5042,1728328304584.116,1,1,1
1728328305710.448,1728328306274.9,1,1,1
1728328307130.224,1728328307648.676,2,2,1
1728328308784.024,1728328309353.548,1,1,1
1728328310703.9,1728328311256.096,2,2,1
1728328312736.444,1728328313217.552,2,2,1
1728328314096.856,1728328314673.256,1,1,1
1728328315777.652,1728328316575.468,1,1,1
1728328317608.792,1728328318073.568,2,2,1
1728328318687.892,1728328319339.5042,1,1,1
1728328320599.86,1728328321306.836,2,2,1
1728328322639.164,1728328323099.364,1,1,1
1728328324003.688,1728328324613.408,1,1,1
1728328325421.76,1728328325784.08,1,1,1
1728328326977.404,1728328327427.16,2,2,1
1728328328579.48,1728328328943.264,1,1,1
1728328329837.592,1728328330256.476,2,2,1
1728328330988.804,1728328331318.948,2,2,1
1728328332102.28,1728328332455.568,2,2,1
1728328333086.872,1728328333660.068,1,1,1
1728328335088.464,1728328335664.932,2,2,1
1728328337069.236,1728328337564.952,2,2,1
1728328338673.304,1728328339127.96,1,1,1
1728328339851.296,1728328340207.996,1,1,1
1728328341231.344,1728328341461.604,2,2,1
1728328342442.932,1728328342770.072,1,1,1
1728328344175.432,1728328344534.252,2,2,1
1728328345483.58,1728328346241.016,1,1,1
1728328347722.372,1728328348133.872,1,1,1
1728328348711.208,1728328349086.08,1,1,1
1728328349953.412,1728328350318.364,1,1,1
1728328350959.668,1728328351444.1082,2,2,1
1728328352433.436,1728328352824.588,1,1,1
1728328353517.952,1728328353812.096,1,1,1
