1728302950.000,3637616
ObjShowTime,ReactionTime,StimType,Guess,Correct
56335252,56822776,2,2,1
58234020,58778288,1,1,1
59300524,59936624,2,2,1
60960836,61673712,2,2,1
62437980,62955300,1,1,1
63558536,64016144,1,1,1
65079352,65473500,1,1,1
66100740,66542552,1,1,1
67330788,67731968,1,1,1
69166248,69538064,1,1,1
70593320,70980388,2,2,1
72329604,72732796,1,1,1
74095032,74472352,2,2,1
75184568,75660852,1,1,1
76425120,76834204,2,2,1
77547464,78012204,1,1,1
79429444,79958624,1,1,1
81343840,81902820,2,2,1
82445084,83004216,1,1,1
83901456,84280520,2,2,1
85657756,86146416,2,2,1
87337672,87748328,1,1,1
88833608,89167024,1,1,1
89761284,90426760,2,2,1
91701020,92091956,1,1,1
93054200,93401860,1,1,1
94798072,95198412,1,1,1
96649652,97294228,2,2,1
98443440,99017512,1,1,1
99576752,99997824,1,1,1
100712088,101162048,1,1,1
101730372,102193516,2,2,1
103658852,104102316,2,2,1
105302676,105771260,1,1,1
106468580,106854540,1,1,1
108318904,108746472,2,2,1
110225772,110679308,2,2,1
111313656,111793496,2,2,1
112738852,113207928,1,1,1
114345228,115625872,1,1,1
116808200,117207460,1,1,1
118557788,119002044,2,2,1
119642372,120057088,1,1,1
121554448,121978940,1,1,1
122774288,123133588,1,1,1
124336916,124735420,1,1,1
126205776,126576348,1,1,1
127639652,128074240,1,1,1
129259580,129539728,1,1,1
130964060,131343356,1,1,1
132670684,132990700,1,1,1
133641020,134193076,2,2,1
135139404,135735708,1,1,1
137125040,137460500,2,1,0
138027824,138632268,2,2,1
139713592,140288216,1,1,1
141145572,142176460,1,1,1
143095816,143467352,1,1,1
144204680,144550292,2,2,1
145998648,146480608,1,1,1
147124960,147548172,1,1,1
148909568,149268812,1,1,1
150603136,150983988,1,1,1
152145320,152634052,2,2,1
153959384,154404760,2,2,1
155632120,155982100,2,2,1
156675428,157171792,2,2,1
157780120,158221732,1,1,1
159348064,159912516,1,1,1
160767840,161286292,2,2,1
162421640,162991164,1,1,1
164341516,164893712,2,2,1
166374060,166855168,2,2,1
167734472,168310872,1,1,1
169415268,170213084,1,1,1
171246408,171711184,2,2,1
172325508,172977120,1,1,1
174237476,174944452,2,2,1
176276780,176736980,1,1,1
177641304,178251024,1,1,1
179059376,179421696,1,1,1
180615020,181064776,2,2,1
182217096,182580880,1,1,1
183475208,183894092,2,2,1
184626420,184956564,2,2,1
185739896,186093184,2,2,1
186724488,187297684,1,1,1
188726080,189302548,2,2,1
190706852,191202568,2,2,1
192310920,192765576,1,1,1
193488912,193845612,1,1,1
194868960,195099220,2,2,1
196080548,196407688,1,1,1
197813048,198171868,2,2,1
199121196,199878632,1,1,1
201359988,201771488,1,1,1
202348824,202723696,1,1,1
203591028,203955980,1,1,1
204597284,205081724,2,2,1
206071052,206462204,1,1,1
207155568,207449712,1,1,1
