TC lost power, let's set the time!
RTC lost power, let's set the time!
1738844302.000,9597712
ObjShowTime,ReactionTime,StimType,Guess,Correct
68403420,68880404,2,2,1
69428636,69743112,1,1,1
70621352,70896364,2,2,1
72326580,72631280,1,1,1
73316516,73660960,1,1,1
74897232,75174408,2,1,0
76529720,77033400,2,2,1
78433616,78772540,2,2,1
79817780,80365268,1,1,1
81558504,81951360,1,1,1
83248604,83589004,2,2,1
84965236,85442544,1,1,1
86542816,86896808,2,1,0
88194068,88541088,2,2,1
89676332,90005188,2,2,1
91321404,91630368,2,2,1
92755604,93142296,1,1,1
94346536,94726764,1,1,1
95798000,96208424,2,2,1
97201740,97602704,2,2,1
98625940,98912196,2,2,1
99719404,100183180,2,2,1
100894484,101400840,2,2,1
101928180,102267680,1,1,1
102832004,103156252,1,1,1
104539552,104827404,1,1,1
106216712,106733320,2,2,1
107318620,107689680,1,1,1
108502004,108800272,1,1,1
110071616,110563776,2,2,1
111770144,112163684,2,2,1
113410008,113736292,2,2,1
114256664,114646724,2,2,1
115313028,115697116,1,1,1
116855472,117244304,1,1,1
117908636,118404028,2,2,1
119848388,120208360,1,1,1
120788716,121299672,1,1,1
122111996,122693136,1,2,0
123888468,124420260,2,2,1
125070584,125428416,2,2,1
126204740,126550992,1,1,1
127122352,127529844,2,2,1
128763148,129063204,1,1,1
129628528,129980380,1,1,1
130756752,131087048,2,2,1
131659372,132117968,1,1,1
132669320,133068780,1,1,1
133917140,134273988,1,1,1
135106340,135602204,1,1,1
136409556,136686108,2,1,0
137842432,138366996,2,2,1
138935320,139381100,1,1,1
140667460,141231348,2,2,1
142456700,143022436,1,1,1
144235768,144839812,1,1,1
146066160,146495460,1,1,1
147306788,147546376,1,1,1
148438764,148886856,1,1,1
149462184,150077028,2,2,1
150963332,151616352,1,1,1
153012680,153408628,1,1,1
154593980,154961800,2,2,1
156389128,156789892,1,1,1
157353220,157812356,1,1,1
158531660,158868660,1,1,1
160261008,160540780,2,2,1
161380132,161776588,1,1,1
162783948,163331332,2,2,1
163968684,164328940,2,2,1
164844288,165189844,2,2,1
165996232,166373276,1,1,1
167479608,167856144,1,1,1
168374468,168806164,1,1,1
169603464,169956220,2,2,1
170874544,171257084,1,1,1
172526432,173014136,1,1,1
173857488,174217544,1,1,1
175489892,175950044,1,1,1
176950368,177336728,1,1,1
177948056,178325748,1,1,1
179581072,179958336,2,2,1
181255672,181630248,1,1,1
182321604,182856516,2,2,1
184161888,184531512,2,1,0
185275840,185742392,1,1,1
186982720,187331460,1,1,1
188291784,188659264,1,1,1
189161568,189563220,1,1,1
190389544,190697244,1,1,1
191448576,191854040,2,2,1
193213400,193766512,1,1,1
194998872,195536984,2,2,1
196219308,196811920,1,1,1
198005276,198755780,1,1,1
200099116,200620844,1,1,1
201491172,201892604,1,1,1
203044948,203370604,1,1,1
204812948,205163264,1,1,1
206016564,206285496,1,1,1
207081796,207418904,1,1,1
208052232,208382456,1,1,1
208963760,209494636,2,2,1
210197968,210645420,1,1,1
211768776,212443192,1,1,1
