trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726002176511.932,1726002177031.196,1,1,1
2,1726002177591.5278,1726002177993.628,2,2,1
3,1726002179352.96,1726002179710.636,2,2,1
4,1726002180585.9758,1726002180925.244,1,1,1
5,1726002181929.576,1726002182224.096,1,1,1
6,1726002182757.384,1726002183101.516,2,2,1
7,1726002184424.8518,1726002184797.832,1,1,1
8,1726002185780.136,1726002186132.7,1,1,1
9,1726002186879.984,1726002187226.38,2,2,1
10,1726002187755.7358,1726002188207.988,2,2,1
11,1726002189164.344,1726002189520.772,1,1,1
12,1726002190642.124,1726002191032.6638,2,2,1
13,1726002192076.02,1726002192543.824,1,1,1
14,1726002193320.2158,1726002193791.2478,1,1,1
15,1726002195252.608,1726002195594.952,2,2,1
16,1726002196496.308,1726002196789.844,2,2,1
17,1726002197952.204,1726002198331.472,1,1,1
18,1726002199135.856,1726002199532.8518,1,1,1
19,1726002200619.208,1726002200975.304,1,1,1
20,1726002201896.66,1726002202227.316,1,1,1
21,1726002203134.68,1726002203589.916,2,2,1
22,1726002204713.272,1726002205084.568,2,2,1
23,1726002206142.98,1726002206501.5078,1,1,1
24,1726002207147.868,1726002207478.4,2,2,1
25,1726002207987.76,1726002208341.2,1,1,1
26,1726002209096.5278,1726002209434.308,2,2,1
27,1726002210845.6638,1726002211225.072,1,1,1
28,1726002211747.428,1726002212048.18,2,2,1
29,1726002213073.536,1726002213439.148,2,2,1
30,1726002214203.536,1726002214509.012,1,1,1
31,1726002215112.368,1726002215540.232,1,1,1
32,1726002216603.5598,1726002217036.9438,1,1,1
33,1726002217663.2678,1726002218024.604,1,1,1
34,1726002218813.988,1726002219210.796,1,1,1
35,1726002220645.156,1726002221145.048,1,1,1
36,1726002222200.464,1726002222616.472,2,2,1
37,1726002223967.8518,1726002224234.964,1,1,1
38,1726002225596.296,1726002225833.744,2,2,1
39,1726002226548.124,1726002226916.04,1,1,1
40,1726002227680.428,1726002227981.74,2,2,1
41,1726002228693.068,1726002229117.312,1,1,1
42,1726002230534.6638,1726002230897.264,1,1,1
43,1726002232284.648,1726002232561.204,2,2,1
44,1726002233103.596,1726002233465.672,1,1,1
45,1726002234364.052,1726002234727.24,2,2,1
46,1726002236104.596,1726002236464.732,2,2,1
47,1726002237655.092,1726002238102.304,1,1,1
48,1726002239188.688,1726002239521.504,1,1,1
49,1726002240115.932,1726002240411.012,2,2,1
50,1726002241683.348,1726002242163.7998,1,1,1
51,1726002243126.1638,1726002243464.0278,1,1,1
52,1726002244862.408,1726002245195.644,1,1,1
53,1726002246648.0278,1726002247011.968,2,2,1
54,1726002248162.324,1726002248604.66,1,1,1
55,1726002249165.048,1726002249570.952,1,1,1
56,1726002250285.3398,1726002250703.308,1,1,1
57,1726002251271.6638,1726002251639.74,2,2,1
58,1726002253105.092,1726002254004.648,2,2,1
59,1726002255204.004,1726002255437.208,1,1,1
60,1726002256134.556,1726002256746.032,1,1,1
61,1726002258211.416,1726002258471.136,2,2,1
62,1726002259950.5078,1726002260492.732,2,2,1
63,1726002261125.064,1726002261629.032,2,2,1
64,1726002262574.416,1726002262849.256,1,1,1
65,1726002263988.64,1726002264360.52,1,1,1
66,1726002265543.992,1726002265883.0598,1,1,1
67,1726002267233.504,1726002267535.864,2,2,1
68,1726002268176.312,1726002268537.7358,1,1,1
69,1726002270035.208,1726002270251.5598,1,1,1
70,1726002271047.032,1726002271421.516,1,1,1
71,1726002272624.9558,1726002273077.9758,1,1,1
72,1726002274547.416,1726002274790.544,1,1,1
73,1726002275854.992,1726002276167.484,1,1,1
74,1726002277354.952,1726002277616.5078,1,1,1
75,1726002279040.9958,1726002279304.66,1,1,1
76,1726002280632.108,1726002280860.644,1,1,1
77,1726002281512.12,1726002281828.64,2,2,1
78,1726002282775.0798,1726002283087.148,1,1,1
79,1726002284476.596,1726002284733.636,2,2,1
80,1726002285301.076,1726002285655.676,2,2,1
81,1726002286737.124,1726002286939.772,1,1,1
82,1726002287796.22,1726002288129.312,1,1,1
83,1726002289047.764,1726002289285.7878,1,1,1
84,1726002290023.24,1726002290342.784,2,2,1
85,1726002291791.252,1726002292103.9,1,1,1
86,1726002292747.336,1726002293161.3198,1,1,1
87,1726002294520.74,1726002294836.752,1,1,1
88,1726002296172.2678,1726002296586.668,1,1,1
89,1726002297748.116,1726002298085.28,2,2,1
90,1726002299411.752,1726002299655.032,2,2,1
91,1726002300882.5,1726002301169.744,2,2,1
92,1726002301863.192,1726002302148.336,2,2,1
93,1726002302756.78,1726002303092.74,1,1,1
94,1726002304219.192,1726002304531.416,1,2,0
95,1726002305387.8918,1726002305769.364,2,2,1
96,1726002306903.808,1726002307322.6318,1,1,1
97,1726002308673.1,1726002309075.036,2,2,1
98,1726002310553.4558,1726002310847.936,2,2,1
99,1726002311728.38,1726002312076.192,1,1,1
100,1726002313180.66,1726002313486.608,1,1,1
101,1726002314520.136,1726002314832.8398,2,2,1
