trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1724956500511.932,1724956500841.8682,1,1,1
2,1724956502322.08,1724956502648.744,2,2,1
3,1724956504025.96,1724956504315.248,1,1,1
5,1724956506780.796,1724956507197.04,1,1,1
6,1724956508420.372,1724956508674.8682,1,1,1
9,1724956512192.7122,1724956512507.7122,2,2,1
10,1724956513488.084,1724956513845.828,1,1,1
11,1724956514815.204,1724956515152.552,2,2,1
12,1724956516079.9202,1724956516401.304,1,1,1
13,1724956517884.632,1724956518158.2,2,2,1
14,1724956518762.584,1724956519073.132,1,1,1
15,1724956519731.512,1724956520029.072,1,1,1
16,1724956521034.404,1724956521391.776,1,1,1
17,1724956522268.1282,1724956522548.216,2,2,1
18,1724956523760.572,1724956524225.428,2,2,1
19,1724956524962.788,1724956525311.812,2,2,1
20,1724956526744.176,1724956527072.304,1,1,1
21,1724956527735.636,1724956528003.252,1,1,1
22,1724956529022.5762,1724956529365.464,2,2,1
23,1724956530637.888,1724956530866.444,2,2,1
24,1724956531821.796,1724956532101.144,2,2,1
25,1724956532691.4722,1724956532942.152,2,2,1
26,1724956533961.508,1724956534390.352,1,1,1
27,1724956534924.7322,1724956535171.952,1,1,1
28,1724956535836.312,1724956536071.0042,2,2,1
29,1724956537420.364,1724956537707.492,2,2,1
31,1724956539893.044,1724956540285.8,2,2,1
32,1724956541476.184,1724956541909.376,1,1,1
33,1724956543385.76,1724956543885.892,2,2,1
34,1724956545150.272,1724956545440.068,2,2,1
35,1724956546686.428,1724956546998.4,2,2,1
36,1724956548114.788,1724956548323.404,1,1,1
37,1724956549429.7322,1724956549674.664,1,1,1
38,1724956550573.052,1724956550774.6,1,1,1
39,1724956551660.992,1724956551978.14,2,2,1
40,1724956553246.4722,1724956553474.5762,2,2,1
41,1724956554404.952,1724956554643.88,2,2,1
42,1724956555233.268,1724956555534.0562,2,2,1
43,1724956556325.412,1724956556738.0,1,1,1
46,1724956560439.348,1724956560744.012,2,2,1
47,1724956561380.392,1724956561734.62,1,1,1
48,1724956563097.9722,1724956563504.288,1,1,1
49,1724956564576.684,1724956565013.152,2,2,1
50,1724956565962.508,1724956566264.848,2,2,1
51,1724956567486.184,1724956567778.204,1,1,1
53,1724956569827.144,1724956570161.408,1,1,1
54,1724956571448.768,1724956571720.58,1,1,1
55,1724956572835.936,1724956573160.512,2,2,1
57,1724956575357.5242,1724956575693.852,2,2,1
58,1724956576441.2122,1724956576784.34,1,1,1
59,1724956577708.668,1724956578002.852,1,1,1
60,1724956578532.184,1724956578891.356,1,1,1
61,1724956579427.7322,1724956579710.02,1,1,1
62,1724956580981.388,1724956581254.828,2,2,1
63,1724956582702.204,1724956583047.624,1,1,1
64,1724956584101.0042,1724956584464.116,2,2,1
65,1724956585338.4722,1724956585673.0242,2,2,1
66,1724956586604.416,1724956586925.976,1,1,1
67,1724956587822.328,1724956588066.0,1,1,1
68,1724956589308.364,1724956589790.1082,2,2,1
69,1724956591043.476,1724956591415.948,2,2,1
70,1724956592281.308,1724956592537.532,2,2,1
71,1724956593616.896,1724956593830.572,2,2,1
72,1724956594794.952,1724956595125.196,1,1,1
75,1724956598390.136,1724956598756.04,2,2,1
76,1724956599856.516,1724956600098.1282,2,2,1
77,1724956600946.6082,1724956601175.8682,2,2,1
78,1724956602601.2842,1724956602932.688,1,1,1
79,1724956604416.152,1724956604639.324,1,1,1
80,1724956605855.772,1724956606061.884,1,1,1
81,1724956607563.332,1724956607902.94,1,1,1
82,1724956608532.4202,1724956608887.24,2,2,1
83,1724956609835.684,1724956610272.708,2,2,1
84,1724956611596.184,1724956611976.416,1,1,1
85,1724956613094.8682,1724956613411.984,2,2,1
86,1724956614814.4,1724956615121.992,1,1,1
87,1724956615713.404,1724956616046.968,1,1,1
89,1724956618785.8,1724956619156.952,2,2,1
90,1724956619904.4202,1724956620244.44,1,1,1
91,1724956620939.884,1724956621420.528,2,2,1
92,1724956622728.952,1724956623056.236,1,1,1
93,1724956623853.7122,1724956624226.08,2,2,1
94,1724956625485.532,1724956625738.364,1,1,1
95,1724956626728.8,1724956627069.62,1,1,1
96,1724956628384.088,1724956628670.1,1,1,1
97,1724956629244.54,1724956629621.612,2,2,1
98,1724956630323.032,1724956630689.164,2,2,1
99,1724956631389.64,1724956631721.752,1,1,1
100,1724956632319.224,1724956632805.12,1,1,1
101,1724956634265.6802,1724956634616.692,1,1,1
102,1724956635335.156,1724956635646.488,1,1,1
103,1724956636296.976,1724956636589.22,1,1,1
104,1724956637966.708,1724956638342.44,2,2,1
105,1724956639721.936,1724956639989.744,2,2,1
106,1724956641060.2322,1724956641419.088,2,2,1
107,1724956642141.58,1724956642399.328,2,2,1
108,1724956643758.792,1724956644225.436,2,2,1
109,1724956645025.952,1724956645260.664,2,2,1
111,1724956648228.5562,1724956648616.036,2,2,1
112,1724956649826.528,1724956650122.676,2,2,1
