1725016987.000,3813188
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7324092,8253448,2,2,1
2,9716652,10110564,2,2,1
3,10803828,11218164,2,2,1
4,11835460,12348300,1,1,1
5,13440616,13733144,1,1,1
6,14834468,15164804,1,1,1
7,16274128,16635484,1,1,1
8,17323780,17648120,1,1,1
9,18816436,19151032,1,1,1
10,20577384,20867616,1,1,1
11,21538944,21848196,1,1,1
12,23022572,23270128,1,1,1
13,24096480,24544168,2,2,1
14,25377548,25885032,1,1,1
15,26635392,27243124,1,1,1
16,28033452,28466640,2,2,1
17,29080964,29512304,1,1,1
18,30445636,30814176,2,2,1
19,31763536,31955572,1,1,1
20,32714904,33258736,1,1,1
21,34714120,35164124,2,2,1
22,36112480,36361972,1,1,1
23,37301340,37876356,2,2,1
24,38954712,39443360,2,2,1
25,40198744,40597120,1,1,1
26,41441448,41854568,2,2,1
27,43135916,43422552,1,1,1
28,44630908,45174012,1,1,1
29,46417396,46738060,2,2,1
30,47657392,48123516,1,1,1
31,49051844,49506884,2,2,1
32,50850244,51208156,2,2,1
33,51962536,52407652,1,1,1
34,53167040,53926720,2,2,1
35,55152076,55793900,2,2,1
36,56317292,56816604,2,2,1
37,58241984,58626268,2,2,1
38,59427648,59734304,2,2,1
39,60690660,60948056,2,2,1
40,61606416,62098828,1,1,1
41,63363184,63713944,2,2,1
42,64472276,64868380,2,2,1
43,65982732,66429436,1,1,1
44,67840792,68368912,1,1,1
45,69672240,70267700,2,2,1
46,71441056,72038388,1,1,1
47,72662776,73535392,2,2,1
48,75034756,75631968,1,1,1
49,76146396,77006576,1,1,1
50,77801904,78374212,1,1,1
51,79270592,79842048,2,2,1
52,80900380,81419612,2,2,1
53,82721972,83331768,1,1,1
54,84563096,84951608,2,2,1
55,85731956,86163212,1,1,1
56,87135540,87504224,2,2,1
57,88691608,89026948,2,2,1
58,89797332,90296564,1,1,1
59,91291916,91719944,2,2,1
60,92919332,93282372,2,2,1
61,94510752,94981544,1,1,1
62,95856944,96354504,2,2,1
63,96872856,97532400,1,1,1
64,98935760,99219092,2,2,1
65,100294448,100691568,2,2,1
66,101434008,101735752,2,2,1
67,102767224,103452408,1,1,1
68,104363844,104822296,1,1,1
69,105512740,105864364,1,1,1
70,107322836,107792492,2,2,1
71,108570936,109012304,2,2,1
72,109546752,109972988,1,1,1
73,111284412,111516772,2,2,1
74,112115244,112543056,2,2,1
75,113802544,114211408,2,2,1
76,115436828,115899216,2,2,1
77,116746692,117152808,2,2,1
78,118161276,118422936,1,1,1
79,119486384,119817140,2,2,1
80,120653616,121111020,1,1,1
81,122192468,122522824,2,2,1
82,123778268,124233272,1,1,1
83,125055716,125459316,2,2,1
84,126421792,126877780,1,1,1
85,128065248,128362884,2,2,1
86,129209324,129657888,2,2,1
87,131143356,131643740,1,1,1
88,132460252,133036560,2,2,1
89,134362004,134793036,2,2,1
90,135652484,136195036,1,1,1
91,136734508,137203732,1,1,1
92,137967204,138362452,1,1,1
93,139725872,140170824,2,2,1
94,141249268,141919768,2,2,1
95,142461192,142921740,1,1,1
96,143998188,144444044,2,2,1
97,145605492,145991216,1,1,1
98,147299636,147829656,2,2,1
99,148914132,149534712,2,2,1
100,150797184,151221384,1,1,1
101,152425908,152745724,2,2,1
102,153531244,153961644,2,2,1
103,154979160,155253472,2,2,1
104,156174964,156468708,2,2,1
105,157729172,158190668,1,1,1
106,159161180,159573996,2,2,1
107,160820492,161242024,1,1,1
108,161806516,162350064,2,2,1
109,163002556,163525936,2,2,1
110,164855456,165130444,2,2,1
111,166539948,166929360,1,1,1
112,168074876,168353844,2,2,1
113,169349328,169858312,2,2,1
114,171132872,171412328,2,2,1
115,172437820,172696636,2,2,1
116,174195120,174790168,1,1,1
117,175774656,176247404,1,1,1
118,176987892,177304484,1,1,1
119,178069004,178513040,2,2,1
120,179298532,179700732,2,2,1
121,180386220,180846364,1,1,1
122,182180888,182732268,1,1,1
123,183939760,184320560,2,2,1
124,185096048,185578024,1,1,1
125,186457484,187011468,2,2,1
126,187974924,188251876,1,1,1
127,189396380,189849660,1,1,1
128,190995172,191466312,2,2,1
129,192810828,193318500,1,1,1
130,194589968,195052924,2,2,1
131,196232388,196716852,2,2,1
132,197884344,198330732,2,2,1
133,199338196,199758928,1,1,1
134,200823440,201466872,2,2,1
135,202318396,202950652,1,1,1
136,203711172,204084116,2,2,1
137,204800636,205193696,2,2,1
138,205751180,206237248,1,1,1
139,207237744,207645824,1,1,1
140,208299352,208664064,1,1,1
141,209438552,209728056,1,1,1
142,210656520,210967460,2,1,0
143,211790952,212450840,1,1,1
144,213607328,213899436,1,1,1
145,215103924,215612360,2,2,1
146,216451880,216893408,1,1,1
147,217572928,218081300,2,2,1
148,219061820,219431468,2,2,1
149,220014932,220380400,2,2,1
150,221843888,222295956,1,1,1
151,222916472,223502852,1,1,1
152,224481316,224855864,1,1,1
153,225916432,226408576,2,2,1
154,227011100,227548920,1,1,1
155,228202440,228758144,2,2,1
156,230188644,230750156,2,2,1
157,231383672,231882656,1,1,1
158,233155180,233770816,1,1,1
159,234345332,234722756,1,1,1
160,235445244,235894420,2,2,1
161,237063912,237697276,2,2,1
162,238967792,239637456,1,1,1
163,240638976,241140156,2,2,1
164,241736652,242187044,1,1,1
165,243597540,244101080,1,1,1
166,245017644,245463812,2,2,1
167,246693340,247494228,1,1,1
168,248830720,249597304,1,1,1
169,250148796,250580648,1,1,1
170,251902112,252299152,2,2,1
171,252948656,253424900,2,2,1
172,254432396,254958784,1,1,1
173,256347276,256804416,2,2,1
174,257732880,258202368,2,2,1
175,259665880,260090356,1,1,1
176,261377844,261820952,1,1,1
177,263306416,263826448,2,2,1
178,264884956,265359452,2,2,1
179,266176976,266612228,2,2,1
180,267906716,268437792,2,2,1
181,269402284,269896352,1,1,1
182,271241840,271563244,1,1,1
183,272229708,272893024,1,1,1
184,274039532,274387520,1,1,1
185,275588008,275890724,1,1,1
186,277033188,277339956,1,1,1
187,278083476,278464848,1,1,1
188,279419344,280413784,2,2,1
189,280933276,281461636,2,2,1
190,281968164,282300692,2,2,1
191,282853208,283184888,2,2,1
192,283730456,283996996,2,2,1
