1724855050.000,3718980
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7229884,7684036,1,1,1
2,8431244,8758156,2,2,1
3,9783344,10053556,2,2,1
4,11235824,11475692,2,2,1
5,12519004,12850268,1,1,1
6,13794568,14169160,2,2,1
7,14991468,15311988,2,2,1
8,16404324,16710784,2,2,1
9,18043080,18283312,2,2,1
10,18934660,19433304,2,2,1
11,20110632,20466100,2,2,1
12,21218468,21435864,2,2,1
13,22305196,22738908,1,1,1
14,23486292,23788276,2,2,1
15,25136632,25547400,1,1,1
16,26067760,26523996,2,2,1
17,27497380,27872044,2,2,1
18,28834404,29089304,2,2,1
19,29687656,30040164,2,2,1
20,31233548,31831372,1,1,1
21,32988756,33570048,1,1,1
22,34791432,34996616,1,1,1
23,35692044,35947588,1,1,1
24,37356944,37797860,1,1,1
25,38594244,38957448,2,2,1
26,39611836,39865036,2,2,1
27,40854392,41260408,1,1,1
28,42540796,42899748,2,2,1
29,43805132,44089880,1,1,1
30,45029232,45249208,1,1,1
31,46459556,46685016,1,1,1
32,47913348,48254728,2,1,0
33,49432088,49703960,1,1,1
34,51024344,51309940,2,2,1
35,52441300,52777448,2,2,1
36,53331836,53749280,1,1,1
37,55227612,55707024,2,2,1
38,56952416,57358676,2,2,1
39,57902060,58241832,2,2,1
40,59005164,59267816,1,1,1
41,59964176,60226992,2,2,1
42,61395348,61661944,2,1,0
43,62655300,63035724,2,2,1
44,63971104,64315276,2,2,1
45,65074668,65432564,2,2,1
46,66822952,67100044,1,1,1
47,68269404,68746280,1,1,1
48,69885656,70203680,2,2,1
49,71633076,71909696,1,2,0
50,72545080,72915056,2,2,1
51,73941444,74215972,2,2,1
52,74936336,75395628,2,2,1
53,76162984,76422252,2,2,1
54,77546608,77951432,1,1,1
55,79010824,79241720,1,1,1
56,80404084,80917392,2,2,1
57,81586784,81889052,2,2,1
58,83152420,83811016,1,1,1
59,84669372,85188860,2,2,1
60,86480216,86762696,2,2,1
61,87703080,88178672,2,2,1
62,89451100,89769128,2,2,1
63,91017484,91366160,2,2,1
64,92323516,92656476,2,2,1
65,94098808,94377552,2,2,1
66,94993920,95290096,1,2,0
67,96092428,96489092,2,2,1
68,97701452,98021740,2,2,1
69,98767104,99096244,2,2,1
70,99764576,100149808,1,1,1
71,100865180,101160900,1,2,0
72,102590376,102916516,1,1,1
73,104065956,104311272,1,1,1
74,105187688,105414056,1,1,1
75,106589516,106810080,2,1,0
76,107422524,107757368,1,2,0
77,108525816,108824280,2,2,1
78,109571720,110035240,1,1,1
79,111322716,111723692,2,2,1
80,113208160,113474272,2,1,0
81,114765716,115072436,1,1,1
82,116212856,116620348,2,2,1
83,117458816,117813744,1,1,1
84,118891188,119317420,2,2,1
85,120663892,121136572,2,2,1
86,121863016,122349100,1,1,1
87,123448524,124384128,2,2,1
88,125062652,125330752,2,2,1
89,126583204,126877216,2,2,1
90,127769632,128095588,2,2,1
91,129192036,129560944,1,1,1
92,130985420,131408092,1,1,1
93,132720560,132975720,1,1,1
94,134444160,134759704,1,1,1
95,136193148,136759632,1,1,1
96,137750112,138106324,2,2,1
97,139056768,139610132,1,1,1
98,140854572,141201768,2,2,1
99,142519240,142788300,2,2,1
100,143971724,144568396,1,1,1
101,145633952,145922128,1,1,1
102,146436644,146707780,1,1,1
103,148096276,148561204,2,2,1
104,149329720,149611332,2,2,1
105,150287852,150746548,1,1,1
106,152171040,152432928,1,1,1
107,153768452,154085972,1,1,1
108,154607460,155107936,2,2,1
109,156035400,156294324,2,2,1
110,157402836,157805732,2,2,1
111,159192220,159437908,2,2,1
112,160872420,161497756,1,1,1
113,162598216,162815808,1,1,1
114,164301376,164803388,2,2,1
115,166105904,166437304,1,1,1
116,167578768,167924436,2,2,1
117,168674928,168917716,2,1,0
118,169670208,170078768,2,2,1
119,171039264,171318048,2,2,1
120,172362560,172813640,1,1,1
121,174314148,174588412,1,1,1
122,175178872,175477480,2,1,0
123,176747980,177146868,2,2,1
124,178238384,178542616,2,2,1
125,179535108,180005652,1,1,1
126,180541164,181052016,1,1,1
127,182146520,182561800,2,2,1
128,183985284,184382908,1,1,1
129,185480372,186061120,1,1,1
130,186610636,187089984,2,2,1
131,188034500,188462868,1,1,1
132,189065364,189698544,2,2,1
133,190913040,191327072,1,1,1
134,192613572,192946228,1,1,1
135,194061720,194543800,2,2,1
136,195458284,195841436,1,1,1
137,197152900,197631640,2,2,1
138,199060132,199454000,1,1,1
139,200850496,201537960,2,2,1
140,202497464,202809484,1,1,1
141,203804972,204126016,2,1,0
142,205356548,205741604,1,1,1
143,206315096,206775732,1,1,1
144,207517228,207932492,2,2,1
145,209293008,209820728,1,1,1
146,210899216,211350928,2,2,1
147,212665392,213067328,1,1,1
148,213592816,213897736,1,1,1
149,214716224,214995416,1,1,1
150,216156900,216415608,1,1,1
151,217495100,217773452,1,1,1
152,219059940,219409924,2,2,1
153,219913428,220291148,1,2,0
154,221287632,221650056,1,1,1
155,222252572,222751068,1,1,1
156,223690556,224049048,2,2,1
157,224596576,224846820,2,2,1
158,225814336,226332252,1,1,1
159,226909744,227407504,2,2,1
160,228316992,228662268,2,2,1
161,229947760,230342568,1,1,1
162,230980100,231446552,2,2,1
163,232047068,232445236,2,2,1
164,233681756,233926988,2,2,1
165,234556456,234997352,1,1,1
166,236495892,236769424,2,2,1
167,237353936,237743992,2,2,1
168,238563488,238857464,2,2,1
169,239938960,240218560,2,2,1
170,241247048,241477744,2,2,1
171,242274260,242718588,1,1,1
172,243624084,243968500,1,1,1
173,245359964,245624576,1,1,1
174,246624100,247178188,2,2,1
175,248262680,248493872,2,2,1
176,249089372,249697528,1,1,1
177,251035020,251276596,1,1,1
178,252629088,252866292,1,1,1
179,254192828,254697668,2,2,1
180,255441156,255816492,1,1,1
181,256746020,256975448,1,1,1
182,257869912,258150656,1,1,1
183,259541148,259947108,1,1,1
184,261385572,261675416,2,1,0
185,263071884,263480288,1,1,1
186,264612804,264956596,2,2,1
187,265509060,265808924,2,2,1
188,266389436,266615280,2,2,1
189,267610768,267837220,2,2,1
190,269122712,269455124,1,2,0
191,270661648,271016948,2,2,1
192,271991508,272213904,2,2,1
193,273318432,273550880,2,2,1
194,274664372,275089416,2,2,1
195,276382904,276618064,2,2,1
196,277833584,278074288,2,2,1
197,279157788,279368984,1,2,0
198,280715480,280938036,2,2,1
199,281503524,281802284,2,2,1
200,282542776,282739176,2,2,1
201,283936660,284145336,2,2,1
202,285373804,285819352,1,1,1
203,286728844,286994260,1,1,1
204,288373780,288626520,1,1,1
205,289212072,289513356,1,1,1
206,290142876,290331052,2,1,0
207,291077520,291475228,1,1,1
208,292600748,292858268,1,1,1
209,294273760,294694380,2,2,1
210,295690872,296050796,1,1,1
211,297040320,297500016,2,2,1
212,298962508,299350156,1,1,1
213,300077672,300396908,1,1,1
214,301651408,301910308,1,1,1
215,302556828,302791080,1,1,1
216,304006548,304427944,2,2,1
