1725022924.000,3706172
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7219148,7626144,2,2,1
2,8937380,9158224,2,2,1
3,9858440,10142260,2,2,1
4,10744512,11029908,1,1,1
5,11803252,12000416,1,1,1
6,13473744,13788560,1,1,1
7,14946904,15298424,2,2,1
8,16237704,16500208,2,2,1
9,17746548,18174880,1,1,1
10,18976264,19154272,1,1,1
11,20498632,20736816,1,1,1
12,21689164,22073700,2,2,1
13,22607056,22972096,1,1,1
14,24460428,24721228,1,1,1
15,25551576,25953928,2,2,1
16,26520280,26743100,2,2,1
17,27727476,28081876,1,1,1
18,28618236,28813180,2,1,0
19,30266540,30567924,1,1,1
20,31987288,32232624,1,1,1
21,33318980,33551504,1,1,1
22,34650880,34972764,2,2,1
23,36341156,36588780,2,2,1
24,37491164,37853640,1,1,1
25,38920020,39195364,1,1,1
26,40241728,40495868,1,1,1
27,41401224,41589212,1,1,1
28,42166540,42384148,1,1,1
29,42919508,43161976,1,1,1
30,44376336,44558840,2,2,1
31,45259204,45486472,2,2,1
32,46885852,47213848,1,1,1
33,47818228,48033992,1,1,1
34,48970372,49329096,2,2,1
35,50355456,50625784,2,2,1
36,51747180,52049564,1,1,1
37,53418920,53750872,2,2,1
38,54747220,54959256,1,1,1
39,55858612,56114920,1,1,1
40,57341252,57714048,2,2,1
41,58757412,59147836,1,1,1
42,60471192,60847144,2,2,1
43,61380520,61693512,2,2,1
44,62686868,62982528,1,1,1
45,64123916,64487384,2,2,1
46,65566744,65835532,2,2,1
47,66902884,67089848,2,2,1
48,67941232,68145688,2,2,1
49,68819060,69162656,1,1,1
50,69744984,69939336,1,1,1
51,71404688,71627000,1,1,1
52,73128388,73488276,2,2,1
53,74112660,74325284,2,2,1
54,75765664,76228292,1,1,1
55,77390648,77584944,2,1,0
56,79041304,79430964,1,1,1
57,80416352,80640712,1,1,1
58,81577040,81813020,1,1,1
59,82360348,82576068,1,1,1
60,83874420,84209372,2,2,1
61,85260704,85495756,2,2,1
62,86420180,86632080,2,2,1
63,87256408,87649436,1,1,1
64,88626812,88823224,1,1,1
65,89432616,89633032,1,1,1
66,90854416,91216152,2,2,1
67,91849528,92025644,1,2,0
68,93461008,93667940,1,1,1
69,94342272,94541436,2,1,0
70,95623796,95877952,1,1,1
71,96827312,97148596,2,2,1
72,98433952,98619300,1,2,0
73,99627680,100052916,2,2,1
74,101097348,101348992,1,1,1
75,102094484,102443780,2,2,1
76,103764192,103971440,1,1,1
77,104522856,104825328,1,1,1
78,106098748,106325568,1,1,1
79,107139008,107345784,1,1,1
80,108800236,109093196,1,1,1
81,109696668,109888592,2,1,0
82,111240060,111415432,1,1,1
83,112211900,112528464,1,1,1
84,113818908,114046884,1,1,1
85,114650332,115006780,2,2,1
86,115763232,115938068,1,2,0
87,116551512,116920708,2,1,0
88,117517192,117944812,1,1,1
89,118516260,118968768,1,1,1
90,120135220,120327084,2,1,0
91,121606532,121950880,1,1,1
92,123074324,123435824,2,2,1
93,124153304,124399860,2,2,1
94,125141316,125379848,2,2,1
95,125997296,126491208,1,1,1
96,127851628,128123336,1,1,1
97,129151776,129409420,1,1,1
98,130620868,130882704,1,1,1
99,132229148,132505940,2,2,1
100,133246412,133523608,2,2,1
101,134052132,134303012,2,2,1
102,135269512,135586048,2,2,1
103,136097564,136531768,1,1,1
104,137049264,137325216,1,1,1
105,137843704,138184728,2,2,1
106,139243240,139618108,1,1,1
107,140912624,141195884,2,2,1
108,141784344,142088112,2,1,0
109,143418608,143743848,1,1,1
110,145100372,145469684,1,1,1
111,146629208,147053688,2,2,1
112,148466200,148818520,1,1,1
113,149470004,149722560,1,1,1
114,150688064,151020424,2,2,1
115,152444948,152814552,1,1,1
116,153884048,154319952,2,2,1
117,155430476,155661460,2,2,1
118,156658948,156851288,2,2,1
119,158114804,158438640,1,1,1
120,159374156,159871804,2,2,1
121,161231328,161440324,1,2,0
122,162562812,162966688,2,2,1
123,163976208,164350236,2,2,1
124,165490728,165865524,1,1,1
125,166748036,167273408,2,2,1
126,168636928,168951968,1,1,1
127,169926520,170150756,1,1,1
128,170690276,171087160,2,2,1
129,172584676,172883756,1,1,1
130,173954248,174307668,1,1,1
131,175337160,175740144,2,2,1
132,176322640,176751884,1,1,1
133,178194400,178972324,1,1,1
134,179784792,180066216,1,1,1
135,180830736,181158552,1,1,1
136,181894040,182148464,1,1,1
137,183131956,183339760,1,1,1
138,184140292,184542748,2,2,1
139,185831236,186142184,1,1,1
140,187431716,187712952,1,1,1
141,189093452,189451072,2,2,1
142,190853596,191134012,1,1,1
143,191858532,192198724,2,2,1
144,193406212,193859024,2,2,1
145,195159524,195410080,2,2,1
146,196795572,197069340,2,1,0
147,197873804,198149996,2,2,1
148,198734516,199301236,1,1,1
149,199880724,200176916,1,1,1
150,200985440,201266608,1,1,1
151,202706072,202996320,1,1,1
152,204084816,204315104,1,1,1
153,205628608,205998868,2,2,1
154,207323364,207689400,1,1,1
155,208756864,209138716,2,2,1
156,210310204,210607420,2,2,1
157,212097936,212302904,2,2,1
158,213443408,213787080,1,1,1
159,214720544,214988384,2,1,0
160,216329872,216612192,1,1,1
161,217582656,217887836,1,1,1
162,218639344,218919272,1,1,1
163,220171768,220550056,1,1,1
164,221778572,222062956,1,1,1
165,223066420,223476172,2,2,1
166,224978700,225209340,2,2,1
167,225734832,226053220,2,2,1
168,227273736,227762052,1,1,1
169,228572548,228980060,2,2,1
170,230414524,230664752,2,2,1
171,231702240,232185064,2,2,1
172,232985576,233256416,2,2,1
173,234332908,234522788,1,2,0
174,235645276,235881412,1,1,1
175,237018936,237250796,1,1,1
176,238740316,238912868,2,1,0
177,239494332,239875784,1,1,1
178,240505284,240958168,2,2,1
179,242282676,242476484,2,2,1
180,242986972,243323628,2,2,1
181,244437124,244692096,2,2,1
182,245649588,245979380,2,2,1
183,246917900,247222328,2,2,1
184,247935844,248141312,2,2,1
185,249072780,249401660,1,1,1
186,250129176,250547284,2,2,1
187,251966772,252434996,2,1,0
188,253698460,254021484,1,1,1
189,254706980,255147192,2,2,1
190,255938684,256173700,2,2,1
191,256928168,257158532,2,2,1
192,258085036,258430868,1,1,1
193,259759364,259984616,1,1,1
194,260710136,260959224,1,1,1
195,262042724,262238184,1,1,1
196,263571680,263928216,2,2,1
197,264813680,265119532,2,2,1
198,266622024,266801828,1,1,1
199,268091316,268288528,2,1,0
200,268796988,269169196,1,1,1
201,269695684,270069396,1,1,1
202,270764888,271157948,2,2,1
203,272475408,273023872,1,1,1
204,273937388,274195560,1,1,1
205,274880120,275142408,2,1,0
206,275915900,276684520,2,2,1
207,277275988,277594484,2,2,1
208,278380948,278796752,1,1,1
209,280178248,280540908,2,2,1
210,281679400,282047508,1,1,1
211,282563028,282956844,1,1,1
212,283687332,284041628,1,1,1
213,284588088,284884388,1,1,1
214,285439880,286024176,2,2,1
215,287105664,287305556,2,2,1
216,288082052,288310168,2,2,1
217,289389664,289708104,2,2,1
218,291033664,291491536,1,1,1
