1725027033.000,3110904
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6623876,7018300,2,2,1
2,8057512,8272108,2,2,1
3,9308320,9762840,1,1,1
4,10982072,11412452,1,1,1
5,12264768,12614584,2,2,1
6,13259900,13571616,1,1,1
7,14375924,14670248,2,2,1
8,15476588,15801768,2,2,1
9,16863096,17199252,1,1,1
10,18244628,18621240,1,1,1
11,20056600,20344688,2,1,0
12,20852012,21238396,1,1,1
13,22424724,22700364,1,1,1
14,23484716,23889420,1,1,1
15,25198748,25487376,1,1,1
16,26938728,27219696,1,1,1
17,27823048,28114780,2,2,1
18,28968108,29214824,1,1,1
19,30693200,30957084,2,2,1
20,32270416,32474428,1,1,1
21,33706804,33913928,2,2,1
22,34559280,34781188,2,1,0
23,35776584,36024520,1,1,1
24,37451876,37702264,2,2,1
25,38338596,38740364,2,2,1
26,39287748,39556828,2,2,1
27,40323160,40537968,1,1,1
28,41630324,41839540,2,2,1
29,43133924,43543736,1,1,1
30,44110088,44550112,1,1,1
31,45465496,45717264,2,2,1
32,46444596,46637260,2,1,0
33,47988636,48273380,2,2,1
34,48917744,49126228,1,2,0
35,49898560,50160708,2,2,1
36,50929100,51160676,1,1,1
37,52434012,52734108,2,2,1
38,53847460,54213104,2,2,1
39,55417460,55714600,1,1,1
40,56942924,57240644,1,1,1
41,57900024,58117308,1,1,1
42,59589660,59894536,1,1,1
43,61287896,61539852,1,1,1
44,62671184,62895464,2,2,1
45,63758860,64016260,2,2,1
46,65119612,65375992,1,2,0
47,66754348,67006044,2,2,1
48,68314376,68614744,2,2,1
49,69608136,70045540,2,2,1
50,71350900,71646272,2,2,1
51,72590632,72953556,2,2,1
52,73746920,73936776,2,2,1
53,74839136,75024668,2,2,1
54,75765024,75966888,2,2,1
55,76775276,76955740,2,2,1
56,78311124,78551272,2,2,1
57,79382632,79704868,1,1,1
58,80238224,80457652,1,1,1
59,81678032,81901784,1,1,1
60,83036168,83322176,2,2,1
61,83972560,84308380,1,1,1
62,84814804,85098844,2,2,1
63,85955228,86273684,2,2,1
64,86923036,87128900,1,1,1
65,87994256,88191508,1,2,0
66,88926864,89163764,2,2,1
67,90056156,90320280,1,1,1
68,91253664,91478636,1,1,1
69,92651996,92924224,2,2,1
70,94404604,94692172,2,2,1
71,96019500,96276140,1,1,1
72,96832492,97064984,1,1,1
73,98243360,98461304,1,1,1
74,99239664,99507784,2,2,1
75,100757180,101085888,1,1,1
76,101624336,101824524,1,1,1
77,102906968,103140048,1,1,1
78,103722496,104492156,2,2,1
79,105452596,105638432,2,2,1
80,106924872,107215788,1,1,1
81,108591236,108811060,2,2,1
82,109379532,109746592,1,1,1
83,111086036,111338076,2,2,1
84,112307500,112525864,1,1,1
85,113277284,113529556,2,2,1
86,114803976,115065528,1,1,1
87,116158976,116434096,1,1,1
88,117717608,118161340,1,1,1
89,119562824,119982352,1,1,1
90,120637804,120898064,2,2,1
91,121916484,122199028,2,2,1
92,122783504,123047628,1,2,0
93,123816048,124080448,1,1,1
94,125505900,125754308,1,1,1
95,126881776,127125040,2,2,1
96,128549492,128795336,2,2,1
97,129378788,129667040,2,2,1
98,130408488,130816648,2,2,1
99,132035100,132276512,2,2,1
100,133530960,133733660,2,2,1
101,134325216,134667224,1,1,1
102,135432744,135685020,2,2,1
103,136453512,136709876,2,2,1
104,138098396,138371732,2,2,1
105,139785228,140115432,2,2,1
106,140759920,140982360,2,2,1
107,141911876,142157020,2,2,1
108,143485544,143683232,1,1,1
109,144786696,145097600,2,2,1
110,145851116,146098076,1,1,1
111,147110596,147380348,2,2,1
112,148747872,149052024,2,2,1
113,149698512,149901828,2,2,1
114,150673360,150931000,2,2,1
115,151741464,151989012,2,2,1
116,152543508,152842432,1,1,1
117,153407920,153667796,1,1,1
118,154855320,155066020,2,1,0
119,156440512,156775072,1,1,1
120,157897564,158224544,1,1,1
121,158974032,159221596,2,1,0
122,160372092,160642672,2,2,1
123,162104156,162380012,1,1,1
124,163417536,163658620,1,1,1
125,164547148,164856208,2,2,1
126,165899668,166128308,1,1,1
127,167068812,167263508,1,1,1
128,168225000,168414524,1,1,1
129,169770016,169976172,2,2,1
130,171187664,171410660,1,1,1
131,172534156,172786520,2,2,1
132,173859016,174133724,2,2,1
133,175114212,175534720,1,1,1
134,176495212,176950276,1,1,1
135,177897764,178105712,2,2,1
136,179403212,179690564,2,2,1
137,180577072,180771528,1,1,1
138,181962992,182286012,2,2,1
139,183596508,183808456,1,1,1
140,184678988,184960940,2,2,1
141,186272460,186587024,1,1,1
142,187821552,188059672,2,2,1
143,188831188,189085928,1,1,1
144,190247456,190561480,1,1,1
145,191497992,191719284,2,2,1
146,192740808,192954000,1,1,1
147,194168484,194356528,1,2,0
148,195506044,195781828,2,2,1
149,196626340,196953964,1,1,1
150,197472460,197802952,2,2,1
151,198464472,198788744,2,2,1
152,199471208,199766564,1,1,1
153,200376096,200670528,2,2,1
154,201746044,202065104,1,1,1
155,203276600,203643008,1,1,1
156,204554500,204821260,2,2,1
157,205805748,206046524,2,1,0
158,207336048,207542928,1,1,1
159,208878416,209118352,1,1,1
160,210174868,210461880,2,2,1
161,211127364,211405280,2,2,1
162,212747768,213370536,2,2,1
163,214781000,215045188,2,2,1
164,216412704,216609460,2,2,1
165,217117924,217511004,1,1,1
166,218477552,218676800,1,2,0
167,219218260,219518340,2,2,1
168,220329824,220538056,1,1,1
169,221490544,221802864,2,2,1
170,222856324,223127720,2,2,1
171,224434212,224682268,2,2,1
172,225234788,225470988,2,2,1
173,226381476,226719536,1,1,1
174,227412024,227633776,1,1,1
175,229108272,229317352,1,1,1
176,230305852,230551404,2,1,0
177,231709900,232031188,1,1,1
178,233034708,233252672,1,1,1
179,234744208,235014576,2,2,1
180,235821068,236056632,1,1,1
181,237418148,237693224,2,2,1
182,238322720,238614084,2,2,1
183,239818572,240073008,2,2,1
184,241246504,241647276,2,2,1
185,242617748,242818344,2,2,1
186,243395836,243618992,1,2,0
187,244395512,244644164,2,1,0
188,246121656,246391736,1,1,1
189,247426232,247689784,2,1,0
190,248609276,248827848,1,1,1
191,249866344,250157436,1,1,1
192,251617964,251854004,1,1,1
193,253187524,253412776,1,1,1
194,254453276,254740968,2,2,1
195,256191460,256475688,1,1,1
196,257824152,258098412,2,2,1
197,258803908,259067860,2,2,1
198,259907380,260201428,2,2,1
199,260822948,261152688,1,1,1
200,262013184,262437616,1,1,1
201,263453140,263723920,1,1,1
202,264698448,264938352,2,2,1
203,266191872,266494720,2,2,1
204,267582240,267861208,2,2,1
205,269054768,269307204,1,2,0
206,269992720,270367080,2,2,1
207,271326544,271571700,1,1,1
208,272692220,272950684,1,1,1
209,273802168,274155684,1,1,1
210,274768172,275017736,1,1,1
211,275879224,276153064,1,1,1
212,276725552,277000964,1,1,1
213,278012488,278258752,1,1,1
214,279092244,279380532,2,2,1
215,280088024,280425716,1,1,1
216,281723208,281942188,1,1,1
217,283094700,283533664,2,2,1
