1724775485.000,3845304
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,5356204,5665724,1,1,1
2,6765904,7097832,2,2,1
3,8432076,8667836,2,2,1
4,9663056,9936840,2,2,1
5,11426028,11710384,2,2,1
6,13193732,13455388,2,2,1
7,14837720,15184012,1,1,1
8,16436320,16710472,1,1,1
9,17828776,18104140,2,2,1
10,18792496,19023440,2,2,1
11,20502768,20823988,1,1,1
12,21481372,21743856,1,1,1
13,22832208,23038580,1,1,1
14,24222912,24524596,2,2,1
15,25377928,25567928,2,2,1
16,26699288,26909052,2,2,1
17,28185432,28399412,2,2,1
18,28919764,29152832,2,2,1
19,30543156,30768148,1,1,1
20,31546500,31824088,2,2,1
21,32441440,32706452,1,2,0
22,33382808,33691552,1,1,1
23,34495980,34773568,2,2,1
24,35660900,36013704,1,1,1
25,36731036,37095032,1,1,1
26,37850360,38090784,1,1,1
27,39132168,39474052,2,2,1
28,40968412,41283612,2,2,1
29,41793996,42122304,1,1,1
30,42829680,43111020,2,2,1
31,43933368,44253356,1,1,1
32,45658740,45935456,2,2,1
33,46715812,47031012,2,2,1
34,48047348,48308624,2,2,1
35,48897008,49202032,1,1,1
36,50314400,50535148,2,2,1
37,51369508,51536188,1,2,0
38,52664540,52871708,2,2,1
39,54328056,54608108,1,2,0
40,55368480,55699424,1,1,1
41,56829808,57090752,1,1,1
42,58563112,58832880,2,2,1
43,59851268,60070300,1,2,0
44,61333660,61626804,2,2,1
45,63081188,63369464,2,2,1
46,64699848,65045832,2,2,1
47,65614184,65904428,2,2,1
48,66424780,66714040,1,1,1
49,68022440,68249800,2,2,1
50,69727172,70036200,2,2,1
51,71040564,71456508,2,2,1
52,72620864,72916272,2,2,1
53,73516656,73728592,2,2,1
54,74629944,74884016,1,1,1
55,76154404,76393572,1,1,1
56,77311956,77566532,2,2,1
57,78440900,78695928,2,2,1
58,79969288,80157356,1,2,0
59,81367708,81564928,1,1,1
60,82240308,82506616,2,2,1
61,83130992,83422404,1,1,1
62,84739828,85020752,2,2,1
63,86488108,86812032,2,2,1
64,88058424,88294076,2,2,1
65,89270408,89804344,2,2,1
66,90602672,90890928,1,1,1
67,92369256,92706580,1,1,1
68,93705928,93971680,1,1,1
69,95472036,95664548,1,1,1
70,96312944,96531640,1,1,1
71,97331020,97538156,2,1,0
72,98819540,99103708,1,1,1
73,100535096,100847256,2,2,1
74,101562676,101825768,1,1,1
75,103243284,103544824,1,1,1
76,104086292,104384344,2,2,1
77,105621792,106000888,1,1,1
78,106684328,106954008,2,2,1
79,108049456,108362220,1,1,1
80,109618668,109811460,2,2,1
81,110346904,110608348,1,1,1
82,112030796,112200616,1,2,0
83,113385084,113662008,1,1,1
84,114687480,114929284,1,1,1
85,116077708,116302572,1,1,1
86,116908016,117203168,1,1,1
87,118604636,118931716,2,2,1
88,120248232,120503700,2,2,1
89,121006120,121250988,2,2,1
90,122598432,122920356,1,1,1
91,124312772,124527304,1,1,1
92,125947752,126207128,2,2,1
93,127357600,127672072,2,2,1
94,128782504,129202452,2,2,1
95,130393924,130579568,2,2,1
96,131589032,131873172,1,1,1
97,132465612,132722344,1,1,1
98,133494792,133714940,2,2,1
99,134498392,134745776,2,2,1
100,135819220,136008448,2,2,1
101,137272004,137549064,1,1,1
102,138921588,139217340,2,2,1
103,140606804,140807056,1,1,1
104,142046548,142328624,2,2,1
105,143797140,144112832,2,2,1
106,144747348,145146700,1,1,1
107,145718220,146082472,2,1,0
108,147404936,147648404,2,2,1
