trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1724956898510.9,1724956898878.5600,3,3,1
2,1724956900283.740,1724956900936.300,2,2,1
3,1724956902302.540,1724956902603.920,2,2,1
4,1724956903816.220,1724956904056.240,2,2,1
5,1724956904740.570,1724956905090.510,1,1,1
6,1724956905644.850,1724956905922.790,1,1,1
8,1724956908232.3700,1724956908779.12,1,1,1
9,1724956909604.4200,1724956909958.850,1,1,1
10,1724956910863.2300,1724956911284.980,3,3,1
11,1724956912266.34,1724956912709.440,3,3,1
12,1724956913255.7600,1724956913903.700,1,1,1
13,1724956915006.0200,1724956915354.300,2,2,1
14,1724956916786.660,1724956917260.48,3,3,1
15,1724956917802.880,1724956918236.550,2,2,1
16,1724956918913.920,1724956919248.2800,2,2,1
17,1724956919778.630,1724956920079.310,2,2,1
18,1724956920836.640,1724956921205.4,1,1,1
20,1724956923426.640,1724956923754.4200,2,2,1
22,1724956925941.090,1724956926399.180,1,1,1
23,1724956927885.6100,1724956928318.3,2,2,1
24,1724956929434.660,1724956929886.540,1,1,1
25,1724956931060.920,1724956931372.620,2,2,1
26,1724956931978.010,1724956932299.04,2,2,1
27,1724956933688.420,1724956933995.290,2,2,1
28,1724956934887.64,1724956935200.700,2,2,1
29,1724956936518.040,1724956936820.270,2,2,1
30,1724956937524.620,1724956938017.160,3,3,1
31,1724956939039.5400,1724956939380.530,2,2,1
32,1724956940499.880,1724956940823.2,3,3,1
33,1724956942300.560,1724956942614.86,2,2,1
34,1724956943581.24,1724956944051.180,2,2,1
35,1724956944932.520,1724956945183.72,2,2,1
36,1724956946189.12,1724956946460.800,2,2,1
37,1724956947403.170,1724956947759.920,1,1,1
38,1724956948965.28,1724956949371.380,1,1,1
39,1724956950027.74,1724956950302.960,1,1,1
41,1724956953168.770,1724956953463.110,2,2,1
42,1724956954797.470,1724956955256.6000,1,1,1
45,1724956958597.880,1724956959153.070,3,3,1
46,1724956960436.420,1724956960715.2,3,3,1
47,1724956961350.5800,1724956961646.76,3,3,1
48,1724956963084.150,1724956963408.910,2,2,1
49,1724956964163.3200,1724956964466.510,2,2,1
50,1724956965525.840,1724956965942.700,1,1,1
51,1724956966475.050,1724956966907.78,3,3,1
52,1724956967745.110,1724956968013.680,3,3,1
53,1724956969139.04,1724956969547.8,2,2,1
54,1724956970904.1300,1724956971269.38,1,1,1
55,1724956972210.74,1724956972684.000,2,2,1
56,1724956973880.350,1724956974216.810,2,2,1
58,1724956976509.32,1724956977146.8,1,1,1
60,1724956979781.090,1724956980052.610,2,2,1
61,1724956981343.0000,1724956982081.190,3,3,1
62,1724956982609.590,1724956983076.870,3,3,1
63,1724956984464.2300,1724956984718.170,3,3,1
64,1724956985235.52,1724956985532.910,3,3,1
65,1724956986558.300,1724956986996.010,2,2,1
66,1724956987657.400,1724956988135.510,3,3,1
67,1724956988733.8400,1724956989062.390,2,2,1
68,1724956990226.750,1724956990553.950,2,2,1
69,1724956991682.310,1724956992066.240,1,1,1
70,1724956993485.690,1724956993963.560,2,2,1
71,1724956995339.04,1724956995869.160,1,1,1
72,1724956996442.6,1724956996842.200,2,2,1
73,1724956997600.610,1724956997889.570,2,2,1
74,1724956998523.0400,1724956998818.920,2,2,1
75,1724956999730.440,1724956999969.840,2,2,1
76,1724957001393.310,1724957001860.5200,1,1,1
78,1724957004724.9,1724957004998.5200,2,2,1
79,1724957005784.970,1724957006210.9,3,3,1
80,1724957006749.320,1724957007111.660,2,2,1
81,1724957007715.1300,1724957008178.420,1,1,1
82,1724957009129.8700,1724957009590.960,2,2,1
83,1724957010482.4,1724957010867.6800,3,3,1
84,1724957011935.140,1724957012277.220,1,1,1
85,1724957013141.670,1724957013525.550,2,2,1
86,1724957014079.000,1724957014423.290,2,2,1
87,1724957015911.7100,1724957016219.430,2,2,1
88,1724957017334.920,1724957017650.86,2,2,1
89,1724957019058.310,1724957019357.1600,2,2,1
90,1724957019988.58,1724957020630.1800,3,3,1
91,1724957021598.650,1724957022017.010,2,2,1
92,1724957022718.460,1724957023029.1300,2,2,1
93,1724957023636.570,1724957023920.6800,2,2,1
94,1724957025064.150,1724957025464.120,2,2,1
95,1724957026393.530,1724957026800.120,1,1,1
97,1724957029675.560,1724957030062.400,2,2,1
98,1724957030796.84,1724957031214.510,1,1,1
100,1724957033870.680,1724957034139.000,2,2,1
101,1724957034850.550,1724957035297.2600,3,3,1
