trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1726177049510.924,1726177049875.732,3,3,1
2,1726177051181.944,1726177051455.256,2,2,1
3,1726177052139.452,1726177052695.292,3,3,1
4,1726177053739.632,1726177054162.992,2,2,1
5,1726177055506.3,1726177055878.028,3,3,1
6,1726177057245.336,1726177057675.588,2,2,1
7,1726177058199.932,1726177058789.804,3,3,1
8,1726177059898.112,1726177060145.112,1,1,1
9,1726177061109.444,1726177061626.812,3,3,1
10,1726177062344.188,1726177062716.888,1,2,0
11,1726177063861.212,1726177064241.028,1,1,1
12,1726177065575.38,1726177066215.06,2,2,1
13,1726177066788.416,1726177067149.264,2,2,1
14,1726177068077.644,1726177068594.596,3,3,1
15,1726177069595.956,1726177069939.28,3,3,1
16,1726177070551.632,1726177071012.38,2,2,1
17,1726177072358.74,1726177072736.184,3,3,1
18,1726177073694.568,1726177074059.976,1,1,1
19,1726177075398.32,1726177075829.208,1,1,1
20,1726177076903.564,1726177077177.556,2,2,1
21,1726177077901.94,1726177078330.66,1,1,1
22,1726177079530.044,1726177080346.644,3,3,1
23,1726177081119.072,1726177081634.5,1,1,1
24,1726177082515.86,1726177083041.696,3,3,1
25,1726177083884.076,1726177084399.852,2,2,1
26,1726177085580.208,1726177086003.26,1,1,1
27,1726177087227.64,1726177087686.064,3,3,1
28,1726177088392.396,1726177088752.64,3,3,1
29,1726177090249.024,1726177090587.868,1,1,1
30,1726177091646.252,1726177091961.1,3,1,0
31,1726177093273.46,1726177093635.664,2,2,1
32,1726177094402.992,1726177094923.868,2,2,1
33,1726177095976.228,1726177096342.404,2,2,1
34,1726177097396.78,1726177097753.236,3,3,1
35,1726177098411.592,1726177099101.812,2,2,1
36,1726177099954.18,1726177100227.248,1,1,1
37,1726177100872.58,1726177101627.132,2,2,1
38,1726177102734.492,1726177103300.944,3,3,1
39,1726177104162.3,1726177104706.06,1,1,1
40,1726177106077.42,1726177106490.516,1,1,1
41,1726177107268.864,1726177107700.956,1,1,1
42,1726177108753.316,1726177109132.968,1,1,1
43,1726177109727.296,1726177110152.94,3,3,1
44,1726177110986.324,1726177111496.908,3,3,1
45,1726177112313.296,1726177112780.112,3,3,1
46,1726177114110.464,1726177114455.464,1,1,1
47,1726177115367.82,1726177115761.076,1,1,1
48,1726177117197.404,1726177117545.564,1,1,1
49,1726177118896.992,1726177119316.792,3,3,1
50,1726177120307.156,1726177120593.504,2,2,1
51,1726177121340.864,1726177121618.652,2,2,1
52,1726177122414.036,1726177122762.352,1,1,1
53,1726177124050.708,1726177124316.208,2,1,0
54,1726177125247.584,1726177125947.648,3,3,1
55,1726177126698.008,1726177127190.676,3,3,1
56,1726177127969.028,1726177128475.696,2,2,1
57,1726177129444.076,1726177129837.228,2,2,1
58,1726177130533.584,1726177130897.144,3,3,1
59,1726177132049.504,1726177132862.412,3,3,1
60,1726177134109.768,1726177134465.788,1,1,1
61,1726177135520.184,1726177135875.056,1,1,1
62,1726177136380.476,1726177137168.468,3,3,1
63,1726177138179.848,1726177138524.004,3,3,1
64,1726177139078.36,1726177139464.756,3,3,1
65,1726177140546.112,1726177140901.076,3,3,1
66,1726177142322.432,1726177142756.156,3,3,1
67,1726177143908.64,1726177144266.46,2,2,1
68,1726177145168.912,1726177145763.112,3,3,1
69,1726177147074.528,1726177147624.016,2,2,1
70,1726177148553.432,1726177148921.56,3,3,1
71,1726177149888.032,1726177150236.924,3,3,1
72,1726177151258.36,1726177151719.012,1,1,1
73,1726177152306.432,1726177152803.464,2,2,1
74,1726177153713.936,1726177154106.088,3,3,1
75,1726177155274.604,1726177155762.904,3,3,1
76,1726177156462.384,1726177156910.688,2,2,1
77,1726177157914.132,1726177158326.516,2,2,1
78,1726177159229.96,1726177159841.228,3,3,1
79,1726177160604.652,1726177161032.588,3,3,1
80,1726177161587.064,1726177162117.388,1,1,1
81,1726177163282.84,1726177163542.404,1,1,1
82,1726177164622.848,1726177164999.2,3,3,1
83,1726177166226.62,1726177166723.184,3,3,1
84,1726177167802.668,1726177168083.972,2,2,1
85,1726177169064.44,1726177169369.516,1,1,1
86,1726177169967.964,1726177170393.352,3,3,1
87,1726177171641.8,1726177171995.752,2,3,0
88,1726177172898.272,1726177173229.044,2,2,1
89,1726177174513.484,1726177175304.588,3,3,1
90,1726177176106.008,1726177176455.768,2,2,1
91,1726177177228.18,1726177177607.14,3,3,1
92,1726177178304.584,1726177178683.404,1,1,1
93,1726177179968.872,1726177180246.66,1,1,1
94,1726177180881.112,1726177181167.732,1,1,1
95,1726177181737.18,1726177182121.6,2,2,1
96,1726177183223.08,1726177183644.948,1,1,1
97,1726177184251.392,1726177184545.652,1,1,1
98,1726177185829.1,1726177186290.308,3,2,0
99,1726177187478.752,1726177187810.808,2,2,1
100,1726177188652.224,1726177189044.64,1,1,1
101,1726177189592.14,1726177189907.72,2,2,1
102,1726177191113.204,1726177191436.284,2,2,1
103,1726177191943.796,1726177192293.904,3,3,1
104,1726177193424.392,1726177193945.452,1,1,1
105,1726177195300.92,1726177195528.044,1,1,1
