1726151846.000,3948072
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,7458996,7823804,3,3,1
2,9130016,9403328,2,2,1
3,10087524,10643364,3,3,1
4,11687704,12111064,2,2,1
5,13454372,13826100,3,3,1
6,15193408,15623660,2,2,1
7,16148004,16737876,3,3,1
8,17846184,18093184,1,1,1
9,19057516,19574884,3,3,1
10,20292260,20664960,1,2,0
11,21809284,22189100,1,1,1
12,23523452,24163132,2,2,1
13,24736488,25097336,2,2,1
14,26025716,26542668,3,3,1
15,27544028,27887352,3,3,1
16,28499704,28960452,2,2,1
17,30306812,30684256,3,3,1
18,31642640,32008048,1,1,1
19,33346392,33777280,1,1,1
20,34851636,35125628,2,2,1
21,35850012,36278732,1,1,1
22,37478116,38294716,3,3,1
23,39067144,39582572,1,1,1
24,40463932,40989768,3,3,1
25,41832148,42347924,2,2,1
26,43528280,43951332,1,1,1
27,45175712,45634136,3,3,1
28,46340468,46700712,3,3,1
29,48197096,48535940,1,1,1
30,49594324,49909172,3,1,0
31,51221532,51583736,2,2,1
32,52351064,52871940,2,2,1
33,53924300,54290476,2,2,1
34,55344852,55701308,3,3,1
35,56359664,57049884,2,2,1
36,57902252,58175320,1,1,1
37,58820652,59575204,2,2,1
38,60682564,61249016,3,3,1
39,62110372,62654132,1,1,1
40,64025492,64438588,1,1,1
41,65216936,65649028,1,1,1
42,66701388,67081040,1,1,1
43,67675368,68101012,3,3,1
44,68934396,69444980,3,3,1
45,70261368,70728184,3,3,1
46,72058536,72403536,1,1,1
47,73315892,73709148,1,1,1
48,75145476,75493636,1,1,1
49,76845064,77264864,3,3,1
50,78255228,78541576,2,2,1
51,79288936,79566724,2,2,1
52,80362108,80710424,1,1,1
53,81998780,82264280,2,1,0
54,83195656,83895720,3,3,1
55,84646080,85138748,3,3,1
56,85917100,86423768,2,2,1
57,87392148,87785300,2,2,1
58,88481656,88845216,3,3,1
59,89997576,90810484,3,3,1
60,92057840,92413860,1,1,1
61,93468256,93823128,1,1,1
62,94328548,95116540,3,3,1
63,96127920,96472076,3,3,1
64,97026432,97412828,3,3,1
65,98494184,98849148,3,3,1
66,100270504,100704228,3,3,1
67,101856712,102214532,2,2,1
68,103116984,103711184,3,3,1
69,105022600,105572088,2,2,1
70,106501504,106869632,3,3,1
71,107836104,108184996,3,3,1
72,109206432,109667084,1,1,1
73,110254504,110751536,2,2,1
74,111662008,112054160,3,3,1
75,113222676,113710976,3,3,1
76,114410456,114858760,2,2,1
77,115862204,116274588,2,2,1
78,117178032,117789300,3,3,1
79,118552724,118980660,3,3,1
80,119535136,120065460,1,1,1
81,121230912,121490476,1,1,1
82,122570920,122947272,3,3,1
83,124174692,124671256,3,3,1
84,125750740,126032044,2,2,1
85,127012512,127317588,1,1,1
86,127916036,128341424,3,3,1
87,129589872,129943824,2,3,0
88,130846344,131177116,2,2,1
89,132461556,133252660,3,3,1
90,134054080,134403840,2,2,1
91,135176252,135555212,3,3,1
92,136252656,136631476,1,1,1
93,137916944,138194732,1,1,1
94,138829184,139115804,1,1,1
95,139685252,140069672,2,2,1
96,141171152,141593020,1,1,1
97,142199464,142493724,1,1,1
98,143777172,144238380,3,2,0
99,145426824,145758880,2,2,1
100,146600296,146992712,1,1,1
101,147540212,147855792,2,2,1
102,149061276,149384356,2,2,1
103,149891868,150241976,3,3,1
104,151372464,151893524,1,1,1
105,153248992,153476116,1,1,1
