1729697862.000,3738248
ObjShowTime,ReactionTime,StimType,Guess,Correct
55200320,55788248,1,1,1
57199476,57534796,1,1,1
58057032,58392968,1,1,1
59419236,59813972,2,2,1
60577208,60970724,3,3,1
61573960,62113296,1,1,1
63178556,63580368,3,3,1
64208636,64739724,2,2,1
65527960,65870460,1,1,1
67303712,67586168,2,2,1
68641424,68936612,2,2,1
70286856,70582192,3,3,1
71943408,72306312,2,2,1
73018524,73415220,1,1,1
74179488,74547996,3,3,1
75259208,75720324,1,1,1
77137564,77444132,2,2,1
78831392,79278704,3,3,1
79818924,80388464,2,2,1
81286732,81775472,3,3,1
83152716,83590320,2,2,1
84781584,85106888,2,2,1
86192164,86553004,3,3,1
87147264,87592336,1,1,1
88866600,89262504,3,3,1
90224744,90585216,3,3,1
91983476,92271344,2,2,1
93722580,94019616,2,2,1
95169852,95467976,2,2,1
96028248,96317176,2,2,1
97029388,97294808,2,2,1
97863048,98256432,1,1,1
99722704,100062860,2,2,1
101262144,101772904,3,3,1
102470236,102818844,3,3,1
104283208,104640716,1,1,1
106122064,106471080,3,3,1
107103380,107446132,3,3,1
108389436,108717544,3,3,1
109855880,110133312,3,3,1
111316660,111639936,2,2,1
112990264,113279944,2,2,1
113920276,114422064,1,1,1
115919424,116176284,1,1,1
116970612,117312548,2,2,1
118515872,118881132,1,2,0
120350456,120847412,3,3,1
121912772,122303552,2,2,1
123490948,124020088,3,3,1
125444420,125841484,1,1,1
127168808,127565948,1,1,1
128216272,128606296,2,2,1
129552620,129972516,1,1,1
131361844,131873016,1,1,1
132440340,133059092,3,3,1
134140424,134564640,2,2,1
135419940,136077916,1,1,1
136995216,137388632,3,3,1
138125960,138481524,3,3,1
139927824,140435472,1,1,1
141078796,141527240,3,3,1
142888632,143215752,2,2,1
144550080,144821236,2,2,1
145982568,146348568,3,3,1
147673896,148030620,1,1,1
149257968,149580436,1,1,1
150273764,150596748,1,1,1
151205076,151699036,3,3,1
152825376,153199164,3,3,1
154054492,154371500,3,3,1
155505832,155850676,3,3,1
157201036,157595608,3,3,1
159075968,159465064,3,3,1
160344368,160826464,2,2,1
161930856,162225916,2,2,1
163259244,163542836,2,2,1
164157164,164433620,2,2,1
165692952,166168008,3,3,1
167501372,167783392,2,2,1
168687720,169111952,1,1,1
169920304,170253120,2,2,1
171445416,171709968,2,2,1
172862288,173145748,2,2,1
174040076,174529552,1,1,1
175261880,175635264,1,1,1
176418592,176878456,3,3,1
177509756,178113712,1,1,1
179541080,179949752,3,3,1
181356112,181720020,1,1,1
182827352,183122280,3,3,1
183846632,184202992,2,2,1
185224292,185652636,1,1,1
186634992,187053208,3,3,1
188458564,188745428,2,2,1
189694756,189974736,2,2,1
191456092,191713224,2,2,1
192291584,192733784,1,1,1
193601120,194039492,2,2,1
194681820,194990696,1,1,1
195980024,196239976,2,2,1
196933344,197283096,1,1,1
