trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,1727120093512.952,1727120093812.472,3,3,1
2,1727120095119.704,1727120095457.212,2,1,0
3,1727120096143.452,1727120096651.692,3,3,1
4,1727120097694.956,1727120097954.62,2,2,1
5,1727120099298.964,1727120099710.972,3,3,1
6,1727120101079.304,1727120101338.824,2,2,1
7,1727120101862.132,1727120102246.748,3,1,0
8,1727120103354.032,1727120103796.344,1,1,1
9,1727120104760.672,1727120105111.812,3,3,1
10,1727120105827.136,1727120106327.356,1,1,1
11,1727120107471.68,1727120108092.82,1,1,1
12,1727120109427.172,1727120109802.4,2,2,1
13,1727120110375.752,1727120110766.768,2,2,1
14,1727120111695.148,1727120111977.28,3,3,1
15,1727120112978.636,1727120113230.604,3,3,1
16,1727120113842.956,1727120114185.46,2,2,1
17,1727120115530.788,1727120115816.868,3,2,0
18,1727120116774.224,1727120117206.928,1,1,1
19,1727120118545.284,1727120118819.98,1,3,0
20,1727120119894.332,1727120120358.88,2,2,1
21,1727120121083.264,1727120121493.232,1,1,1
22,1727120122691.584,1727120123034.664,3,3,1
23,1727120123807.088,1727120124147.472,1,1,1
24,1727120125029.852,1727120125438.06,3,3,1
25,1727120126278.388,1727120126602.044,2,2,1
26,1727120127783.42,1727120128069.604,1,1,1
27,1727120129292.964,1727120129755.78,3,3,1
28,1727120130464.168,1727120130813.04,3,3,1
29,1727120132308.392,1727120132846.16,1,1,1
30,1727120133904.548,1727120134348.844,3,3,1
31,1727120135662.232,1727120135908.208,2,2,1
32,1727120136677.592,1727120136990.584,2,2,1
33,1727120138043.96,1727120138298.628,2,2,1
34,1727120139350.956,1727120139712.936,3,3,1
35,1727120140371.292,1727120140805.224,2,2,1
36,1727120141658.616,1727120141944.872,1,1,1
37,1727120142592.26,1727120142955.48,2,2,1
38,1727120144063.86,1727120144479.924,3,3,1
39,1727120145341.28,1727120145643.348,1,2,0
40,1727120147014.7,1727120147279.908,1,1,1
41,1727120148059.3,1727120148334.488,1,1,1
42,1727120149387.868,1727120149695.136,1,1,1
43,1727120150290.492,1727120150687.76,3,3,1
44,1727120151520.12,1727120151852.256,3,3,1
45,1727120152667.612,1727120153071.904,3,3,1
46,1727120154402.26,1727120154706.66,1,1,1
47,1727120155619.008,1727120155918.056,1,1,1
48,1727120157356.436,1727120157630.084,1,1,1
49,1727120158981.508,1727120159462.396,3,3,1
50,1727120160453.792,1727120160658.232,2,2,1
51,1727120161406.616,1727120161665.932,2,2,1
52,1727120162461.308,1727120162771.704,1,1,1
53,1727120164060.06,1727120164267.14,2,2,1
54,1727120165196.472,1727120165547.72,3,3,1
55,1727120166299.104,1727120166648.504,3,3,1
56,1727120167426.864,1727120167757.776,2,2,1
57,1727120168726.168,1727120169030.952,2,2,1
58,1727120169727.304,1727120170038.032,3,3,1
59,1727120171191.412,1727120171533.612,3,3,1
60,1727120172780.964,1727120173175.356,1,2,0
61,1727120174229.748,1727120174522.5,1,1,1
62,1727120175025.872,1727120175412.136,3,3,1
63,1727120176423.516,1727120176929.44,3,3,1
64,1727120177483.796,1727120177757.664,3,3,1
65,1727120178839.02,1727120179097.828,3,3,1
66,1727120180519.176,1727120180780.308,3,3,1
67,1727120181931.668,1727120182323.496,2,2,1
68,1727120183225.852,1727120183575.96,3,3,1
69,1727120184887.292,1727120185192.872,2,3,0
70,1727120186122.2,1727120186627.856,3,3,1
71,1727120187594.284,1727120187981.752,3,3,1
72,1727120189004.228,1727120189401.124,1,1,1
73,1727120189988.54,1727120190326.84,2,2,1
74,1727120191236.288,1727120191640.184,3,3,1
75,1727120192807.672,1727120193289.656,3,3,1
76,1727120193989.132,1727120194294.136,2,2,1
77,1727120195297.58,1727120195607.204,2,2,1
78,1727120196510.652,1727120196878.24,3,3,1
79,1727120197643.716,1727120198057.004,3,2,0
80,1727120198610.448,1727120198979.48,1,1,1
81,1727120200144.928,1727120200449.128,1,1,1
82,1727120201529.576,1727120201823.736,3,3,1
83,1727120203053.216,1727120203321.392,3,3,1
84,1727120204399.844,1727120204719.64,2,2,1
85,1727120205699.092,1727120206134.052,1,1,1
86,1727120206733.532,1727120207113.28,3,3,1
87,1727120208361.724,1727120208682.532,2,2,1
88,1727120209584.024,1727120209859.404,2,2,1
89,1727120211144.88,1727120211542.856,3,3,1
90,1727120212346.328,1727120212913.672,2,2,1
91,1727120213687.12,1727120214059.464,3,3,1
92,1727120214757.94,1727120215129.14,1,1,1
93,1727120216413.576,1727120216776.876,1,1,1
94,1727120217410.296,1727120217756.932,1,1,1
95,1727120218326.376,1727120218648.532,2,2,1
96,1727120219750.004,1727120220236.636,1,1,1
97,1727120220844.108,1727120221169.304,1,1,1
98,1727120222452.748,1727120222826.76,3,3,1
99,1727120224014.184,1727120224413.544,2,2,1
100,1727120225257.008,1727120225781.144,1,1,1
101,1727120226329.676,1727120227066.796,2,2,1
102,1727120228273.316,1727120228685.332,2,2,1
103,1727120229192.856,1727120229525.352,3,3,1
104,1727120230655.852,1727120231094.324,1,1,1
105,1727120232449.788,1727120232834.724,1,1,1
106,1727120234187.236,1727120234636.948,3,3,1
107,1727120235178.46,1727120235643.52,1,2,0
108,1727120237133.044,1727120237489.824,3,3,1
109,1727120238724.348,1727120239043.928,2,2,1
