ObjShowTime,ReactionTime,StimType,Guess,Correct
1728945444503.6602,1728945444875.0762,1,1,1
1728945446227.372,1728945446620.084,1,1,1
1728945447350.32,1728945447695.032,2,2,1
1728945448519.3,1728945448871.688,2,2,1
1728945449773.928,1728945450086.6602,2,2,1
1728945451317.924,1728945451701.396,1,1,1
1728945453161.672,1728945453518.52,3,3,1
1728945454322.7642,1728945454857.228,1,1,1
1728945456096.5,1728945456493.124,3,3,1
1728945457796.372,1728945458192.236,3,3,1
1728945458997.5042,1728945459393.344,1,1,1
1728945459981.612,1728945460498.9402,3,3,1
1728945461703.1802,1728945462049.396,3,3,1
1728945463018.64,1728945463456.4082,1,1,1
1728945464469.692,1728945464940.192,1,1,1
1728945466000.404,1728945466496.228,1,1,1
1728945467500.4722,1728945467855.86,3,3,1
1728945468740.12,1728945469003.9,2,2,1
1728945470361.1602,1728945470611.656,2,2,1
1728945471399.896,1728945471975.084,1,1,1
1728945472485.296,1728945472824.74,1,1,1
1728945473601.976,1728945473889.448,1,1,1
1728945475207.716,1728945475617.436,2,2,1
1728945476851.652,1728945477082.612,2,2,1
1728945477691.848,1728945478509.684,1,1,1
1728945479647.956,1728945479948.34,1,1,1
1728945481434.5962,1728945481967.688,3,3,1
1728945483228.968,1728945483555.2322,2,2,1
1728945484673.5122,1728945484998.6082,2,2,1
1728945485862.932,1728945486129.528,2,2,1
1728945486834.8562,1728945487107.852,2,2,1
1728945488102.176,1728945488429.228,3,3,1
1728945488955.588,1728945489248.952,3,3,1
1728945490448.2842,1728945490752.792,3,2,0
1728945491870.1162,1728945492175.464,3,3,1
1728945493303.82,1728945493699.4722,3,3,1
1728945494313.8,1728945494848.448,1,1,1
1728945495748.8042,1728945496209.952,3,3,1
1728945497609.256,1728945497895.704,1,3,0
1728945499323.0562,1728945499720.508,1,1,1
1728945500664.8762,1728945501053.952,2,2,1
1728945501610.3042,1728945502060.936,3,3,1
1728945503196.236,1728945503502.496,2,2,1
1728945504627.828,1728945504923.2002,1,1,1
1728945506205.5042,1728945506637.86,2,2,1
1728945507346.184,1728945507888.2642,2,2,1
1728945509188.5962,1728945509672.696,2,2,1
1728945510467.0442,1728945510981.3682,3,3,1
1728945511691.7202,1728945512051.792,1,1,1
1728945513222.124,1728945513527.484,1,1,1
1728945514688.82,1728945515108.464,3,3,1
1728945515633.792,1728945515986.496,3,3,1
1728945516671.8,1728945517020.088,3,3,1
1728945517842.452,1728945518146.4082,1,1,1
1728945519347.728,1728945519701.352,3,3,1
1728945521108.6802,1728945521437.14,2,2,1
1728945522832.444,1728945523067.5642,2,2,1
1728945523575.896,1728945523901.2202,2,2,1
1728945524631.5442,1728945524982.276,2,2,1
1728945525663.5762,1728945525965.332,2,2,1
1728945526848.6602,1728945527149.2722,1,1,1
1728945528258.5962,1728945528708.82,3,3,1
1728945529870.144,1728945530239.6482,1,1,1
1728945531299.0122,1728945531566.916,2,2,1
1728945532850.244,1728945533114.164,3,2,0
1728945534411.488,1728945534981.848,3,3,1
1728945535626.2122,1728945535919.028,1,1,1
1728945537304.3562,1728945537638.268,2,1,0
1728945539112.62,1728945539788.216,3,2,0
1728945540326.548,1728945540922.584,2,2,1
1728945542019.8882,1728945542340.188,2,2,1
1728945543308.552,1728945543829.3682,1,1,1
1728945545055.7202,1728945545501.436,1,1,1
1728945546889.788,1728945547315.58,2,2,1
1728945547962.9082,1728945548581.1162,1,1,1
1728945549307.4402,1728945549717.716,3,3,1
1728945550331.052,1728945550599.872,3,3,1
1728945551393.228,1728945551755.8882,3,3,1
1728945552696.216,1728945553183.968,1,1,1
1728945554344.3362,1728945554646.28,1,1,1
1728945555557.6162,1728945555977.78,3,3,1
1728945556573.084,1728945556829.352,3,3,1
1728945558238.7122,1728945558693.7202,1,1,1
1728945559550.048,1728945560007.936,3,3,1
1728945560772.26,1728945561179.3562,2,2,1
1728945562300.692,1728945563195.696,1,1,1
1728945564400.02,1728945564810.0962,1,1,1
1728945565419.4202,1728945565686.5442,1,1,1
1728945566573.9,1728945566851.528,2,2,1
1728945567393.828,1728945567658.6802,2,2,1
1728945568341.008,1728945568694.208,3,3,1
1728945570191.568,1728945570598.204,2,2,1
1728945571411.572,1728945571967.052,3,3,1
1728945573051.3882,1728945573344.808,3,3,1
1728945574236.12,1728945574663.496,2,2,1
1728945575529.828,1728945575904.604,1,1,1
1728945576570.9082,1728945576853.796,2,2,1
1728945577643.1,1728945578645.08,1,1,1
1728945579998.412,1728945580421.328,1,1,1
1728945581753.656,1728945582141.936,1,1,1
1728945583539.236,1728945583809.3362,2,2,1
1728945584661.688,1728945585133.184,3,3,1
1728945586127.5442,1728945586417.8,3,3,1
1728945587575.1602,1728945587884.58,2,2,1
1728945589124.884,1728945589479.6282,2,2,1
