1728920187.000,3663348
ObjShowTime,ReactionTime,StimType,Guess,Correct
61167008,61538424,1,1,1
62890720,63283432,1,1,1
64013668,64358380,2,2,1
65182648,65535036,2,2,1
66437276,66750008,2,2,1
67981272,68364744,1,1,1
69825020,70181868,3,3,1
70986112,71520576,1,1,1
72759848,73156472,3,3,1
74459720,74855584,3,3,1
75660852,76056692,1,1,1
76644960,77162288,3,3,1
78366528,78712744,3,3,1
79681988,80119756,1,1,1
81133040,81603540,1,1,1
82663752,83159576,1,1,1
84163820,84519208,3,3,1
85403468,85667248,2,2,1
87024508,87275004,2,2,1
88063244,88638432,1,1,1
89148644,89488088,1,1,1
90265324,90552796,1,1,1
91871064,92280784,2,2,1
93515000,93745960,2,2,1
94355196,95173032,1,1,1
96311304,96611688,1,1,1
98097944,98631036,3,3,1
99892316,100218580,2,2,1
101336860,101661956,2,2,1
102526280,102792876,2,2,1
103498204,103771200,2,2,1
104765524,105092576,3,3,1
105618936,105912300,3,3,1
107111632,107416140,3,2,0
108533464,108838812,3,3,1
109967168,110362820,3,3,1
110977148,111511796,1,1,1
112412152,112873300,3,3,1
114272604,114559052,1,3,0
115986404,116383856,1,1,1
117328224,117717300,2,2,1
118273652,118724284,3,3,1
119859584,120165844,2,2,1
121291176,121586548,1,1,1
122868852,123301208,2,2,1
124009532,124551612,2,2,1
125851944,126336044,2,2,1
127130392,127644716,3,3,1
128355068,128715140,1,1,1
129885472,130190832,1,1,1
131352168,131771812,3,3,1
132297140,132649844,3,3,1
133335148,133683436,3,3,1
134505800,134809756,1,1,1
136011076,136364700,3,3,1
137772028,138100488,2,2,1
139495792,139730912,2,2,1
140239244,140564568,2,2,1
141294892,141645624,2,2,1
142326924,142628680,2,2,1
143512008,143812620,1,1,1
144921944,145372168,3,3,1
146533492,146902996,1,1,1
147962360,148230264,2,2,1
149513592,149777512,3,2,0
151074836,151645196,3,3,1
152289560,152582376,1,1,1
153967704,154301616,2,1,0
155775968,156451564,3,2,0
156989896,157585932,2,2,1
158683236,159003536,2,2,1
159971900,160492716,1,1,1
161719068,162164784,1,1,1
163553136,163978928,2,2,1
164626256,165244464,1,1,1
165970788,166381064,3,3,1
166994400,167263220,3,3,1
168056576,168419236,3,3,1
169359564,169847316,1,1,1
171007684,171309628,1,1,1
172220964,172641128,3,3,1
173236432,173492700,3,3,1
174902060,175357068,1,1,1
176213396,176671284,3,3,1
177435608,177842704,2,2,1
178964040,179859044,1,1,1
181063368,181473444,1,1,1
182082768,182349892,1,1,1
183237248,183514876,2,2,1
184057176,184322028,2,2,1
185004356,185357556,3,3,1
186854916,187261552,2,2,1
188074920,188630400,3,3,1
189714736,190008156,3,3,1
190899468,191326844,2,2,1
192193176,192567952,1,1,1
193234256,193517144,2,2,1
194306448,195308428,1,1,1
196661760,197084676,1,1,1
198417004,198805284,1,1,1
200202584,200472684,2,2,1
201325036,201796532,3,3,1
202790892,203081148,3,3,1
204238508,204547928,2,2,1
205788232,206142976,2,2,1
