ObjShowTime,ReactionTime,StimType,Guess,Correct
1739995116695.572,1739995117290.812,1,1,1
1739995118602.028,1739995119260.628,3,3,1
1739995120624.896,1739995121289.188,1,1,1
1739995122344.428,1739995122839.296,2,2,1
1739995123623.532,1739995124095.12,3,3,1
1739995124717.336,1739995125241.06,2,2,1
1739995126124.268,1739995126658.2878,2,2,1
1739995127586.5,1739995128099.48,2,2,1
1739995129236.74,1739995129765.54,1,1,1
1739995130586.816,1739995131080.628,1,1,1
1739995132474.868,1739995132885.28,1,1,1
1739995133533.516,1739995133904.016,1,1,1
1739995134534.224,1739995134891.3398,1,1,1
1739995135842.576,1739995136185.1,2,2,1
1739995136874.364,1739995137262.348,3,3,1
1739995138332.62,1739995138990.48,2,2,1
1739995139671.692,1739995140146.688,2,2,1
1739995141063.948,1739995141590.192,3,3,1
1739995142855.4,1739995143573.792,1,1,1
1739995144373.008,1739995144905.364,2,2,1
1739995146298.624,1739995146734.984,3,3,1
1739995148036.22,1739995148422.344,2,2,1
1739995149878.624,1739995150465.292,3,3,1
1739995151771.624,1739995152597.176,1,1,1
1739995153406.472,1739995153977.564,2,2,1
1739995155403.888,1739995156026.648,3,3,1
1739995157012.952,1739995157606.112,2,2,1
1739995158160.46,1739995158692.932,1,1,1
1739995159498.232,1739995160050.928,3,3,1
1739995160672.26,1739995161309.688,2,2,1
1739995162515.012,1739995163148.804,3,3,1
1739995163956.164,1739995164563.428,1,1,1
1739995165577.732,1739995166317.42,1,1,1
1739995167237.752,1739995167608.3398,1,1,1
1739995168725.668,1739995169161.456,3,3,1
1739995170082.828,1739995170498.5,3,3,1
1739995171491.832,1739995171853.224,3,3,1
1739995172919.552,1739995173420.204,3,3,1
1739995174388.508,1739995174698.768,3,3,1
1739995175568.096,1739995175990.348,2,2,1
1739995176946.676,1739995177379.644,2,2,1
1739995178229.9958,1739995178685.676,3,3,1
1739995179198.976,1739995179873.452,3,3,1
1739995180626.748,1739995181022.316,2,2,1
1739995182119.616,1739995182506.004,2,2,1
1739995183662.328,1739995184299.048,1,1,1
1739995185522.352,1739995186121.376,3,3,1
1739995187170.724,1739995187632.464,1,1,1
1739995188460.86,1739995188964.06,1,1,1
1739995190422.416,1739995190990.468,2,2,1
1739995192450.792,1739995192927.964,2,2,1
1739995194382.324,1739995194940.972,3,3,1
1739995195788.324,1739995196240.336,1,1,1
1739995197433.66,1739995197994.964,3,3,1
1739995199293.268,1739995199783.208,2,2,1
1739995202950.68,1739995203486.752,1,1,1
1739995206202.368,1739995206655.228,3,3,1
1739995208013.532,1739995208658.084,1,1,1
1739995209278.42,1739995209956.804,1,1,1
1739995210603.172,1739995211188.784,2,2,1
1739995214216.972,1739995214836.24,1,1,1
1739995215433.564,1739995215866.852,1,1,1
1739995217236.176,1739995217613.544,3,3,1
1739995218977.896,1739995219532.024,3,3,1
1739995220599.324,1739995220996.936,2,2,1
1739995222328.3,1739995222916.3918,3,3,1
1739995226332.464,1739995227009.124,1,1,1
1739995228266.452,1739995228739.88,1,1,1
1739995231771.1,1739995232316.928,2,2,1
1739995233096.296,1739995233576.0,2,2,1
1739995234859.328,1739995235375.296,1,1,1
1739995236702.628,1739995237543.304,2,2,1
1739995238564.636,1739995238953.048,2,2,1
1739995239997.384,1739995240635.744,3,3,1
1739995241455.08,1739995241946.376,3,3,1
1739995243401.68,1739995243942.804,1,1,1
1739995245207.136,1739995245660.42,2,2,1
1739995246579.756,1739995246982.324,2,2,1
1739995247587.652,1739995248232.88,1,1,1
1739995249086.216,1739995249780.768,1,1,1
1739995251210.068,1739995251892.0,3,3,1
1739995253326.328,1739995253924.232,2,2,1
1739995254837.632,1739995255299.872,1,1,1
1739995256591.224,1739995257169.304,3,3,1
1739995257974.672,1739995258780.564,2,2,1
1739995259645.928,1739995260157.196,1,1,1
1739995261169.528,1739995261597.148,3,3,1
1739995262651.4958,1739995263120.98,3,3,1
1739995263927.3398,1739995264484.108,3,3,1
1739995265769.464,1739995266129.244,2,2,1
1739995267309.604,1739995268044.568,2,2,1
1739995268670.928,1739995269227.536,3,3,1
1739995269873.864,1739995270415.408,1,1,1
1739995271709.74,1739995272239.256,2,2,1
1739995273356.58,1739995274009.06,1,1,1
1739995275164.424,1739995275625.76,1,1,1
