ObjShowTime,ReactionTime,StimType,Guess,Correct
171729712613017.3,171729712613581.28,1,1,1
171729712614281.62,171729712614701.56,1,1,1
171729712616098.88,171729712616555.47,1,1,1
171729712617158.8,171729712617576.56,1,1,1
171729712618512.94,171729712618836.53,1,1,1
171729712619862.84,171729712620416.9,3,3,1
171729712621538.22,171729712622024.56,2,2,1
171729712623393.9,171729712624147.66,2,2,1
171729712625144.0,171729712625441.3,2,2,1
171729712626340.66,171729712626573.16,3,2,0
171729712627801.53,171729712628983.22,2,2,1
171729712630026.53,171729712630491.78,2,2,1
171729712631814.12,171729712632053.9,2,2,1
171729712632586.25,171729712632932.7,2,2,1
171729712633926.03,171729712634399.56,3,3,1
171729712635540.9,171729712636009.94,1,1,1
171729712637089.25,171729712637478.25,2,2,1
171729712638545.56,171729712639474.5,3,3,1
171729712640324.84,171729712640898.03,1,1,1
171729712641573.4,171729712642067.56,1,1,1
171729712642651.94,171729712642940.75,1,1,1
171729712644407.1,171729712644790.94,1,1,1
171729712646291.28,171729712646775.47,3,3,1
171729712647398.78,171729712647970.16,1,1,1
171729712649408.47,171729712650581.28,2,2,1
171729712651744.7,171729712652205.66,3,3,1
171729712653661.97,171729712654193.53,1,1,1
171729712655177.84,171729712655977.06,2,2,1
171729712656913.38,171729712657315.28,2,2,1
171729712657862.56,171729712658172.12,2,2,1
171729712659470.47,171729712659807.97,2,2,1
171729712660860.3,171729712661096.16,1,2,0
171729712662019.5,171729712662618.03,3,3,1
171729712663244.38,171729712663893.78,2,2,1
171729712664870.1,171729712665393.7,2,2,1
171729712666002.0,171729712666236.84,2,2,1
171729712667458.22,171729712667816.47,2,2,1
171729712668447.75,171729712668658.62,2,2,1
171729712670095.0,171729712670500.44,1,1,1
171729712671174.75,171729712671512.06,1,2,0
171729712672594.38,171729712673268.06,3,3,1
171729712674217.4,171729712674767.2,3,3,1
171729712676052.53,171729712676666.72,1,1,1
171729712677673.0,171729712678082.06,2,1,0
171729712679125.4,171729712679797.12,1,1,1
171729712680541.4,171729712681117.2,2,2,1
171729712682438.5,171729712682934.88,2,2,1
171729712683486.16,171729712683752.88,2,2,1
171729712685026.2,171729712685460.47,1,1,1
171729712686273.8,171729712686782.9,3,3,1
171729712688237.25,171729712689290.88,2,2,1
171729712689893.22,171729712690234.53,2,2,1
171729712691585.88,171729712692273.03,3,3,1
171729712693069.4,171729712693373.34,3,3,1
171729712694663.66,171729712695211.34,1,1,1
171729712695814.7,171729712696294.56,1,1,1
171729712697051.9,171729712697396.0,1,1,1
171729712698010.34,171729712698316.1,1,1,1
171729712698912.44,171729712699188.88,1,1,1
171729712699760.22,171729712699989.78,2,1,0
171729712701157.12,171729712701645.9,1,1,1
171729712702926.25,171729712703431.2,3,3,1
171729712704554.53,171729712705093.3,2,2,1
171729712705808.6,171729712706386.8,1,1,1
171729712707128.2,171729712707767.53,3,2,0
171729712708384.88,171729712709259.88,2,2,1
171729712710620.2,171729712711047.6,1,1,1
171729712712075.9,171729712712680.94,2,2,1
171729712713892.25,171729712714304.28,3,3,1
171729712715651.62,171729712716378.22,2,2,1
171729712717117.53,171729712717538.03,2,2,1
171729712718066.34,171729712718400.25,2,2,1
171729712719367.6,171729712719786.84,1,1,1
171729712720297.16,171729712720698.1,1,1,1
171729712721215.44,171729712721453.03,2,1,0
171729712721971.34,171729712722428.47,2,2,1
171729712723484.75,171729712723801.38,3,3,1
171729712725095.78,171729712726013.5,1,1,1
171729712726601.78,171729712726960.66,1,1,1
171729712728291.0,171729712728910.25,2,2,1
171729712730264.53,171729712730750.4,3,3,1
171729712731908.72,171729712732194.2,3,3,1
171729712733605.5,171729712733831.16,3,3,1
171729712734482.5,171729712734768.5,3,3,1
171729712735733.8,171729712736121.4,3,3,1
171729712737544.75,171729712737881.4,3,3,1
171729712738951.75,171729712739591.06,2,1,0
171729712740700.4,171729712741094.25,2,2,1
171729712742092.6,171729712742606.16,1,1,1
171729712743867.47,171729712744182.3,1,1,1
171729712745115.66,171729712745342.1,1,1,1
171729712746701.44,171729712746906.34,3,1,0
171729712748028.66,171729712748565.72,1,1,1
171729712749574.06,171729712750092.0,2,2,1
171729712751232.3,171729712751612.5,3,3,1
171729712752492.78,171729712752811.53,2,3,0
171729712754172.84,171729712754694.12,1,1,1
171729712755668.47,171729712756177.47,3,3,1
171729712756715.8,171729712757527.0,1,1,1
171729712759023.34,171729712759460.7,3,3,1
171729712760531.03,171729712760912.03,3,3,1
171729712761942.4,171729712762823.6,2,2,1
171729712763406.94,171729712763875.6,1,1,1
171729712765317.97,171729712765936.9,3,3,1
171729712766751.28,171729712767455.9,2,2,1
171729712768218.2,171729712768724.5,1,1,1
171729712769459.8,171729712770021.16,1,1,1
171729712771004.47,171729712771586.44,2,2,1
171729712772384.75,171729712772854.8,2,2,1
171729712774143.16,171729712774643.53,1,1,1
