171729687345.000,41965284
ObjShowTime,ReactionTime,StimType,Guess,Correct
109982600,110546576,1,1,1
111246908,111666840,1,1,1
113064144,113520760,1,1,1
114124084,114541856,1,1,1
115478208,115801812,1,1,1
116828136,117382172,3,3,1
118503500,118989848,2,2,1
120359172,121112944,2,2,1
122109276,122406604,2,2,1
123305932,123538452,3,2,0
124766808,125948488,2,2,1
126991820,127457068,2,2,1
128779412,129019192,2,2,1
129551516,129897972,2,2,1
130891308,131364836,3,3,1
132506200,132975220,1,1,1
134054544,134443528,2,2,1
135510852,136439780,3,3,1
137290112,137863328,1,1,1
138538676,139032856,1,1,1
139617208,139906016,1,1,1
141372364,141756220,1,1,1
143256548,143740736,3,3,1
144364068,144935436,1,1,1
146373736,147546576,2,2,1
148709976,149170932,3,3,1
150627256,151158800,1,1,1
152143128,152942356,2,2,1
153878664,154280552,2,2,1
154827852,155137408,2,2,1
156435740,156773244,2,2,1
157825580,158061436,1,2,0
158984768,159583304,3,3,1
160209664,160859048,2,2,1
161835376,162358968,2,2,1
162967292,163202136,2,2,1
164423488,164781740,2,2,1
165413040,165623904,2,2,1
167060296,167465720,1,1,1
168140020,168477344,1,2,0
169559668,170233348,3,3,1
171182684,171732472,3,3,1
173017800,173632000,1,1,1
174638296,175047352,2,1,0
176090688,176762392,1,1,1
177506696,178082460,2,2,1
179403792,179900148,2,2,1
180451452,180718160,2,2,1
181991460,182425756,1,1,1
183239080,183748196,3,3,1
185202524,186256144,2,2,1
186858512,187199804,2,2,1
188551152,189238328,3,3,1
190034680,190338624,3,3,1
191628952,192176628,1,1,1
192779956,193259848,1,1,1
194017200,194361276,1,1,1
194975636,195281384,1,1,1
195877712,196154168,1,1,1
196725496,196955056,2,1,0
198122412,198611176,1,1,1
199891532,200396484,3,3,1
201519812,202058580,2,2,1
202773888,203352100,1,1,1
204093468,204732828,3,2,0
205350160,206225164,2,2,1
207585464,208012860,1,1,1
209041184,209646212,2,2,1
210857544,211269556,3,3,1
212616912,213343496,2,2,1
214082820,214503308,2,2,1
215031636,215365528,2,2,1
216332888,216752124,1,1,1
217262448,217663388,1,1,1
218180720,218418304,2,1,0
218936628,219393736,2,2,1
220450040,220766652,3,3,1
222061060,222978768,1,1,1
223567072,223925948,1,1,1
225256276,225875516,2,2,1
227229820,227715684,3,3,1
228874012,229159460,3,3,1
230570788,230796440,3,3,1
231447768,231733780,3,3,1
232699080,233086688,3,3,1
234510020,234846676,3,3,1
235917040,236556340,2,1,0
237665672,238059536,2,2,1
239057888,239571444,1,1,1
240832748,241147584,1,1,1
242080932,242307368,1,1,1
243666716,243871620,3,1,0
244993948,245530996,1,1,1
246539332,247057280,2,2,1
248197608,248577768,3,3,1
249458072,249776824,2,3,0
251138128,251659404,1,1,1
252633752,253142748,3,3,1
253681088,254492296,1,1,1
255988624,256425976,3,3,1
257496316,257877320,3,3,1
258907676,259788876,2,2,1
260372224,260840864,1,1,1
262283260,262902192,3,3,1
263716548,264421172,2,2,1
265183476,265689780,1,1,1
266425108,266986432,1,1,1
267969764,268551720,2,2,1
269350020,269820096,2,2,1
271108424,271608820,1,1,1
