11740657617.000,4793800
ObjShowTime,ReactionTime,StimType,Guess,Correct
70526276,71122832,3,3,1
72593112,73187544,2,2,1
74096784,74581280,3,3,1
75557540,76091476,3,3,1
76696716,77430660,1,1,1
78066868,78494612,1,1,1
79156852,79760272,3,3,1
80770516,81419700,1,1,1
82624964,83278856,3,3,1
84584116,85129684,2,2,1
85800948,86483560,1,1,1
87420792,88354712,2,2,1
88959948,89384720,2,2,1
90806960,91269068,2,2,1
92166320,92631848,3,3,1
93161084,93946236,2,2,1
95015508,95574972,3,3,1
96421192,96896304,3,3,1
97610564,98077136,3,3,1
99354404,99735764,3,3,1
100446028,101092044,2,2,1
101786372,102315380,3,3,1
103091744,103641232,1,1,1
104261580,104979648,3,3,1
106348004,106865332,3,3,1
107727660,108518204,2,2,1
109859528,110379844,2,2,1
111294212,113251556,3,3,1
114422888,115183336,2,2,1
116653672,117252908,3,3,1
118628236,119581444,1,1,1
120793768,121610620,2,2,1
122417976,122910972,2,2,1
124091316,124616100,3,3,1
125183464,125953836,1,1,1
127042164,127864980,3,3,1
129271340,129958940,2,2,1
130909260,131770476,3,3,1
133105804,133569432,3,3,1
134926760,135305360,3,3,1
135856760,136423936,2,2,1
137707264,138131808,2,2,1
139377164,140107468,1,1,1
141001772,141482756,1,1,1
142864076,143449752,1,1,1
144378060,144917756,1,1,1
145962084,147008132,3,3,1
148299460,148987848,1,1,1
150049184,150622340,2,2,1
152036668,152627164,3,3,1
153744500,154134672,3,3,1
155266024,156047400,1,1,1
156751748,157109696,1,1,1
157784100,158359108,1,1,1
159097440,159707596,2,2,1
160742964,161340184,1,1,1
162336508,163026920,2,2,1
163933252,164451772,3,3,1
164963128,165497508,3,3,1
166150832,166641856,2,1,0
167606208,168468892,3,3,1
169521224,170150044,3,3,1
170702404,171298472,1,1,1
171813796,172216720,1,1,1
172744056,173438972,2,2,1
174064324,174648116,3,3,1
175204464,175615340,2,2,1
177082676,177547092,3,3,1
178217424,178839424,3,3,1
180081728,180800120,1,1,1
182236420,182768668,3,3,1
184139996,185085368,1,1,1
186217708,186886244,3,3,1
187930596,188926288,1,1,1
190186616,190798604,2,2,1
191865904,192633124,3,3,1
193933456,194412852,3,3,1
195649204,196295568,1,1,1
197753900,198283788,1,1,1
199336132,199821156,3,3,1
200571492,201375020,1,1,1
202199348,202651992,1,1,1
203957320,204515572,1,1,1
205616924,205942964,1,1,1
207392324,208260368,2,2,1
209145716,209872112,1,1,1
211142460,211712840,3,3,1
212418164,213954116,2,2,1
214655416,215156052,1,1,1
215740400,216447432,2,2,1
217815788,218315068,2,2,1
219529392,220324680,1,1,1
221080020,221650244,2,2,1
223046596,223595024,1,1,1
224983328,225640112,3,3,1
226515440,227493256,1,1,1
228505612,229285832,3,3,1
230554192,231263108,1,1,1
232163412,232603300,1,1,1
233977628,234501256,3,3,1
235935608,236526068,3,3,1
