.000,3571240
1746817363.000,3397816
ObjShowTime,ReactionTime,StimType,Guess,Correct
62520884,63488568,2,2,1
64869840,65341104,2,2,1
66688324,67113824,2,2,1
68192060,68819320,3,3,1
70214576,70748956,3,3,1
71688200,72552172,2,2,1
73331444,73916676,2,2,1
75230940,75629920,2,2,1
76900180,77484504,1,1,1
78829748,79278260,1,1,1
79872524,80332860,3,3,1
81808120,82188848,1,2,0
83084112,83509164,2,2,1
84413400,84773676,2,2,1
85620888,86095140,3,3,1
86695404,87017204,2,2,1
88351440,88932516,3,3,1
90427756,90797828,3,3,1
91787068,92412704,2,2,1
93357976,93858540,1,1,1
94603784,95067560,3,3,1
95875820,96339348,2,2,1
97806584,98209928,2,2,1
98807168,99349592,1,1,1
100699852,101164720,3,3,1
102593060,103107296,3,3,1
104333596,104770992,3,3,1
105785360,106395216,1,1,1
107750516,108121176,2,2,1
108809504,109280240,1,1,1
110238592,110808096,3,3,1
111639444,112064564,3,3,1
113538952,114197300,3,3,1
115061628,115642644,2,2,1
116388968,116830468,3,2,0
117519820,118107032,3,3,1
118928400,119311216,3,3,1
120499520,121015084,1,1,1
122416380,123001268,1,1,1
124435608,124944112,3,3,1
126394420,126836328,2,2,1
127874664,128289300,3,3,1
129028632,129583732,2,2,1
130307056,130727064,2,3,0
132054388,132647192,3,3,1
133623584,134139760,3,3,1
134883088,135438940,1,1,1
136711240,137221976,3,3,1
137811276,138307976,3,3,1
138864328,139364476,2,2,1
140171832,140569312,2,2,1
142035636,142764452,2,2,1
143708808,144133880,2,2,1
145404180,145796588,2,2,1
146456892,147033392,3,3,1
148117720,148492068,2,2,1
149027400,149358968,2,2,1
150512324,150878664,3,3,1
151656068,152126940,2,2,1
152657272,153249644,3,3,1
154024980,154345492,2,2,1
154955820,155976828,1,1,1
157285180,157802352,3,3,1
158706684,159267852,2,2,1
160026204,160421856,1,1,1
161146184,161546688,1,1,1
162615040,163030840,1,1,1
164377172,164668124,2,2,1
165387424,165787692,1,2,0
166744036,167155044,1,1,1
168279368,168599572,1,1,1
169856960,170205652,1,1,1
171268004,171755948,3,3,1
173013272,173715620,3,3,1
174676968,175049412,3,3,1
175557712,176074964,2,2,1
176591324,176971368,3,2,0
177611692,177966208,3,3,1
179042536,179616576,2,2,1
180159880,180657716,1,1,1
181968020,182765052,2,2,1
183356376,184054712,3,3,1
184691044,185215752,2,2,1
185743092,186350664,3,3,1
187532056,187887424,3,3,1
188588752,189032200,2,2,1
189600528,189928932,2,2,1
190913288,191270648,2,2,1
192472972,193056000,1,1,1
194492348,194881956,2,2,1
196373312,197124464,3,3,1
198435820,198982700,3,3,1
199641052,200184612,1,1,1
201617944,202113128,1,1,1
202966488,203638464,3,3,1
204698768,205094532,3,3,1
206540840,207044500,2,2,1
208057900,208408996,2,2,1
209528352,209872596,3,3,1
210424896,210985140,1,1,1
211697488,212041712,1,1,1
213372040,213667040,2,2,1
215150392,215559728,3,3,1
216162052,216781448,1,1,1
217651784,218209388,2,2,1
