1727690888.000,3258736
trialNum,ObjShowTime,ReactionTime,StimType,Guess,Correct
1,6771700,7125376,1,1,1
2,8627584,9043276,2,2,1
3,10073488,10416788,2,2,1
4,11886100,12241272,1,1,1
5,12836604,13168808,1,1,1
6,14156100,14690812,1,1,1
7,15630148,16016356,3,3,1
8,16898688,17359268,1,1,1
9,18118600,18456608,3,3,1
10,19463984,19900192,2,2,1
11,21165552,21620060,3,3,1
12,23116440,23646268,2,2,1
13,24967652,25305796,1,1,1
14,26681144,26987488,2,2,1
15,27886844,28385928,1,1,1
16,29818256,30121880,2,2,1
17,31553264,31925312,3,3,1
18,32553696,33186832,1,1,1
19,34267180,34708588,1,1,1
20,35743940,36078360,1,1,1
21,37423724,37708572,2,2,1
22,38803932,39101992,3,3,1
23,40057392,40350120,2,2,1
24,41035504,41350900,2,2,1
25,42278224,42698856,3,3,1
26,43861212,44296356,2,2,1
27,44814708,45148268,2,2,1
28,46354624,46699692,3,3,1
29,47802072,48075732,2,2,1
30,49270088,49708556,3,3,1
31,50403916,50748484,3,3,1
32,51942868,52296532,3,3,1
33,53647896,54027512,3,3,1
34,55376892,55809068,3,3,1
35,56901444,57346220,2,2,1
36,57883640,58164968,3,2,0
37,59033320,59515592,3,3,1
38,60281920,60759196,1,1,1
39,62172556,62532516,3,3,1
40,63263880,63705484,2,2,1
41,64645872,64996000,2,2,1
42,66341356,66846300,1,1,1
43,67922652,68248400,3,3,1
44,69147732,69662632,1,1,1
45,70341992,70701464,2,2,1
46,72189852,72718432,1,1,1
47,73919788,74280292,2,2,1
48,75303676,75716332,1,1,1
49,76550740,76924416,3,3,1
50,77460748,77856556,2,2,1
51,78454888,78835016,2,2,1
52,80011376,80302836,3,3,1
53,81576164,81917984,2,2,1
54,83194372,83536116,2,2,1
55,84610500,85083896,1,1,1
56,85666224,86177876,3,3,1
57,87280248,87662404,1,2,0
58,88285760,88689524,3,3,1
59,89646908,90017936,2,1,0
60,90961288,91336732,2,2,1
61,91863088,92271552,3,3,1
62,93052988,93417484,3,3,1
63,94919840,95394232,1,1,1
64,96099592,96693076,1,1,1
65,97780432,98150588,2,2,1
66,99251968,99712588,1,1,1
67,100630916,101082072,1,1,1
68,101976552,102423056,3,3,1
69,103356472,103737096,3,3,1
70,104493548,104956680,1,1,1
71,105756132,106209992,2,2,1
72,107071436,107444648,3,3,1
73,107956092,108590216,2,2,1
74,109812680,110273952,3,3,1
75,111349436,111828916,3,3,1
76,112352368,112686192,3,3,1
77,113200668,113741632,1,1,1
78,114542112,115020808,3,3,1
79,116133252,116519592,3,3,1
80,117144044,117783452,2,2,1
81,119032904,119415028,2,2,1
82,119968504,120546580,1,1,1
83,121182056,122004048,3,3,1
84,123199500,123839356,1,1,1
85,124965836,125320676,2,2,1
86,126670096,127136848,1,1,1
87,128503328,128956488,2,2,1
88,129591996,129980240,2,2,1
89,130576688,130861196,2,2,1
90,131960668,132488892,1,1,1
91,133144332,133543268,3,3,1
92,134823736,135270144,1,1,1
93,136120564,136488400,2,2,1
94,137678844,138088936,1,1,1
95,138685376,139155188,1,1,1
96,140632644,140994848,2,2,1
97,142046300,142334804,2,2,1
98,143593280,143915292,2,2,1
99,144856764,145162128,3,3,1
100,146232580,146587744,2,2,1
101,147481296,147868456,2,2,1
102,148495980,148933580,3,3,1
103,149577072,150087504,1,1,1
